Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
UA,604,ORD,IAH,7,1260,167,0
AA,456,DFW,TPA,7,1015,135,0
CO,1155,PBI,EWR,5,747,173,0
MQ,3652,SDF,MIA,2,890,155,0
FL,984,ATL,PIT,3,615,89,0
DL,2005,CVG,SLC,7,1140,237,0
DL,2184,SLC,CVG,2,600,203,0
UA,199,MCO,ORD,7,857,177,0
9E,3981,MSP,DSM,3,935,72,
XE,2467,GPT,IAH,7,1090,84,0
WN,1174,BWI,CLE,3,1195,75,1
WN,1259,BNA,SAT,4,515,155,0
WN,324,GEG,DEN,5,390,135,
DL,1435,ORF,ATL,2,583,115,0
AA,689,ORF,DFW,1,380,220,
AA,1119,DCA,MIA,6,800,160,1
XE,2207,ICT,IAH,3,990,106,1
9E,3657,SYR,ATL,3,763,154,1
DL,2760,MIA,ATL,6,820,120,1
MQ,2872,DFW,LBB,7,705,70,1
MQ,3956,CID,ORD,2,515,65,1
OO,6976,ORD,CLE,7,480,71,0
OO,7776,SLC,RKS,5,820,59,0
AA,1380,DFW,IND,1,950,120,0
DL,1026,DTW,ATL,1,716,130,1
EV,5244,MOB,ATL,5,460,83,0
XE,3099,IAH,RDU,6,625,144,0
WN,1015,OAK,SAN,5,885,80,0
WN,1886,BDL,MDW,5,470,160,1
WN,1577,HOU,PHX,2,435,180,0
FL,433,MKE,ATL,6,756,121,1
AA,902,MIA,DFW,1,810,195,
WN,221,DEN,PHX,1,585,120,1
DL,1598,FLL,LGA,1,540,170,0
EV,5182,ATL,CAE,5,521,71,0
UA,602,ORD,DCA,6,422,111,0
OH,6609,JFK,RIC,1,666,90,0
MQ,3701,DCA,ORD,1,945,125,1
MQ,3232,DFW,SGF,1,860,75,0
WN,1013,PHX,AUS,4,640,125,0
WN,1070,STL,MDW,2,590,60,1
DL,1991,ATL,TPA,3,590,100,0
B6,594,MCO,HPN,7,734,155,0
YV,7279,CHS,IAD,6,617,90,0
MQ,3712,ORD,XNA,7,1110,105,0
XE,5891,TUL,ORD,4,894,113,1
B6,1432,LGB,SFO,7,1215,82,1
WN,2131,TPA,BNA,7,1130,110,1
WN,1394,SEA,OAK,3,1215,125,0
WN,2009,DEN,MCI,5,360,105,1
MQ,2872,DFW,LBB,5,705,70,0
CO,1475,IAH,DFW,2,1270,65,
9E,3831,ALB,DTW,1,1150,125,
CO,1850,IAH,RDU,1,765,150,1
WN,3687,MCO,BUF,1,1185,155,1
9E,4019,AUS,MEM,2,965,110,1
9E,3681,DTW,DLH,1,1175,124,
OO,4860,SLC,ORD,7,1025,189,1
FL,872,MSP,ATL,5,680,146,0
DL,2015,IAD,ATL,3,970,125,0
MQ,3531,DFW,CLE,3,1125,145,1
F9,404,LAX,DEN,1,660,134,
WN,3101,PHX,LAS,7,1230,65,1
WN,1330,SMF,SAN,1,535,85,1
EV,7107,IAD,LGA,7,1055,85,1
B6,1292,PIT,BOS,2,565,93,0
UA,407,ICT,DEN,3,992,95,
F9,609,IND,DEN,6,1195,165,
AA,674,ORD,MIA,3,335,185,1
US,1924,BNA,CLT,7,475,78,0
AA,1843,BOS,ORD,2,360,175,0
FL,596,ATL,ROC,7,1325,128,1
UA,478,SFO,PDX,5,705,103,0
FL,1039,TPA,PIT,2,967,137,0
F9,834,SEA,DEN,1,893,152,
9E,4205,RIC,DTW,4,580,115,0
OO,6383,SBA,SFO,2,1176,80,0
EV,5441,CVG,IAH,4,555,175,0
AA,632,LAS,DFW,6,770,155,
WN,1782,OAK,ONT,5,800,70,1
OO,3110,MKE,CAK,6,475,78,1
US,1208,PHX,PHL,7,955,258,1
US,1911,LGA,PHL,5,360,57,1
YV,2999,IAD,CLT,7,565,115,0
MQ,4085,ABE,ORD,2,755,140,0
WN,47,HOU,CRP,5,1170,50,1
AA,2024,DFW,BNA,6,730,100,1
XE,5941,ORD,LNK,2,495,99,0
DL,1518,MCO,ATL,1,330,84,0
CO,155,PBI,EWR,4,840,181,0
DL,2214,SEA,MSP,3,677,193,1
WN,2239,MDW,SAN,5,1130,275,1
XE,2640,EWR,GRR,4,935,127,1
WN,2597,TUL,DAL,7,925,60,1
XE,2453,IAH,BRO,5,550,74,1
B6,131,JFK,RSW,5,360,190,1
MQ,4244,DSM,ORD,2,540,80,0
XE,5981,ORD,OKC,6,715,133,1
OO,6651,LAX,RNO,7,525,85,1
OH,6682,BWI,CVG,5,671,109,1
OO,6520,ORD,MBS,3,795,60,0
9E,4183,CHS,DTW,4,982,133,1
DL,2147,LGA,ATL,2,780,160,1
UA,532,DEN,ORD,2,360,143,1
FL,1411,CAK,RSW,1,425,174,1
WN,1854,DTW,MDW,3,640,75,0
UA,81,LAX,HNL,7,530,344,0
DL,1581,TUS,ATL,2,520,203,1
WN,992,FLL,BUF,5,670,185,0
AA,161,LAX,OGG,5,1035,360,0
B6,445,BOS,TPA,6,1230,199,1
OO,4855,BIL,SLC,7,708,82,0
AA,1204,ABQ,DFW,7,640,100,
OH,6543,BHM,LGA,3,885,148,1
AA,642,SAT,DFW,6,1040,70,
FL,82,FLL,ATL,6,857,116,0
MQ,3934,ORD,FSD,2,1240,100,0
EV,5522,ICT,ATL,7,408,137,0
9E,4236,CLT,CVG,2,1065,99,1
US,1165,PHL,CLT,4,1245,105,1
WN,617,MDW,MCI,2,1185,90,1
DL,1463,DCA,MSP,1,1200,176,1
DL,1499,DTW,MKE,7,740,74,1
B6,334,MCO,IAD,5,885,120,0
AS,236,PDX,SAN,4,415,145,1
DL,1552,MKE,DTW,7,625,78,
F9,496,CAK,DEN,7,375,202,
MQ,2805,ROW,DFW,1,635,85,
FL,81,ATL,FLL,7,934,111,0
UA,672,ORD,LGA,3,480,132,0
OO,6544,ASE,DEN,2,682,45,
YV,7278,MCI,IAD,6,491,141,0
XE,2325,EWR,GSO,5,990,104,0
FL,36,ATL,MDW,4,1100,115,1
CO,169,LAS,EWR,1,702,287,1
EV,7127,HSV,IAD,7,1106,105,1
WN,3950,BWI,SAT,1,1145,245,1
UA,517,IAD,DEN,7,746,233,
EV,4944,CAK,DTW,6,815,70,
XE,2148,BNA,EWR,7,735,132,0
US,87,SEA,PHL,1,695,303,0
US,909,ORD,CLT,6,455,114,1
FL,334,ATL,PHL,4,856,126,0
EV,5164,ATL,DAY,6,841,94,0
AA,1841,DFW,TUS,7,565,145,1
XE,2730,IAH,PHX,7,455,170,0
OO,6717,DEN,PSP,2,1119,135,0
DL,2226,FLL,ATL,5,605,113,0
DL,1055,DTW,MSP,1,1185,120,1
OO,6663,EUG,DEN,4,879,145,
WN,3,LIT,DAL,4,360,70,0
OO,6680,DEN,ASE,1,1297,47,0
OO,6501,DEN,LIT,4,960,116,1
WN,2706,MDW,BWI,4,735,110,1
XE,2611,CLE,SDF,1,1025,72,1
FL,683,ATL,ICT,3,625,148,0
DL,1799,ATL,PVD,5,574,150,1
F9,652,DEN,MDW,5,1140,137,0
XE,2843,DCA,CLE,5,880,70,0
DL,2988,MCO,CVG,7,970,133,1
US,88,PHX,PDX,7,675,169,0
F9,214,DEN,AUS,2,1190,122,1
WN,729,LAS,RNO,2,445,75,0
DL,1972,TPA,ATL,3,330,85,0
AA,708,AUS,DFW,3,360,60,
WN,128,DEN,LAS,7,1085,120,1
DL,431,ATL,CLT,5,970,80,0
WN,2240,LAS,TUS,5,840,75,1
WN,958,DAL,STL,4,1105,100,1
US,1882,CLT,RIC,6,1345,63,0
DL,2326,FLL,ATL,1,545,115,0
OO,7798,SLC,COD,3,1304,89,0
MQ,2710,XNA,DFW,6,420,75,
XE,2394,EWR,MCI,3,965,199,1
MQ,4272,TVC,ORD,7,870,75,1
MQ,4595,LGA,RDU,4,700,105,1
WN,2010,MCI,MDW,1,930,80,1
OO,6335,LAX,SAN,2,911,45,0
FL,520,TPA,BWI,3,673,130,1
US,1470,PHL,SYR,5,1240,64,0
AS,882,KOA,SEA,4,565,337,0
US,1484,MCO,DCA,3,710,123,
XE,2518,EWR,OMA,4,809,195,0
UA,270,ONT,DEN,4,465,144,
CO,1834,EWR,SEA,1,1210,378,0
WN,497,BWI,LAS,4,815,340,1
WN,2807,ONT,LAS,7,630,60,0
WN,1279,MCO,HOU,7,1125,155,1
DL,1754,LAX,ATL,2,695,250,0
CO,476,SJU,EWR,3,810,256,0
EV,5242,ATL,SAV,1,510,72,0
OO,4782,SFO,LAX,5,1220,90,0
OO,6250,PDX,RDM,5,790,38,0
9E,4137,ORF,DTW,3,1115,125,
YV,2817,LAX,LAS,2,1195,64,0
XE,3006,IAH,IAD,1,440,169,1
MQ,3661,MIA,IND,7,900,165,1
AA,1332,DFW,ATL,4,1230,115,0
WN,3584,DEN,MDW,6,1210,135,0
MQ,2868,MLI,DFW,3,1015,135,
XE,2354,IAH,SDF,7,510,133,1
WN,895,BNA,DEN,1,1070,185,
UA,318,SFO,DEN,4,955,151,
CO,166,SEA,IAH,3,495,247,0
UA,68,LIH,LAX,3,1299,327,0
OO,6548,IND,ORD,1,1150,75,1
EV,5334,ABY,ATL,4,660,58,0
HA,595,OGG,HNL,2,1275,33,0
UA,723,DFW,DEN,1,931,127,
DL,1171,PIT,ATL,6,1046,127,0
WN,3023,TPA,MSY,5,495,105,0
9E,3980,MEM,MSN,1,1145,104,1
OO,7053,DEN,GEG,1,938,146,0
WN,2461,AMA,DAL,3,830,65,1
CO,1452,AUS,IAH,5,660,57,0
WN,704,RNO,BOI,2,500,65,0
OO,7048,SLC,ORD,2,493,188,1
AA,1873,MCO,MIA,7,1220,65,1
XE,2866,MKE,IAH,1,815,172,1
MQ,3915,TUL,ORD,4,675,115,1
OH,6320,HTS,CVG,6,465,54,0
9E,4274,AMA,MEM,6,355,120,0
AA,1558,DFW,TUL,3,655,60,1
MQ,3639,MIA,CLT,1,1290,125,0
WN,1693,MCI,DAL,1,955,90,1
DL,2461,ATL,MSY,3,970,99,1
DL,2425,BWI,ATL,3,1050,129,0
XE,2860,MKE,IAH,7,640,170,0
OO,6501,DEN,LIT,4,960,116,1
9E,3708,ATL,SAV,3,993,69,1
OO,6299,MKG,ORD,7,365,53,0
WN,1106,LAX,OAK,4,635,75,0
OO,6923,SFO,ACV,4,1140,79,0
HA,303,HNL,LIH,7,535,37,0
CO,739,IAH,SAN,6,550,212,1
XE,2386,IAH,GSO,5,610,140,1
WN,2794,HOU,OAK,1,635,255,1
OH,6706,RIC,DTW,5,751,119,
B6,684,DCA,BOS,6,855,83,0
OH,6573,CVG,ORD,4,980,82,0
DL,2533,BOS,MCO,4,420,207,1
DL,2518,MCO,ATL,2,990,100,0
WN,35,HOU,MSY,7,995,65,0
AS,61,CDV,ANC,6,813,47,0
MQ,3704,ELP,ORD,5,400,175,1
B6,1222,RDU,BOS,4,535,100,0
WN,2785,FLL,PHL,3,710,175,1
UA,634,ORD,EWR,3,365,125,0
WN,571,DEN,MDW,6,910,135,1
EV,5326,TRI,ATL,7,1002,67,1
EV,5483,ATL,CLE,2,1055,115,1
9E,4305,TYS,ATL,3,340,67,1
DL,1675,MEM,PHX,5,562,212,0
WN,1065,BNA,DEN,1,750,180,
UA,134,SFO,ORD,6,518,263,1
WN,1566,DAL,MCI,7,785,85,1
EV,5215,LWB,ATL,3,761,89,0
US,2182,DCA,LGA,1,1080,84,0
XE,2724,IAH,GRK,5,1165,60,1
MQ,2843,TXK,DFW,6,655,60,
WN,1110,TPA,BDL,4,1190,165,1
MQ,3270,DFW,MOB,1,780,95,0
WN,2885,SMF,PDX,7,870,90,0
AA,819,OMA,DFW,6,935,115,
AA,1086,DFW,HSV,1,1175,95,1
FL,70,FLL,ATL,1,1181,114,1
WN,945,PHL,RDU,1,675,80,0
WN,2819,TPA,FLL,6,450,60,0
EV,4950,GNV,ATL,2,608,82,1
WN,1815,HOU,JAN,7,1165,70,0
EV,7123,BTV,IAD,1,336,110,0
EV,5532,ECP,ATL,3,330,69,0
OO,6819,PDX,SFO,4,900,103,1
AA,354,ORD,LGA,5,1055,125,0
XE,5890,CLE,ORD,3,635,87,0
WN,155,SFO,SAN,7,1150,85,1
DL,2695,DCA,MIA,5,940,159,1
US,948,CLT,CLE,3,1189,97,1
YV,7290,IAD,ORF,7,1055,61,0
UA,605,DCA,ORD,4,465,132,1
FL,964,ATL,ACY,3,923,116,1
XE,2496,IAH,SDF,4,1000,125,0
OO,3116,MKE,CAK,4,945,77,1
DL,1616,DEN,ATL,4,440,168,0
DL,2567,DTW,ORD,4,1040,85,1
FL,618,MKE,MSY,2,840,135,0
AA,1433,MIA,MSY,5,640,130,0
US,1458,CLT,JFK,2,1329,114,0
UA,956,ORD,BWI,2,985,113,0
DL,2241,BOI,SLC,3,794,67,0
UA,287,PVD,ORD,4,390,164,1
CO,1527,BWI,IAH,6,895,214,1
OH,6334,RDU,JFK,6,420,116,0
CO,733,LGA,IAH,3,449,240,0
AA,1034,DEN,DFW,4,640,120,
CO,1,IAH,HNL,2,565,505,0
DL,2383,ATL,JAX,1,730,70,1
OO,6352,BOI,SFO,4,1070,105,0
FL,372,ATL,LGA,4,1101,128,0
WN,795,OKC,HOU,2,1075,80,1
DL,519,DEN,MSP,3,375,129,0
US,938,RSW,CLT,1,510,111,1
AA,349,FLL,DFW,7,950,195,
OO,3067,STL,MKE,4,745,77,1
WN,823,BOS,MDW,5,1010,170,1
MQ,4605,RDU,LGA,7,980,95,0
9E,3722,PWM,DTW,7,742,138,
US,1596,PHL,MHT,5,965,80,0
XE,2412,IAH,OKC,1,1175,88,0
FL,27,MDW,ATL,2,711,109,0
WN,2091,HOU,STL,5,855,115,1
US,1024,SJU,PHL,1,940,244,1
US,454,BWI,PHX,4,1020,311,0
F9,428,DEN,ATL,2,800,168,1
MQ,2944,MAF,DFW,3,1105,70,
AA,874,ORD,BOS,3,1150,135,0
9E,3912,ICT,MEM,1,720,92,0
WN,3318,SMF,SAN,4,865,85,1
F9,130,DEN,DFW,4,635,112,
US,656,PHX,SNA,6,1270,80,0
EV,5314,PHF,ATL,3,464,130,0
AA,133,JFK,LAX,4,930,390,1
DL,1441,ATL,LIT,4,1227,96,1
EV,5464,OMA,DTW,7,810,119,
WN,42,DAL,LBB,3,1070,65,1
WN,1096,SMF,LAS,5,770,80,1
EV,5226,AVL,ATL,5,597,63,1
AA,374,TUS,ORD,7,410,205,0
OO,7774,SGU,SLC,6,1078,77,0
AA,2301,ORD,DFW,1,360,150,
MQ,3750,MSP,ORD,3,1175,90,0
XE,5971,GRB,ORD,7,555,60,0
9E,3804,CLE,ATL,3,335,128,0
XE,2464,RIC,EWR,1,630,75,0
WN,1013,DEN,MDW,4,1075,135,0
AS,474,SEA,LAX,5,1055,157,0
WN,2361,HOU,PHX,3,435,180,1
9E,4373,LSE,DTW,1,380,102,
OO,4553,LAX,LAS,5,375,70,0
DL,2685,LGA,MCO,3,415,170,0
EV,7134,DTW,IAD,3,1160,90,0
CO,438,EWR,MIA,5,760,210,0
9E,3889,ORD,ATL,2,619,132,1
MQ,3711,ORD,LIT,1,910,115,1
DL,2779,LGA,FLL,3,1135,200,0
AA,728,LAS,DFW,3,425,160,
WN,1489,MSY,DAL,4,1100,90,1
UA,836,ORD,BOS,5,1105,136,0
DL,1222,SLC,ATL,6,1020,219,0
WN,740,LAS,STL,5,795,190,1
9E,4334,JAX,CVG,5,960,122,0
WN,1653,BWI,BHM,1,620,135,1
OH,6425,MSP,CVG,1,910,114,0
WN,2640,TPA,CMH,3,600,135,0
UA,36,OGG,SFO,1,1329,300,0
WN,1328,ONT,SMF,7,1235,80,1
OO,7027,DEN,SLC,3,921,85,0
B6,291,SEA,LGB,7,638,154,0
WN,614,IND,BWI,2,900,95,0
OO,6479,LIT,DEN,4,930,145,
WN,553,DAL,TUL,3,1255,55,1
WN,903,LAX,LAS,4,1230,60,1
FL,1495,MCI,MCO,1,818,158,0
UA,794,ORD,BUF,7,860,95,1
UA,962,CMH,DEN,5,938,202,
CO,767,IAH,SEA,3,900,281,1
US,1270,PHL,BOS,4,615,88,0
YV,7212,ROC,IAD,7,870,78,1
MQ,3374,CVG,DFW,4,795,165,
B6,30,JFK,ROC,1,1350,81,1
EV,5556,BTR,ATL,6,960,92,0
UA,622,ORD,DCA,4,1025,111,
OH,6266,IAD,DTW,3,573,107,
WN,1339,MCO,MCI,5,520,185,0
DL,1130,MEM,ATL,2,940,84,1
WN,644,LAS,BUR,7,895,70,1
DL,1447,LGA,ATL,7,360,167,0
OO,6843,CWA,ORD,3,408,68,0
WN,2219,SMF,ONT,6,1100,75,0
MQ,2863,DFW,CVG,7,740,130,1
DL,1721,DTW,TPA,2,1190,163,0
UA,405,LGA,DEN,1,626,272,
US,238,PHX,DTW,5,55,225,
FL,1134,ROC,TPA,7,460,184,1
WN,973,DEN,BNA,3,635,145,1
WN,866,ABQ,DEN,3,940,80,
XE,2179,PNS,IAH,1,900,102,0
WN,1992,SAT,PHX,4,515,150,0
OO,6965,AVL,ORD,3,361,109,0
WN,1610,ORF,TPA,5,1065,135,1
AS,633,PHX,SEA,7,895,187,0
9E,4314,DTW,ORF,3,420,114,0
WN,3934,TPA,PHL,2,835,155,1
DL,1792,SAN,ATL,7,1365,238,1
EV,4959,ATL,ABY,7,1236,53,1
FL,446,ATL,MSY,3,807,89,1
UA,625,DCA,ORD,6,1005,136,0
US,948,CLT,CLE,3,1189,97,0
OH,6310,BNA,CVG,1,965,65,0
OO,7794,SLC,SUN,7,1005,71,0
FL,507,MKE,LGA,7,590,133,0
OO,4801,IAH,SLC,3,850,195,1
WN,982,PVD,PHL,4,1205,85,0
WN,20,BWI,HOU,5,465,225,0
MQ,3301,DFW,SGF,6,1350,70,0
FL,727,MKE,DFW,3,540,145,
EV,5345,ATL,SHV,3,1305,113,0
UA,540,SFO,IAD,4,597,304,0
US,1856,MCO,CLT,7,525,96,0
US,1208,SAN,PHX,7,755,76,1
WN,3753,SFO,LAS,7,1265,80,1
US,567,PHX,MCO,2,599,246,1
OO,6332,EUG,PDX,7,974,37,1
EV,5187,LEX,ATL,3,616,88,0
AS,191,ANC,FAI,3,1140,56,0
US,1416,LAX,PHL,2,835,298,1
FL,79,ATL,FLL,6,1325,105,1
DL,2940,OAK,SLC,1,365,108,0
YV,2907,PHX,GJT,4,1184,125,1
US,1124,CLT,LGA,4,1205,110,0
DL,2077,BDL,DTW,5,987,128,
AA,1352,AUS,DFW,5,420,65,
DL,1599,ATL,PIT,5,1319,109,0
MQ,4253,ORD,ICT,2,480,115,0
AA,447,CLT,DFW,4,1045,185,
WN,793,MDW,JAN,2,660,120,1
AA,161,LAX,OGG,1,1035,360,0
WN,134,DEN,TPA,3,630,210,1
WN,156,MDW,BWI,3,555,110,0
MQ,3745,ORD,PHL,3,980,115,0
WN,844,RDU,BNA,7,670,95,0
AA,2029,LGA,MIA,7,479,195,1
B6,1292,PIT,BOS,2,565,93,1
9E,4388,IAD,DTW,5,375,108,
AA,1017,STL,DFW,3,1130,115,
9E,4296,MEM,GPT,7,875,80,0
CO,1849,FLL,IAH,1,720,171,0
XE,2576,IAH,BHM,7,660,94,0
WN,1995,DAL,LIT,7,620,60,0
OO,6945,DEN,OKC,6,847,89,0
B6,443,BOS,TPA,6,507,204,1
WN,139,LGA,BWI,4,710,75,1
WN,1122,DEN,OAK,5,515,175,0
WN,1814,MSY,MCO,3,995,100,1
WN,1745,SEA,DEN,6,420,160,
AA,1965,DFW,SFO,2,535,240,1
MQ,3045,DEN,LAX,7,950,150,0
AA,1430,DFW,TPA,7,475,135,1
OH,6763,JFK,SYR,5,910,86,0
MQ,4014,ORD,IND,6,610,60,0
F9,674,DEN,MCO,7,645,212,1
OO,6554,DEN,FAR,3,797,107,1
YV,1023,HNL,KOA,7,545,40,0
AA,1789,ICT,DFW,4,400,85,
MQ,3395,DFW,BTR,7,1080,75,0
DL,2438,ATL,DCA,2,680,106,
DL,2201,BOS,ATL,5,1035,183,1
DL,1661,DTW,ATL,1,370,136,1
US,482,DEN,PHL,7,675,208,0
9E,4111,BGM,DTW,6,740,100,
9E,3880,MEM,LEX,1,525,85,0
EV,5281,ATL,CAK,2,1220,101,1
US,930,CLT,ORF,7,1186,64,0
AS,104,ANC,SEA,1,1140,202,0
US,2131,BOS,LGA,5,840,77,0
MQ,2816,MHK,DFW,7,460,100,
OO,6229,SFO,AUS,2,1131,203,1
US,1766,CLT,DCA,3,890,80,
OO,4747,LAX,LAS,3,877,69,0
WN,1006,DEN,ABQ,2,560,70,1
WN,2026,SJC,SNA,1,660,75,1
EV,5498,GSO,ATL,5,430,104,0
MQ,4130,MDT,ORD,2,995,135,1
B6,1323,BOS,BWI,6,600,91,1
WN,987,SNA,OAK,4,475,85,0
WN,2418,MCO,IND,5,650,150,0
WN,802,PHX,MSP,4,1120,185,0
WN,2049,SAN,SJC,4,1130,80,0
US,1702,TPA,CLT,5,815,97,0
UA,272,SFO,LAX,5,460,87,0
US,1406,PHL,BOS,6,1230,73,1
DL,41,MSP,LAX,7,1170,252,1
9E,4009,IND,MSP,7,410,118,1
DL,2269,ATL,MCO,2,720,85,1
AA,4,LAX,JFK,5,745,335,0
XE,2638,EWR,MHT,3,645,79,0
UA,309,MCO,DEN,7,670,252,
MQ,4091,ORD,BNA,5,535,90,1
MQ,3823,MSP,ORD,5,780,95,1
MQ,4074,XNA,ORD,3,940,105,0
DL,2347,LGA,ATL,3,900,163,0
WN,2893,HOU,OKC,6,475,80,1
WN,364,SAN,SFO,4,615,105,1
FL,411,PWM,BWI,5,361,109,0
MQ,3661,MIA,IND,2,900,165,1
OO,6268,DEN,TUS,7,676,120,1
9E,3763,FSM,MEM,1,697,67,0
US,1753,CLT,TPA,7,1070,99,0
DL,2583,ATL,SLC,2,500,265,1
HA,168,HNL,KOA,5,625,43,0
WN,2993,MKE,BWI,1,780,120,1
DL,2588,ATL,SMF,2,510,327,0
EV,5232,ATL,CHA,7,1221,46,0
FL,398,SEA,ATL,5,1439,305,1
AS,188,FAI,ANC,6,945,63,1
WN,2026,LAS,IND,1,760,215,1
MQ,2782,LEX,DFW,7,385,160,
MQ,3943,ORD,TUL,4,520,120,1
EV,5326,ATL,TRI,5,915,62,1
FL,58,LAX,ATL,3,1435,250,1
MQ,3605,MIA,CVG,4,450,160,0
9E,3672,LBB,MEM,7,705,117,0
EV,5341,ATL,HSV,6,980,63,1
B6,241,OAK,LGB,4,1215,76,0
HA,28,HNL,SEA,5,1420,340,1
F9,652,SFO,DEN,5,890,147,
DL,1315,DTW,SLC,1,725,242,1
OO,6366,PSP,SFO,6,996,91,0
OO,6689,ORD,MSN,4,435,48,0
UA,575,BWI,ORD,4,706,132,1
XE,2505,CLE,RIC,3,925,74,0
DL,2046,PHX,ATL,3,998,212,0
WN,1924,FLL,ISP,4,430,165,0
XE,2228,MEM,EWR,3,865,162,1
WN,1939,SMF,LAS,6,805,80,1
9E,3871,DTW,SYR,6,615,82,1
US,1614,MCO,PHL,7,615,139,1
F9,411,DEN,LAX,7,1090,147,0
FL,319,CLT,ATL,2,1049,76,1
MQ,4157,BNA,ORD,4,1120,105,0
YV,2680,LIT,CLT,1,981,113,1
OO,6310,LAX,PSP,5,1167,53,1
9E,3994,MSP,RST,4,860,50,0
DL,1708,DEN,MSP,1,675,121,1
YV,2674,LAX,LAS,5,990,64,0
WN,2016,BWI,BDL,4,1190,65,1
YV,2751,PHX,SBP,2,1258,101,0
WN,2287,RSW,PHL,2,950,165,0
DL,2157,SLC,SEA,6,686,131,0
DL,2201,BOS,ATL,4,1035,183,1
EV,5487,BNA,ATL,5,960,69,0
XE,2266,EWR,DTW,4,603,122,
FL,785,MCO,PHF,6,948,102,0
FL,842,MCO,ATL,5,761,92,0
FL,815,BWI,BOS,3,1000,75,0
OO,6670,SBP,SFO,3,413,65,0
AA,334,DFW,BNA,5,440,100,0
DL,2021,DTW,PHX,3,925,268,1
FL,1082,MCO,STL,6,946,149,0
US,1290,PHL,LGA,2,1370,50,0
9E,4277,MEM,AMA,1,820,120,0
B6,616,JAX,JFK,7,1029,140,1
WN,601,SJC,LAX,4,725,70,1
MQ,4305,ORD,IND,4,1170,60,1
OH,6367,CHS,ATL,5,605,85,0
WN,1952,LAX,DEN,7,690,135,
AA,1662,LAS,ORD,6,970,210,0
EV,5570,ATL,TRI,7,665,73,1
XE,2597,IAH,SAV,3,1180,126,0
FL,448,ATL,MSY,1,530,99,1
OO,6710,ORD,CVG,4,805,76,0
MQ,3031,LAX,SAN,3,870,45,0
WN,186,LAS,DEN,4,630,110,
CO,1535,EWR,PHX,7,405,340,0
DL,1174,ATL,BUF,7,645,132,0
AA,469,STL,MIA,1,710,160,1
WN,106,DAL,MSY,4,1175,80,0
9E,4159,CID,DTW,7,1055,100,
OO,6479,LIT,DEN,4,930,145,
XE,2509,STL,IAH,3,880,118,0
WN,2381,LGA,MDW,5,1165,160,1
WN,518,DEN,MCI,1,870,90,0
EV,7075,HSV,ORD,4,918,119,0
WN,313,BWI,CLE,3,990,75,0
WN,610,BWI,ABQ,4,945,280,1
MQ,4181,ORD,GRB,1,705,55,0
US,1690,RSW,CLT,5,1035,114,0
WN,383,PVD,BWI,2,625,80,1
AA,2228,HDN,DFW,6,835,130,
WN,1684,MKE,BWI,1,880,120,1
YV,2775,PHX,MRY,3,659,114,0
WN,1345,ABQ,PHX,1,735,75,1
WN,2525,BWI,ABQ,4,610,280,1
