,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
26,M,7,11,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?
27,ERRORABC123!?,12,ERRORABC123!?,12,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,2,6
28,H,6,9,ERRORABC123!?,7,ERRORABC123!?,8,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,4,8
29,G,3,ERRORABC123!?,ERRORABC123!?,4,2,6,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,9,ERRORABC123!?,8,4,ERRORABC123!?
30,L,2,3,3,4,ERRORABC123!?,0,ERRORABC123!?,ERRORABC123!?,6,0,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,8
31,L,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,1,6,4,1,7,8,ERRORABC123!?,10,ERRORABC123!?,7,ERRORABC123!?,9
32,ERRORABC123!?,ERRORABC123!?,12,8,6,4,3,ERRORABC123!?,4,ERRORABC123!?,12,11,9,ERRORABC123!?,7,3,4
33,B,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,10,9,ERRORABC123!?,4,4,6,ERRORABC123!?,6,6,11,8,ERRORABC123!?
34,ERRORABC123!?,6,9,9,7,6,ERRORABC123!?,6,3,5,ERRORABC123!?,9,9,ERRORABC123!?,ERRORABC123!?,2,7
35,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,6,6,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
36,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,5,ERRORABC123!?,7,7,8,6,ERRORABC123!?,6,8,3,8,ERRORABC123!?,8
37,ERRORABC123!?,3,ERRORABC123!?,4,4,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,3,ERRORABC123!?,ERRORABC123!?,4,8
38,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,8,5,4,ERRORABC123!?,7,5,ERRORABC123!?,ERRORABC123!?,8,5,ERRORABC123!?
39,E,3,ERRORABC123!?,3,6,2,3,8,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,8,7,ERRORABC123!?
40,X,5,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,8,10,5,ERRORABC123!?,3,ERRORABC123!?,4,ERRORABC123!?
41,ERRORABC123!?,3,7,4,5,ERRORABC123!?,7,7,5,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?
42,X,ERRORABC123!?,6,7,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,8,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?
43,G,4,5,5,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,8,ERRORABC123!?,6,6,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
44,V,7,9,6,5,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,8
45,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,7,ERRORABC123!?,8,7,ERRORABC123!?,ERRORABC123!?,5,6,6,3,ERRORABC123!?,ERRORABC123!?,8
46,W,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,7,ERRORABC123!?,8,ERRORABC123!?,8,3,8
47,G,1,ERRORABC123!?,2,ERRORABC123!?,1,7,7,5,6,ERRORABC123!?,5,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
48,ERRORABC123!?,8,10,8,6,ERRORABC123!?,ERRORABC123!?,7,3,5,ERRORABC123!?,4,8,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?
49,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,2,ERRORABC123!?,5,ERRORABC123!?,10,5,ERRORABC123!?,10,0,9,9,ERRORABC123!?
50,Y,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,5,6,4,7,8,8,3,9,8,3
51,L,ERRORABC123!?,6,ERRORABC123!?,4,ERRORABC123!?,1,0,ERRORABC123!?,ERRORABC123!?,0,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
52,ERRORABC123!?,ERRORABC123!?,4,4,3,ERRORABC123!?,6,10,1,7,8,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,7
53,J,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,5,8,ERRORABC123!?,4,4,7,ERRORABC123!?,ERRORABC123!?,3,7,7,ERRORABC123!?
54,ERRORABC123!?,4,9,5,6,ERRORABC123!?,7,8,7,7,8,ERRORABC123!?,7,2,ERRORABC123!?,9,8
55,Q,6,9,ERRORABC123!?,11,7,8,5,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
56,Q,3,ERRORABC123!?,5,4,4,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,8,4,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?
57,D,ERRORABC123!?,6,3,ERRORABC123!?,2,6,7,10,8,6,6,6,ERRORABC123!?,8,3,ERRORABC123!?
58,C,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,7,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,9
59,ERRORABC123!?,ERRORABC123!?,10,6,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,2,6,9,2,9,2,5,ERRORABC123!?,ERRORABC123!?
60,N,3,ERRORABC123!?,3,5,2,7,ERRORABC123!?,13,2,ERRORABC123!?,ERRORABC123!?,8,5,ERRORABC123!?,0,ERRORABC123!?
61,C,2,ERRORABC123!?,3,ERRORABC123!?,1,5,9,ERRORABC123!?,6,11,9,ERRORABC123!?,1,ERRORABC123!?,2,8
62,E,ERRORABC123!?,9,ERRORABC123!?,4,2,7,ERRORABC123!?,4,7,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,9
63,X,4,9,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,3,ERRORABC123!?,6,ERRORABC123!?,9,2,8,8,ERRORABC123!?
64,H,3,ERRORABC123!?,4,ERRORABC123!?,2,ERRORABC123!?,7,5,ERRORABC123!?,7,6,8,5,8,ERRORABC123!?,7
65,ERRORABC123!?,2,ERRORABC123!?,2,ERRORABC123!?,1,ERRORABC123!?,1,5,6,ERRORABC123!?,ERRORABC123!?,6,0,8,ERRORABC123!?,ERRORABC123!?
66,H,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,8,ERRORABC123!?,6,ERRORABC123!?,6,8,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?
67,E,ERRORABC123!?,3,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,7,7,6,8,2,8,5,ERRORABC123!?
68,Y,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,6,4,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?
69,ERRORABC123!?,8,12,8,6,4,9,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,9,5,9
70,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,5,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,10,ERRORABC123!?,7,ERRORABC123!?,8,9,9
71,Q,3,ERRORABC123!?,5,ERRORABC123!?,3,8,7,ERRORABC123!?,6,6,ERRORABC123!?,ERRORABC123!?,3,8,5,9
72,Q,4,ERRORABC123!?,6,4,5,8,5,6,ERRORABC123!?,6,7,10,4,7,5,9
73,J,2,ERRORABC123!?,3,6,1,13,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,13,ERRORABC123!?,11,ERRORABC123!?,6,0,8
74,J,4,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,8,9,1,7,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,1,8
75,D,4,5,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,7,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,8,ERRORABC123!?,7
76,R,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
77,ERRORABC123!?,4,5,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,4,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,2,ERRORABC123!?
78,A,3,7,ERRORABC123!?,5,3,ERRORABC123!?,2,ERRORABC123!?,2,ERRORABC123!?,2,ERRORABC123!?,2,ERRORABC123!?,3,8
79,ERRORABC123!?,3,ERRORABC123!?,4,4,2,7,8,5,4,7,7,ERRORABC123!?,6,ERRORABC123!?,2,ERRORABC123!?
80,M,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,7,4,5,10,11,ERRORABC123!?,7,9,3,7
81,P,8,14,7,8,4,5,ERRORABC123!?,6,3,ERRORABC123!?,5,4,4,ERRORABC123!?,4,ERRORABC123!?
82,C,6,12,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,5,4,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,9,ERRORABC123!?,10
83,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,7,5,7,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,9
84,ERRORABC123!?,ERRORABC123!?,3,3,1,1,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,4,ERRORABC123!?,0,8
85,W,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,10,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,ERRORABC123!?
86,V,3,ERRORABC123!?,5,ERRORABC123!?,6,8,ERRORABC123!?,ERRORABC123!?,1,8,ERRORABC123!?,ERRORABC123!?,5,10,4,ERRORABC123!?
87,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,10,ERRORABC123!?,7,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,9,9,3
88,M,6,7,9,5,7,4,7,3,5,10,ERRORABC123!?,11,ERRORABC123!?,ERRORABC123!?,3,7
89,E,4,8,5,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,4,8,ERRORABC123!?,8,ERRORABC123!?,2,9,ERRORABC123!?,7
90,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,8,9,5,ERRORABC123!?,ERRORABC123!?,4,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,5,ERRORABC123!?
91,Y,ERRORABC123!?,10,8,ERRORABC123!?,ERRORABC123!?,3,10,ERRORABC123!?,7,ERRORABC123!?,12,6,ERRORABC123!?,11,3,5
92,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,8,4,ERRORABC123!?,7,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
93,ERRORABC123!?,ERRORABC123!?,7,8,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,8,ERRORABC123!?,8,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
94,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,6,2,ERRORABC123!?,7,14,2,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,8,0,ERRORABC123!?
95,ERRORABC123!?,4,8,5,ERRORABC123!?,5,7,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,6,7,11
96,ERRORABC123!?,4,7,5,ERRORABC123!?,3,ERRORABC123!?,7,8,5,10,ERRORABC123!?,8,3,ERRORABC123!?,ERRORABC123!?,8
97,ERRORABC123!?,4,8,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,4,6,4,6,ERRORABC123!?,7,3,8
98,H,4,9,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,6,15,ERRORABC123!?,ERRORABC123!?,7,8,ERRORABC123!?,8,0,8
99,U,7,11,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?
100,ERRORABC123!?,2,7,ERRORABC123!?,5,1,6,10,0,ERRORABC123!?,ERRORABC123!?,11,8,ERRORABC123!?,ERRORABC123!?,0,8
101,ERRORABC123!?,6,8,7,6,4,6,9,4,ERRORABC123!?,11,ERRORABC123!?,6,2,8,5,5
102,S,5,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,7,7,ERRORABC123!?,5,ERRORABC123!?,6,7,2,8,ERRORABC123!?,ERRORABC123!?
103,T,ERRORABC123!?,3,2,2,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,6,7,10,8,1,ERRORABC123!?,ERRORABC123!?,7
104,C,2,3,ERRORABC123!?,2,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,6,10,9,ERRORABC123!?,1,9,2,7
105,V,ERRORABC123!?,10,ERRORABC123!?,7,2,9,8,5,ERRORABC123!?,ERRORABC123!?,14,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,ERRORABC123!?
106,T,5,ERRORABC123!?,5,6,3,6,12,ERRORABC123!?,7,12,9,4,2,ERRORABC123!?,ERRORABC123!?,4
107,K,7,ERRORABC123!?,6,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,7
108,D,3,8,ERRORABC123!?,6,4,7,8,7,6,ERRORABC123!?,7,5,3,ERRORABC123!?,3,7
109,ERRORABC123!?,2,ERRORABC123!?,3,1,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,0,7,8,ERRORABC123!?,6,ERRORABC123!?,0,8
110,ERRORABC123!?,2,9,3,7,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,0,8,1,8
111,E,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,3,7,6,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,8
112,F,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,4,6,12,6,6,13,ERRORABC123!?,3,2,9,ERRORABC123!?,5
113,ERRORABC123!?,3,9,ERRORABC123!?,7,ERRORABC123!?,7,7,ERRORABC123!?,7,13,ERRORABC123!?,8,ERRORABC123!?,8,ERRORABC123!?,8
114,ERRORABC123!?,ERRORABC123!?,10,7,8,8,7,ERRORABC123!?,ERRORABC123!?,6,7,6,9,3,8,4,8
115,U,4,7,4,5,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,7,3,ERRORABC123!?,0,ERRORABC123!?
116,C,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,1,6,8,7,7,9,ERRORABC123!?,12,ERRORABC123!?,10,3,9
117,F,5,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
118,A,ERRORABC123!?,8,5,ERRORABC123!?,3,9,2,ERRORABC123!?,3,8,ERRORABC123!?,8,2,6,ERRORABC123!?,7
119,Z,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,9,ERRORABC123!?,7,7,1,8,6,ERRORABC123!?
120,X,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,5,ERRORABC123!?,8,10,1,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
121,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,1,ERRORABC123!?
122,R,6,ERRORABC123!?,5,4,ERRORABC123!?,10,6,5,5,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?
123,ERRORABC123!?,3,3,ERRORABC123!?,4,3,7,7,5,5,7,6,6,5,8,5,ERRORABC123!?
124,B,5,ERRORABC123!?,7,7,ERRORABC123!?,8,ERRORABC123!?,3,6,10,ERRORABC123!?,ERRORABC123!?,3,7,ERRORABC123!?,8
125,U,ERRORABC123!?,ERRORABC123!?,5,4,2,5,8,ERRORABC123!?,8,9,8,8,3,9,2,5
126,J,4,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,8,9,ERRORABC123!?,5,7,6,9,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?
127,ERRORABC123!?,3,7,4,ERRORABC123!?,2,1,11,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,0,8,2,7
128,M,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,6,11,ERRORABC123!?,2,5,9,3,6,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?
129,H,ERRORABC123!?,ERRORABC123!?,2,1,1,ERRORABC123!?,7,12,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,8
130,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,2,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7
131,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,3,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?
132,E,1,0,1,1,1,4,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,8,6,ERRORABC123!?
133,U,ERRORABC123!?,ERRORABC123!?,3,1,1,ERRORABC123!?,8,5,7,ERRORABC123!?,9,8,ERRORABC123!?,ERRORABC123!?,2,6
134,A,3,7,5,5,3,10,4,1,2,ERRORABC123!?,3,ERRORABC123!?,2,4,ERRORABC123!?,7
135,X,4,8,5,6,3,5,8,1,ERRORABC123!?,10,9,9,2,9,3,6
136,S,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,4,8,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,3,8,ERRORABC123!?,6,4,9
137,ERRORABC123!?,1,ERRORABC123!?,2,2,1,10,7,ERRORABC123!?,ERRORABC123!?,11,4,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
138,ERRORABC123!?,5,11,ERRORABC123!?,8,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,10,4,ERRORABC123!?,4,8
139,I,2,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,13,5,9,0,ERRORABC123!?,ERRORABC123!?,8
140,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,11,3,ERRORABC123!?,ERRORABC123!?,6,3,0,ERRORABC123!?,3,8
141,T,ERRORABC123!?,1,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,6,10,ERRORABC123!?,0,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
142,C,1,ERRORABC123!?,2,2,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,6,ERRORABC123!?,7,12,ERRORABC123!?,9,ERRORABC123!?,10
143,H,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,7,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,8,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
144,ERRORABC123!?,2,4,4,3,2,10,2,2,ERRORABC123!?,9,2,9,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?
145,L,6,11,9,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,6,6,7,ERRORABC123!?,ERRORABC123!?,11,9,ERRORABC123!?
146,T,3,6,4,4,ERRORABC123!?,ERRORABC123!?,12,4,ERRORABC123!?,7,11,ERRORABC123!?,2,ERRORABC123!?,1,ERRORABC123!?
147,A,2,ERRORABC123!?,4,6,ERRORABC123!?,12,ERRORABC123!?,4,3,ERRORABC123!?,2,10,3,ERRORABC123!?,3,ERRORABC123!?
148,ERRORABC123!?,ERRORABC123!?,9,5,7,ERRORABC123!?,8,9,ERRORABC123!?,1,ERRORABC123!?,12,8,2,ERRORABC123!?,ERRORABC123!?,8
