,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
24,J,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,12,ERRORABC123!?,ERRORABC123!?,1,6
25,C,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8
26,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,7
27,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
28,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,7,ERRORABC123!?,9,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
29,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,6,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
30,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
31,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
32,X,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
33,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,7
34,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
35,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?
36,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
37,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,4,8
38,ERRORABC123!?,4,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
39,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,6,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,15,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?
40,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,8
41,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9
42,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9
43,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,6,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
44,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
45,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,8,6,8
46,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8
47,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
48,R,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,4,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
49,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?
50,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,8,8,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?
51,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
52,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,ERRORABC123!?
53,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,7,ERRORABC123!?,ERRORABC123!?
54,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?
55,Q,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?
56,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
57,D,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
58,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
59,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9
60,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,ERRORABC123!?
61,C,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,11,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
62,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?
63,X,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,7,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
64,H,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
65,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?
66,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?
67,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
68,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,6,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
69,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,9
70,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,6,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
71,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
72,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
73,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,4,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
74,J,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
75,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,7
76,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?
77,M,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?
78,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,2,6,ERRORABC123!?,ERRORABC123!?
79,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
80,M,ERRORABC123!?,ERRORABC123!?,9,7,8,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?
81,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,8
82,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
83,P,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?
84,N,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
85,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
86,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?
87,V,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,7,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
88,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
89,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?
90,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,8,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
91,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5
92,ERRORABC123!?,ERRORABC123!?,8,5,6,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,7,ERRORABC123!?,ERRORABC123!?,8,9,ERRORABC123!?,ERRORABC123!?
93,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
94,N,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,14,ERRORABC123!?,5,ERRORABC123!?,8,6,8,ERRORABC123!?,ERRORABC123!?
