height,lenght,area,eccen,p_black,p_and,mean_tr,blackpix,blackand,wb_trans,class
9,32,-9999999,3.556,0.271,0.594,2.23,78,171,35,1
3,116,348,38.667,,0.494,33.5,134,172,4,2
1,10,10,10.0,1.0,1.0,10.0,10,-9999999,1,2
1,13,-9999999,13.0,1.0,1.0,13.0,13,13,1,2
1,8,8,8.0,1.0,1.0,8.0,8,8,1,2
1,44,44,44.0,0.25,1.0,2.2,11,44,5,2
2,-9999999,40,10.0,0.725,0.875,,29,35,1,2
2,20,40,10.0,0.775,0.85,31.0,31,34,1,2
13,10,130,0.769,0.3,0.808,6.5,39,105,6,1
11,86,946,7.818,0.413,0.853,3.1,391,807,-9999999,1
11,20,220,1.818,0.168,0.75,3.36,37,165,11,1
9,5,45,0.556,0.378,0.933,2.83,17,42,6,1
8,3,24,0.375,0.417,0.417,10.0,10,10,1,1
3,113,339,37.667,0.357,0.378,30.25,121,128,4,2
98,3,294,0.031,0.48,0.486,141.0,141,143,1,
2,-9999999,96,24.0,0.625,0.677,30.0,60,65,2,2
11,65,715,5.909,0.39,0.877,2.61,279,627,107,1
9,37,333,4.111,0.526,0.898,3.18,175,299,55,1
9,21,189,2.333,0.291,0.762,1.57,55,-9999999,35,1
8,8,64,1.0,0.234,0.328,5.0,15,21,3,1
10,100,1000,10.0,0.436,0.91,2.53,436,910,172,1
9,85,765,9.444,0.302,0.812,1.82,231,621,127,1
9,32,288,3.556,0.302,0.781,2.07,87,225,42,1
11,101,1111,9.182,0.398,0.888,2.76,442,987,160,1
11,119,-9999999,10.818,0.261,0.798,1.88,341,1045,181,1
10,126,1260,12.6,0.425,0.862,2.68,536,1086,200,1
9,13,117,1.444,0.239,0.462,4.67,28,54,6,1
9,75,675,8.333,0.256,0.606,2.19,173,409,79,1
11,119,1309,10.818,0.236,0.747,1.75,309,978,177,1
10,44,440,4.4,0.393,0.852,3.15,173,375,-9999999,1
9,40,360,4.444,0.356,0.967,2.29,128,348,56,1
8,48,384,6.0,0.302,0.914,1.76,116,351,66,1
9,44,396,4.889,0.46,0.937,2.84,182,371,64,1
9,47,423,5.222,0.274,0.747,2.42,116,316,48,1
9,40,360,4.444,0.319,0.919,2.35,115,331,49,1
3,116,348,38.667,0.356,0.371,62.0,124,129,2,2
2,18,36,9.0,0.722,0.722,26.0,26,-9999999,1,2
3,132,396,44.0,0.505,0.558,20.0,200,221,10,2
1,17,17,17.0,0.765,1.0,3.25,13,17,4,2
1,8,8,8.0,1.0,1.0,8.0,8,8,1,2
2,69,138,34.5,0.623,0.906,10.75,86,125,8,2
2,46,92,23.0,0.587,0.761,18.0,54,70,3,2
11,-9999999,847,7.0,0.345,0.874,2.43,292,740,120,1
9,41,369,4.556,0.301,0.886,1.91,111,327,58,1
1,57,57,57.0,0.456,1.0,3.71,26,57,-9999999,
1,10,10,10.0,0.9,1.0,9.0,9,10,1,2
14,185,2590,13.214,0.254,0.651,2.27,657,1687,289,1
10,152,1520,15.2,0.297,0.778,2.17,452,1182,208,1
2,116,232,58.0,0.616,0.802,17.88,143,186,8,2
9,123,1107,13.667,0.362,0.986,2.62,401,1091,153,1
2,17,34,8.5,0.588,,6.67,20,33,3,2
-9999999,131,1310,13.1,0.415,0.857,2.74,543,1123,198,1
1,12,12,12.0,0.583,1.0,3.5,7,12,2,1
6,27,162,4.5,0.154,0.481,2.78,25,78,9,1
7,15,105,2.143,0.324,,3.09,34,80,11,1
7,58,406,8.286,0.202,0.751,2.34,82,305,35,1
7,46,322,,0.155,0.587,4.17,50,189,12,1
1,27,27,27.0,0.593,1.0,4.0,16,27,4,1
7,17,119,2.429,0.227,0.58,2.7,27,69,10,1
2,31,62,15.5,0.194,0.516,2.0,12,32,6,1
1,12,12,12.0,,1.0,3.5,7,12,2,1
2,17,34,8.5,0.324,1.0,2.75,11,34,4,1
2,11,22,5.5,0.409,0.955,9.0,9,21,1,1
2,19,38,9.5,0.237,1.0,1.8,9,38,5,1
7,107,749,15.286,0.27,0.654,1.6,202,490,126,1
5,9,45,1.8,0.267,0.778,1.71,12,35,7,1
11,9,99,0.818,0.485,0.727,6.0,-9999999,72,8,1
11,8,88,0.727,0.705,,7.75,62,88,8,1
11,8,88,0.727,0.443,0.466,39.0,39,-9999999,1,1
11,7,77,0.636,0.597,1.0,,46,77,8,1
11,7,77,0.636,0.468,1.0,3.6,36,77,10,1
11,9,99,0.818,0.475,0.636,15.67,47,63,3,1
11,8,88,0.727,0.511,0.852,9.0,45,75,5,1
1,43,43,43.0,0.907,1.0,9.75,39,43,4,2
10,38,380,3.8,0.387,0.887,2.49,147,337,59,1
8,20,160,2.5,0.5,1.0,2.76,80,160,29,1
9,-9999999,324,4.0,0.54,0.929,2.87,175,-9999999,61,1
10,98,980,9.8,0.391,0.835,2.41,383,818,159,1
10,49,490,4.9,,0.961,2.97,255,471,86,1
10,21,210,2.1,0.329,0.843,2.56,69,177,27,1
9,19,171,2.111,0.292,0.76,2.63,50,130,19,1
9,55,495,6.111,0.299,1.0,1.92,148,495,77,
9,14,126,1.556,0.127,0.937,1.78,16,118,9,1
8,23,184,2.875,0.288,1.0,1.47,53,184,36,1
8,35,280,4.375,0.379,0.886,1.66,106,248,64,1
9,96,864,10.667,0.281,0.815,1.96,243,704,124,1
9,66,594,7.333,0.323,0.805,2.0,192,478,96,1
9,34,306,3.778,0.337,0.817,1.81,103,250,57,1
8,83,664,10.375,0.325,0.908,1.76,216,603,123,1
8,80,640,10.0,0.303,0.922,1.72,194,590,113,1
9,95,855,10.556,0.285,0.723,2.1,244,618,116,1
8,80,640,10.0,0.298,0.883,1.72,191,565,111,1
10,13,130,1.3,0.108,0.685,2.33,14,89,-9999999,1
8,70,560,8.75,0.341,0.918,1.66,191,514,115,1
11,84,924,7.636,0.262,0.82,1.69,242,758,-9999999,1
9,99,891,11.0,0.27,0.818,1.93,241,729,125,1
9,80,720,8.889,0.293,0.868,1.85,211,625,114,1
11,101,1111,9.182,0.239,0.818,1.61,265,909,165,1
12,26,312,2.167,0.221,1.0,1.6,-9999999,312,43,1
12,40,480,3.333,0.271,0.733,1.97,130,352,66,1
8,84,672,10.5,0.269,0.966,1.79,181,649,101,1
8,53,424,6.625,0.358,0.981,1.54,152,416,99,
8,41,328,5.125,0.363,0.942,1.63,119,309,73,1
-9999999,82,738,9.111,0.252,0.74,2.0,186,546,93,1
7,14,98,2.0,0.184,0.612,18.0,18,60,1,1
8,26,208,3.25,0.375,0.947,1.77,78,197,44,1
8,46,368,5.75,0.391,0.951,1.85,144,350,78,1
9,34,306,3.778,0.379,0.961,1.71,116,294,68,1
11,26,286,2.364,0.297,0.941,2.02,85,269,42,1
-9999999,42,462,3.818,0.335,0.829,2.25,155,383,69,1
-9999999,62,744,5.167,0.234,0.66,1.58,174,491,110,1
8,75,600,9.375,0.328,0.888,1.86,197,533,106,1
8,18,144,2.25,0.479,0.986,2.16,69,142,32,1
7,33,231,4.714,0.143,0.844,2.36,33,195,14,
9,64,576,7.111,0.465,0.899,2.58,268,518,104,1
9,36,324,4.0,0.568,0.932,3.02,184,-9999999,61,1
8,8,64,1.0,0.203,0.344,4.33,13,22,3,1
8,21,168,2.625,0.339,0.673,1.97,57,113,29,1
9,99,891,11.0,0.464,,2.52,413,839,164,1
9,84,756,9.333,0.288,0.791,1.83,218,598,119,1
-9999999,31,248,3.875,0.327,0.79,1.84,81,196,44,1
19,2,38,0.105,0.816,0.816,31.0,31,31,1,4
9,101,909,11.222,0.442,0.861,2.68,402,783,150,1
11,118,1298,10.727,0.26,0.817,2.01,338,1061,168,1
5,2,10,0.4,0.8,0.8,8.0,8,8,1,4
10,126,1260,12.6,0.41,0.833,2.63,516,1049,196,1
12,117,1404,9.75,0.22,0.673,1.68,309,945,184,1
9,35,315,3.889,0.263,0.667,2.86,83,210,29,1
9,46,414,5.111,0.292,0.676,1.92,121,280,63,1
10,2,20,0.2,0.55,0.6,11.0,11,12,1,2
8,44,352,5.5,,0.938,3.26,150,330,46,1
8,48,384,6.0,0.31,0.807,1.92,119,310,62,1
8,40,320,5.0,0.403,0.991,2.53,129,317,51,1
8,45,360,5.625,0.469,0.956,2.91,169,344,58,1
9,20,180,2.222,0.261,0.556,2.35,47,100,20,1
9,22,198,2.444,0.298,0.965,2.11,59,191,28,1
8,41,328,5.125,0.335,0.933,2.08,110,306,53,1
2,112,224,56.0,0.496,0.504,55.5,111,113,2,2
1,45,45,45.0,,1.0,5.67,34,45,6,2
1,75,75,75.0,0.813,1.0,5.55,61,75,11,2
8,43,344,5.375,0.349,0.814,2.26,120,280,53,1
11,301,3311,27.364,0.308,0.735,2.22,1019,-9999999,458,1
7,35,245,5.0,0.453,0.873,2.47,111,214,45,1
9,122,1098,13.556,0.339,0.947,2.57,-9999999,1040,145,1
10,130,1300,13.0,0.425,0.773,2.79,552,1005,198,1
6,46,276,7.667,0.217,0.804,2.0,60,222,30,1
6,27,162,4.5,0.136,0.673,2.0,22,109,11,1
5,8,40,,0.35,0.675,4.67,14,27,3,1
5,3,15,0.6,0.467,1.0,7.0,-9999999,15,1,1
5,35,175,7.0,0.2,0.829,4.38,35,145,8,1
-9999999,47,188,11.75,0.298,0.739,2.33,56,139,24,1
3,31,93,10.333,0.226,0.774,2.1,21,72,10,1
3,16,48,5.333,0.375,0.938,2.25,18,45,8,1
7,122,854,17.429,0.281,0.626,1.73,240,535,139,1
11,21,231,1.909,0.411,0.68,3.96,-9999999,157,24,1
11,8,88,0.727,0.375,,4.13,33,53,8,1
11,9,99,0.818,0.465,0.818,9.2,46,81,5,1
10,8,80,0.8,0.5,1.0,5.0,40,80,8,1
10,21,210,2.1,0.324,0.6,3.4,68,126,20,1
2,157,314,78.5,0.506,0.551,26.5,159,173,6,2
10,38,-9999999,3.8,0.439,0.897,2.83,167,341,59,1
9,36,324,4.0,0.549,0.914,3.3,178,296,54,1
-9999999,20,160,2.5,0.525,0.938,,84,150,24,1
10,96,960,9.6,0.418,0.886,2.49,401,-9999999,161,1
9,49,441,5.444,0.594,0.998,3.05,262,440,86,1
1,32,32,32.0,0.719,1.0,5.75,23,32,4,2
1,52,-9999999,52.0,0.788,1.0,10.25,41,-9999999,4,2
1,13,13,13.0,0.692,1.0,4.5,9,13,2,2
9,23,207,2.556,0.304,1.0,1.62,63,207,39,
9,37,333,4.111,0.381,0.808,2.05,127,269,62,1
9,20,180,2.222,0.339,0.872,2.35,61,157,26,1
8,79,632,9.875,0.375,0.956,2.12,237,604,112,1
9,81,729,9.0,0.388,0.897,2.38,283,-9999999,119,1
8,67,536,8.375,0.381,0.746,2.49,204,400,82,1
9,32,288,3.556,0.292,0.826,1.53,84,238,55,1
94,2,188,0.021,0.516,0.516,97.0,97,97,1,4
10,11,110,1.1,0.382,1.0,1.5,42,110,28,1
10,64,640,6.4,0.295,0.808,2.25,189,517,84,1
10,83,830,8.3,0.295,0.725,2.02,245,602,121,1
12,73,876,6.083,0.257,0.591,2.14,225,518,105,1
8,17,136,2.125,0.353,0.801,2.0,48,109,24,1
9,12,108,1.333,0.407,0.88,1.69,44,95,26,1
9,82,738,9.111,0.343,0.913,2.02,253,674,125,1
8,53,424,6.625,0.37,0.901,1.76,157,382,89,1
11,83,913,7.545,0.274,0.9,1.71,250,822,146,1
10,81,810,8.1,0.279,0.81,2.11,226,656,107,1
9,82,738,9.111,0.329,0.871,2.11,243,643,115,1
11,100,1100,9.091,0.269,0.765,1.9,296,842,156,1
25,71,1775,2.84,0.234,0.748,2.22,416,1328,187,1
9,82,738,,,0.935,2.09,182,690,87,1
9,97,873,10.778,0.328,0.921,1.77,286,804,162,1
9,32,288,3.556,0.333,0.861,1.68,96,248,57,1
8,82,656,10.25,0.398,0.951,2.51,261,624,104,1
12,13,156,1.083,0.372,0.981,2.32,58,153,25,1
12,8,96,0.667,0.198,1.0,2.11,19,96,9,1
12,43,516,3.583,0.293,0.791,2.29,151,408,66,1
8,75,600,9.375,0.415,0.91,2.37,249,546,105,1
11,84,924,7.636,0.251,0.681,1.77,232,629,131,1
2,123,-9999999,61.5,0.5,0.504,123.0,123,124,1,2
1,36,36,36.0,0.722,1.0,8.67,26,36,3,2
19,123,2337,6.474,0.089,0.089,207.0,-9999999,208,1,1
8,6,48,0.75,0.5,0.646,8.0,24,31,3,1
10,65,650,6.5,0.445,0.911,2.58,289,592,112,1
9,37,333,4.111,0.598,0.946,3.49,199,315,57,1
9,20,180,2.222,0.339,0.772,1.74,61,139,35,1
4,8,32,2.0,0.344,0.781,1.83,11,25,6,1
10,100,1000,10.0,0.449,0.874,2.82,449,874,159,1
9,32,288,3.556,0.365,0.781,2.23,105,225,47,1
9,82,738,9.111,0.337,0.817,2.01,249,603,124,1
10,101,1010,10.1,0.466,0.893,3.02,471,902,156,1
12,116,1392,9.667,0.246,0.707,1.99,343,984,-9999999,1
10,126,1260,12.6,0.463,0.848,3.16,584,1068,185,1
9,86,774,9.556,0.301,0.647,2.22,233,501,105,1
11,115,1265,10.455,0.266,0.723,1.79,337,915,188,1
4,2,8,0.5,0.875,0.875,7.0,7,7,1,4
9,44,396,4.889,0.465,0.944,3.35,184,374,55,1
8,46,-9999999,5.75,0.348,0.918,1.97,128,338,65,1
8,40,320,5.0,0.391,0.991,2.08,125,317,60,1
9,45,405,5.0,0.442,0.956,3.31,179,387,54,1
8,45,360,5.625,,0.897,2.44,132,323,54,1
8,41,328,5.125,0.424,0.966,2.53,139,317,-9999999,1
1,19,19,19.0,0.789,1.0,3.75,15,19,4,2
1,9,9,9.0,0.778,1.0,7.0,7,9,1,2
8,42,336,5.25,0.363,0.97,2.18,122,326,-9999999,1
14,339,4746,24.214,0.248,0.547,2.44,1175,2596,481,1
10,123,1230,12.3,0.362,0.888,2.99,445,1092,149,1
2,446,892,223.0,0.439,0.603,17.82,392,538,22,2
66,3,198,0.045,0.657,0.909,2.6,130,180,50,4
10,-9999999,1310,,0.456,0.851,3.0,597,1115,199,1
93,4,372,0.043,0.419,0.565,2.89,156,210,54,4
44,3,132,0.068,0.598,0.841,2.47,79,111,32,4
42,7,294,0.167,0.282,0.432,2.18,83,127,38,4
2,236,472,118.0,0.566,0.689,10.27,267,325,26,2
1,61,-9999999,61.0,1.0,1.0,61.0,61,61,1,2
8,14,112,1.75,0.223,0.661,3.57,25,74,7,1
9,174,1566,19.333,0.178,0.737,1.71,279,1154,163,1
-9999999,45,360,5.625,0.156,0.725,1.87,56,261,30,1
7,27,189,3.857,0.101,,3.8,19,117,5,1
1,9,9,9.0,0.778,1.0,7.0,7,9,1,1
8,122,976,,0.227,0.65,1.44,222,634,154,1
11,96,1056,8.727,0.331,0.954,4.32,350,1007,81,1
48,402,19296,8.375,0.055,,4.13,1058,1814,-9999999,5
304,463,140752,1.523,0.063,0.121,3.91,8898,17081,2273,5
10,20,200,2.0,0.435,0.89,2.9,87,178,30,1
9,-9999999,873,10.778,0.466,0.973,2.42,407,849,168,1
9,21,189,2.333,0.354,0.878,2.68,67,166,25,1
9,80,720,8.889,0.338,0.954,2.04,243,687,119,1
11,85,935,7.727,0.25,0.664,1.73,234,621,135,1
9,76,-9999999,8.444,0.363,0.874,2.18,248,598,114,1
-9999999,2,16,,0.563,0.563,9.0,9,9,1,1
9,33,297,3.667,0.259,0.774,1.67,77,230,46,1
9,120,1080,13.333,0.331,0.859,1.98,358,928,181,1
12,118,1416,9.833,0.253,0.767,1.95,358,1086,-9999999,1
11,207,-9999999,18.818,0.268,0.723,1.84,610,1647,332,1
9,92,828,10.222,,0.954,,302,790,137,1
9,93,837,10.333,0.323,0.888,2.06,270,743,131,1
-9999999,43,387,4.778,,0.922,2.25,146,357,65,1
3,213,-9999999,71.0,0.318,,11.94,203,242,17,2
306,465,142290,1.52,0.055,0.123,2.69,7861,17452,2925,5
45,79,3555,1.756,0.087,0.195,4.81,308,693,64,5
7,9,63,1.286,0.333,0.492,21.0,21,31,1,1
3,7,21,2.333,0.619,0.619,13.0,13,13,1,1
-9999999,152,152,152.0,0.822,1.0,11.36,125,152,11,2
1,51,51,51.0,0.471,1.0,2.4,24,-9999999,10,2
6,17,102,2.833,0.275,0.824,2.0,28,84,14,1
6,22,132,3.667,0.197,1.0,2.89,26,132,9,1
6,29,174,4.833,0.293,0.92,1.5,51,160,34,1
-9999999,46,230,9.2,0.278,0.835,2.21,64,192,29,1
5,30,150,6.0,0.16,0.66,1.71,24,99,14,1
4,16,64,4.0,0.391,0.938,1.67,25,60,15,1
7,45,315,6.429,0.2,0.775,1.91,63,244,33,1
7,27,189,3.857,0.238,0.741,2.81,45,140,16,1
10,122,1220,12.2,0.273,0.54,2.03,333,659,164,1
11,49,539,4.455,0.343,0.666,4.3,185,359,43,1
11,35,385,3.182,0.335,0.584,4.78,129,225,27,1
19,462,8778,24.316,0.523,0.688,16.88,4591,6035,272,2
-9999999,38,380,3.8,0.434,0.892,2.89,165,339,57,1
9,-9999999,324,4.0,0.552,0.926,3.51,179,300,51,1
10,98,980,9.8,0.448,0.881,2.74,439,863,160,1
9,21,189,2.333,0.529,0.958,3.33,100,181,30,1
10,49,490,4.9,0.551,0.943,3.07,270,462,-9999999,1
1,49,49,49.0,0.286,1.0,7.0,14,49,2,1
1,52,52,52.0,0.981,1.0,51.0,51,52,1,2
1,52,52,52.0,0.538,1.0,14.0,28,52,2,2
10,24,240,2.4,0.267,0.821,2.06,64,197,31,1
9,36,324,4.0,0.42,0.889,2.0,136,288,68,1
9,21,189,2.333,0.392,0.899,2.74,74,170,27,1
9,78,702,8.667,0.349,0.863,2.17,245,606,113,1
11,67,737,6.091,0.331,0.844,2.28,244,622,107,1
10,33,330,3.3,0.367,0.864,1.95,121,285,62,1
10,79,790,7.9,0.385,0.88,2.13,304,695,143,1
10,80,800,8.0,0.314,0.799,2.06,251,639,122,1
11,97,1067,8.818,0.297,0.666,2.4,317,711,132,1
9,82,738,9.111,0.389,0.92,2.33,287,679,123,1
9,-9999999,621,7.667,0.343,0.876,1.75,213,544,122,1
12,84,1008,7.0,0.282,0.778,1.91,284,784,149,1
9,82,738,9.111,0.379,0.879,2.35,280,649,119,1
10,11,110,1.1,0.373,1.0,1.58,41,110,-9999999,1
10,63,630,6.3,0.294,0.895,2.2,185,564,84,1
11,102,1122,9.273,0.289,0.829,1.87,324,930,173,1
9,82,738,9.111,0.385,0.935,2.29,284,690,124,1
22,26,572,1.182,0.283,0.918,1.93,162,525,-9999999,1
22,47,1034,2.136,0.319,0.753,2.13,330,779,155,1
10,53,530,5.3,,0.9,1.82,180,477,99,1
10,40,400,4.0,0.338,0.878,1.9,135,351,71,1
8,82,656,10.25,,0.997,1.99,189,654,95,1
10,34,340,3.4,0.356,0.803,1.83,121,273,66,1
9,81,729,9.0,0.348,0.927,2.21,254,676,115,1
11,13,143,1.182,0.42,0.979,2.22,60,140,27,1
11,8,88,0.727,0.25,1.0,2.44,22,88,9,1
11,43,473,3.909,0.334,0.875,2.47,158,414,64,1
9,75,675,8.333,0.396,0.914,2.21,267,617,121,1
11,86,-9999999,7.818,0.283,0.764,1.91,268,723,140,1
1,33,33,33.0,1.0,1.0,33.0,33,33,1,2
1,124,124,124.0,0.444,1.0,7.86,55,124,7,2
1,75,75,75.0,0.92,1.0,11.5,69,75,6,2
9,6,54,0.667,0.5,0.593,,27,32,-9999999,1
10,64,640,6.4,0.514,0.966,2.84,329,618,116,1
9,36,324,4.0,0.611,0.926,3.36,198,300,59,1
9,34,306,3.778,0.288,0.641,2.1,88,196,42,1
10,98,980,9.8,0.463,0.945,2.72,454,926,167,1
9,121,1089,13.444,0.356,0.817,2.2,388,890,176,1
11,100,1100,9.091,0.456,0.882,3.04,502,970,165,1
25,118,2950,4.72,0.268,0.745,2.02,791,2198,392,1
10,126,1260,12.6,0.456,0.883,2.85,575,1113,202,1
10,85,850,8.5,0.333,0.696,2.28,283,592,124,1
9,43,387,4.778,0.509,0.959,3.58,197,371,55,1
9,47,423,5.222,0.333,0.757,2.39,141,320,59,1
10,40,400,4.0,0.428,0.895,3.05,171,358,56,1
9,44,396,4.889,0.467,0.944,3.14,185,374,59,1
9,47,423,5.222,0.31,0.78,2.34,-9999999,330,56,1
9,41,369,4.556,0.425,0.962,2.71,157,355,58,1
1,8,8,8.0,0.875,1.0,7.0,7,8,1,2
1,-9999999,40,40.0,1.0,1.0,40.0,40,40,1,2
1,55,55,55.0,0.564,1.0,10.33,31,55,3,2
9,39,351,4.333,0.293,0.937,2.06,103,-9999999,50,1
14,340,4760,24.286,0.259,0.592,2.45,1232,2819,503,1
9,123,1107,13.667,0.395,0.991,2.84,437,-9999999,154,1
1,115,115,115.0,0.2,1.0,4.6,23,115,5,2
10,131,1310,13.1,0.439,0.845,2.79,575,1107,206,1
1,11,11,11.0,1.0,1.0,11.0,11,11,1,2
1,46,46,46.0,0.783,1.0,12.0,36,46,3,2
2,64,-9999999,32.0,0.531,0.586,17.0,68,75,4,2
7,47,329,6.714,0.271,0.878,2.23,-9999999,289,40,1
8,27,216,3.375,0.218,0.829,2.14,47,179,22,
7,17,119,2.429,0.412,0.933,,49,111,18,1
8,59,472,7.375,0.322,0.881,2.41,152,416,63,1
8,47,376,5.875,0.362,0.88,2.0,136,331,68,1
8,32,256,4.0,0.336,0.789,2.46,86,202,35,1
8,16,128,2.0,0.477,0.906,2.44,61,116,25,1
4,115,460,28.75,0.426,0.487,17.82,196,224,11,2
7,16,112,2.286,0.42,0.768,2.14,47,86,22,1
7,100,700,14.286,0.411,,1.83,288,594,157,1
12,8,96,0.667,0.448,0.656,4.3,43,63,10,1
12,8,96,0.667,0.615,0.969,5.9,59,93,10,1
12,8,-9999999,0.667,0.479,0.5,46.0,46,48,1,
12,8,96,0.667,0.792,1.0,15.2,76,96,5,1
12,7,84,0.583,0.56,1.0,5.22,47,84,9,1
12,23,276,1.917,0.417,0.623,8.21,115,172,14,1
311,463,143993,1.489,0.088,0.16,3.93,12631,23092,3212,5
14,-9999999,252,1.286,0.159,0.607,3.33,40,153,12,1
10,51,510,5.1,0.306,0.855,2.29,156,436,68,1
9,24,216,2.667,0.537,1.0,2.9,116,216,40,1
10,22,220,2.2,0.336,,2.74,74,184,27,1
9,37,333,4.111,0.538,0.901,2.8,179,300,64,1
37,101,3737,2.73,0.282,0.695,2.44,1053,2596,432,1
10,34,340,3.4,0.421,0.906,2.01,143,308,71,1
11,98,1078,8.909,0.317,0.643,2.8,342,693,122,1
12,83,996,6.917,0.301,0.814,1.99,300,811,151,1
34,114,3876,3.353,0.105,0.301,2.59,406,1166,157,1
12,101,1212,8.417,0.292,0.792,,354,960,178,1
10,87,870,8.7,0.344,0.901,2.27,299,784,132,1
10,98,980,9.8,0.376,0.861,2.1,368,844,175,1
10,84,840,8.4,0.356,0.849,2.47,299,713,121,1
9,47,423,5.222,0.492,0.948,,208,401,86,1
