acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
0.6582,-10.35,-0.1183,-0.6174,0.9292,16.138,0
0.7001,-11.561,-0.1305,0.1899,-0.0869,-0.8852,0
0.3547,-0.8853,-0.0107,0.3715,-0.9418,-27.084,0
0.3895,-0.9959,0.0459,-0.489,0.619,0.5679,0
0.3238,-0.877,-0.0594,0.3748,-0.8984,25.428,0
0.662,-0.7942,-0.2785,0.2064,-0.3973,13.19,0
0.6929,-11.423,-0.1246,-0.295,-0.7894,-10.99,0
0.2491,-0.8098,-0.0453,-0.2112,-0.0623,-28.868,0
0.3197,-0.8978,0.0555,-0.1366,0.1722,-0.8806,0
0.5569,-14.246,-0.1935,0.3919,-11.598,35.336,0
0.3874,-0.6626,-0.1261,0.5992,0.3975,0.882,0
0.5634,-14.413,-0.2124,-0.6606,0.8258,-0.2538,0
0.3344,-0.9437,-0.0687,-0.6882,-0.1209,-25.22,0
0.2797,-0.8473,0.0257,-0.2574,-0.2347,-18.959,0
0.5678,-0.8802,-0.2326,0.5755,0.231,28.897,0
0.5353,-0.8067,-0.1952,0.1344,10.349,20.42,0
0.594,-10.874,-0.2786,-0.1817,0.1701,-0.0454,0
0.6107,-13.625,-0.0638,-0.5926,-0.6533,-17.893,0
0.3213,-0.8954,0.0174,0.049,-0.2087,-28.416,0
0.4545,-10.454,0.0062,-0.0272,0.8734,27.89,0
0.2549,-0.8386,-0.0392,0.2216,0.6141,17.357,0
0.6122,-0.9528,-0.2697,0.1331,-0.5244,0.6437,0
,-12.991,-0.1467,-0.3103,-0.7567,-15.889,0
0.3163,-0.8134,0.0059,-0.1059,-0.3358,-25.507,0
0.4213,-10.8,-0.006,-0.3115,0.7397,11.321,0
0.2652,-0.7821,-0.0957,0.4252,-0.3947,22.478,0
0.5738,-10.088,-0.2986,0.368,0.268,0.6341,0
0.5505,-12.154,-0.1757,-0.6,0.4061,-11.604,0
0.2887,-0.7713,0.0014,,-0.2716,-24.449,0
0.3945,-0.9849,0.0078,-0.2744,0.6706,0.2757,0
0.5972,-11.432,-0.2235,0.4744,-11.092,27.531,0
0.4722,-0.772,-0.2505,0.2067,0.4913,0.7946,0
0.5853,-12.346,-0.1981,-0.5655,0.1169,-0.8977,0
0.2757,-0.8391,-0.0072,-0.3355,-0.3098,-26.54,0
0.3073,-0.9275,0.0401,-0.1457,0.1557,-0.7875,0
0.5658,-11.213,-0.2999,0.3816,-0.7291,,0
0.4005,-0.7692,-0.1453,0.6868,-0.18,10.397,0
0.5844,-14.608,-0.2223,-0.6575,0.5828,-0.4737,0
0.2566,-0.8068,-0.042,-0.7274,-0.0563,-20.685,0
0.304,-10.526,0.0464,-0.4294,0.2014,-14.583,0
0.4465,-10.84,-0.1606,0.4681,0.3918,22.522,0
0.3939,-0.6838,-0.1126,0.5759,-0.0559,14.791,0
0.5429,-11.746,-0.2511,-0.1469,0.096,0.1659,0
0.3388,-10.269,-0.0469,-0.6239,0.1507,-22.914,0
0.313,-0.8987,0.03,-0.139,-0.3489,-20.221,0
0.4655,-0.9433,-0.1292,0.0525,0.8692,26.627,0
0.3586,-0.6902,-0.1185,0.7068,0.121,16.036,0
0.5211,-11.707,-0.2329,-0.1162,0.2544,0.1954,0
0.2969,-11.104,-0.0124,-0.779,-11.317,-16.004,0
0.3363,-0.836,0.0099,-0.0867,-0.3271,-28.469,0
0.3964,-0.9407,0.0009,0.1145,12.034,24.547,0
0.2734,-0.7188,-0.0972,0.4533,0.7148,17.676,0
0.6459,-10.737,-0.287,0.0272,-0.3601,10.471,0
0.5694,-12.458,-0.1208,-0.4814,-0.8431,-18.555,0
,-0.8176,0.0217,-0.1003,-0.4282,-29.279,0
0.4304,-10.449,0.0086,-0.2193,0.5762,13.037,0
0.2451,-0.7513,-0.0711,0.4032,-0.0894,23.071,0
0.619,-10.499,-0.2608,0.213,0.0767,11.665,0
0.5926,-12.836,-0.125,-0.4594,-0.5626,-15.641,0
0.3374,-0.8574,0.022,-0.0574,-0.1738,-31.476,0
0.3904,-10.966,0.0865,-0.2943,10.793,11.683,0
0.4515,-11.358,0.0536,-0.1098,0.7647,16.656,0
0.546,-13.575,-0.1702,0.0282,-0.677,33.69,0
0.5125,-0.7924,-0.1582,0.5775,0.5693,15.485,0
0.618,-10.541,-0.2813,-0.3952,0.2874,-11.419,0
0.3146,-0.8448,-0.2048,-0.4367,-0.2532,-30.088,0
0.2907,-0.916,0.0844,-0.195,0.0612,-12.387,0
0.5521,-11.966,-0.1881,0.4755,-0.4405,32.137,0
0.4494,-0.7836,-0.0926,0.2773,0.9572,17.31,0
0.6712,-14.076,-0.2433,-0.3272,0.3408,-0.3338,0
0.3771,-0.8419,-0.0954,-0.39,-0.7119,-22.131,0
0.2652,-0.8868,0.0612,-0.3929,0.2178,-15.815,0
0.4664,-0.9583,-0.209,0.6097,0.0795,19.947,0
0.3983,-0.6054,-0.1031,0.4364,0.2436,18.102,0
0.5717,-11.796,-0.2747,-0.2244,0.1854,0.0684,0
0.4888,-10.419,-0.0523,-0.4952,-0.2235,-18.617,0
0.2574,-0.8144,0.0614,-0.2815,-0.1088,-19.101,0
0.4383,-12.338,-0.0071,0.2464,0.7006,18.13,0
0.2924,-0.6761,-0.0946,0.6,-0.0807,15.778,0
0.6276,-12.24,-0.2558,-0.1951,0.3076,10.727,0
0.5259,-12.524,-0.1105,-0.4858,-0.167,-18.457,0
0.3091,-0.8166,0.0283,-0.486,-0.4276,-21.202,0
0.4689,-13.066,0.0249,-0.0127,0.7981,16.438,0
0.1589,-0.6739,-0.0822,0.0035,16.908,13.058,0
0.688,-10.351,-0.2452,0.0222,-10.059,13.073,0
0.6005,-14.198,-0.0493,-0.3832,-0.7527,-11.902,0
0.334,-0.698,-0.0091,0.3287,-0.8099,-28.684,0
0.3832,-10.722,0.0366,-0.5351,15.721,15.499,0
0.2838,-0.9062,0.0382,0.3371,-0.5764,16.389,0
0.6306,-10.355,-0.2353,0.1983,0.0396,0.8317,0
0.5268,-13.036,-0.114,-0.509,-0.0389,-12.81,0
0.3323,-0.7253,0.0268,0.0822,-0.7226,-23.49,0
0.3666,-10.244,0.0266,-0.4267,0.8955,10.966,0
0.3373,-11.735,0.0059,0.3822,-0.5113,16.313,0
0.4869,-0.6978,-0.1337,0.2063,0.2438,10.906,0
0.5617,-13.276,-0.1674,-0.513,0.351,-10.634,0
0.2571,-0.6437,-0.0247,-0.2874,0.1529,-25.594,0
0.3857,-0.8789,-0.0129,-0.359,0.3438,0.3601,0
0.5174,-11.699,-0.1549,0.4155,-0.67,21.305,0
0.4649,-0.707,-0.1444,0.3172,0.2781,0.8512,0
0.5341,-13.678,-0.1017,-0.2392,-0.3451,-0.8629,0
0.2995,-0.7166,0.0036,-0.1298,-10.186,-20.083,0
0.4187,-11.376,-0.042,-0.4695,0.846,-0.1603,0
0.3443,-0.7934,-0.0906,0.5763,-0.546,20.638,0
0.3963,-0.7241,-0.115,0.4406,0.4211,11.941,0
0.606,-10.123,-0.2522,-0.3953,0.2056,-0.5066,0
0.2739,-0.7096,-0.0315,-0.4307,0.1261,-24.462,0
0.3608,-10.997,0.0289,-0.253,0.3382,-0.5649,0
0.4662,-10.653,-0.1686,0.2441,-0.4343,23.291,0
0.3881,-0.6858,-0.0778,0.2584,0.6793,11.454,0
0.4995,-12.055,-0.1895,-0.3182,0.4662,0.0246,0
0.3262,-0.8331,-0.0828,,0.023,-24.213,0
0.3158,-0.9102,0.0412,-0.1639,-0.2908,-14.809,0
0.4525,-10.737,-0.167,0.2438,0.3059,23.907,0
0.4001,-0.6247,-0.0973,0.4054,0.4231,13.103,0
0.2536,-0.7218,-0.046,-0.1791,0.0691,-28.528,0
0.3171,-0.9279,0.0466,-0.1915,0.6863,-0.7197,0
0.5144,-11.808,-0.0947,,-0.7586,34.564,0
0.6302,-10.027,-0.2544,0.4635,0.3526,13.424,0
0.5315,-13.59,-0.1005,-0.636,-0.4082,-14.25,0
0.3078,-0.8247,-0.0371,-0.419,0.6718,-34.323,0
0.2961,-0.8109,0.0529,0.1695,0.3035,-0.61,0
0.6216,-12.921,-0.183,0.3646,-0.8434,45.253,0
0.4669,-0.8997,-0.1299,0.6902,10.346,10.067,0
0.5483,-10.437,-0.2464,-0.5561,0.3751,-10.836,0
0.2883,-0.7494,-0.07,-0.5835,0.2541,-27.221,0
0.3103,-0.9474,0.0918,-0.3342,0.3749,-0.9615,0
0.5737,-12.309,-0.1642,0.6664,-10.689,30.6,0
0.3922,-0.804,-0.1033,0.4671,0.8675,14.024,0
0.6183,-10.988,-0.2312,-0.5011,-0.0069,-0.662,0
0.3179,-0.7208,-0.0448,-0.2314,0.0269,-28.967,0
0.3401,-0.9129,0.0609,-0.4286,0.5847,-0.8477,0
0.5484,-11.66,-0.1173,0.3994,-0.8414,32.145,0
0.4537,-0.8362,-0.2068,0.7727,0.1396,11.252,0
0.5727,-12.256,-0.2337,-0.9033,0.5141,-0.4572,0
0.2616,-0.7633,-0.0727,-0.5846,0.2503,-27.332,0
0.3056,-0.8865,0.0855,-0.3585,0.1818,,0
0.5986,-13.343,-0.1837,0.1472,-0.481,35.921,0
0.4264,-0.7467,-0.1037,0.8588,-0.0226,14.567,0
0.6081,-14.422,-0.2209,-0.6622,0.2625,-0.3923,0
0.3269,-0.8763,-0.117,-0.6601,0.3963,-28.025,0
0.2867,-0.9105,0.0883,-0.2444,-0.238,-20.077,0
0.5973,-11.717,-0.2185,0.2394,0.4566,36.139,0
0.4086,-0.7668,-0.0785,0.6984,0.2264,14.65,0
0.5778,-12.404,-0.2415,-0.2482,0.3329,-0.0082,0
0.3584,-0.9358,-0.0663,-0.8162,0.1683,-22.499,0
0.3073,-0.9256,0.0756,-0.1117,-0.1397,-20.681,0
0.5509,-0.9719,-0.2229,0.3479,0.5021,28.032,0
0.2878,-0.7348,-0.099,0.5608,0.2959,13.805,0
0.6972,-10.896,-0.2856,-0.0637,-11.547,0.518,0
0.4141,-11.618,-0.0169,-0.8328,0.6143,-22.212,
0.29,-0.8034,0.0464,0.063,-0.7305,-24.112,0
0.5698,-0.998,-0.1377,-0.0621,0.8144,30.975,0
0.3225,-0.6746,-0.1022,0.8993,-0.3752,14.425,0
0.606,-10.898,-0.299,-0.0136,0.1052,0.4499,0
0.6016,-12.367,-0.074,-0.7873,-0.2988,-17.221,0
0.3298,-0.7938,0.0464,-0.1973,0.1652,-26.224,0
0.5016,-11.101,0.059,-0.1059,0.585,21.587,0
0.3104,,-0.0498,0.412,0.3379,16.784,0
0.6541,-0.9303,-0.231,0.0879,-0.6524,0.8965,0
0.5684,-12.506,-0.1003,-0.5448,-0.4106,-16.335,0
0.3284,-0.7616,0.0295,-0.1484,-0.3465,-26.245,0
0.4109,,0.0728,-0.3152,0.8415,17.632,0
0.3466,-10.184,0.0288,0.4789,-0.6232,18.187,0
0.6113,-0.8124,-0.2345,0.212,0.3684,10.388,0
0.5513,-11.746,-0.1753,-0.6633,-0.5685,-12.377,0
0.3668,-0.7101,0.0232,-0.1469,0.2517,-28.709,0
0.4173,-10.021,0.0348,-0.2592,0.3906,0.4778,0
0.3314,-10.075,-0.0322,0.5693,-10.897,25.327,0
0.6653,-11.37,-0.2516,-0.1598,0.1744,0.1806,0
0.4899,-12.086,0.0166,-0.6633,-0.6494,-17.022,0
0.3092,-0.8176,0.0746,-0.11,-0.383,-26.218,0
0.4789,-11.091,0.0271,0.0348,0.5126,23.429,0
0.3949,-0.7153,-0.0843,0.5852,-0.5093,23.504,0
0.6788,-11.107,-0.2374,-0.1203,-0.1473,0.6485,0
0.4995,-11.311,-0.0235,-0.3738,-0.0901,-21.077,0
0.277,-0.8528,0.0961,-0.225,-0.0603,-23.144,0
0.4535,-0.9252,-0.037,0.1067,0.2942,19.403,0
0.3601,-0.6574,-0.1068,0.5694,-0.0769,19.158,0
0.5497,-11.401,-0.2169,-0.1072,0.0901,0.4734,0
0.5429,-11.964,-0.0033,-0.5632,-10.052,-12.434,0
0.3093,-0.7992,0.1109,-0.2708,-0.3486,-23.478,0
0.4548,-11.535,0.0334,-0.0542,0.7975,15.899,0
0.3093,-0.7663,-0.0519,0.5062,-0.0695,19.724,0
0.5912,-10.083,-0.2088,0.1226,0.1496,10.044,0
0.6071,-13.447,-0.0805,-0.6091,-0.618,-11.954,0
0.3548,-0.7767,0.0122,0.001,-0.3999,-28.29,0
0.4499,-10.593,0.0144,-0.4018,0.4666,0.7395,0
0.357,-0.8565,-0.0883,0.8757,-0.6845,21.371,0
0.627,-10.177,-0.3135,0.5513,0.4483,0.9964,0
0.4911,-13.223,-0.1204,-0.8533,0.9016,-16.547,0
0.308,-0.7352,-0.0315,-0.1625,-0.1706,-25.231,0
0.3176,-0.8246,0.0728,-0.2595,0.5594,-0.0093,0
0.526,-13.098,-0.1753,0.3309,-0.9608,27.291,0
0.535,-0.7031,-0.1778,0.1304,0.3319,11.237,0
0.5934,-14.911,-0.1219,-0.6453,0.8851,-11.157,0
0.3804,-0.8353,-0.0049,0.087,-0.8111,-22.458,0
0.3101,-0.8957,0.0087,-0.0417,-0.1267,-0.8014,0
0.5431,-12.388,-0.2278,-0.1709,0.2363,30.117,0
0.428,-0.6476,-0.11,0.097,0.4901,11.8,0
0.6526,-13.901,-0.1993,-0.3156,0.3755,-0.445,0
0.3271,-0.7684,-0.0754,0.2842,-0.6777,-22.425,0
0.302,-0.8264,0.0242,-0.1106,0.1495,-14.297,0
0.574,-10.933,-0.1326,0.0352,-0.1197,30.666,0
0.3529,-0.6248,-0.0919,0.3287,0.6674,11.381,0
0.5313,-11.324,-0.2083,-0.2812,0.0773,0.2129,0
0.3667,-0.9778,-0.0574,-0.324,-0.4104,-20.694,0
0.2524,-0.7704,0.0374,-0.1589,0.0168,-25.196,0
0.5594,-0.9576,-0.2063,0.0843,0.5387,28.212,0
0.3835,-0.7269,-0.1282,0.2447,0.6811,15.318,0
0.6656,-0.9436,-0.2458,-0.208,-0.4168,0.4051,0
0.5839,-14.289,-0.0896,-0.2602,-0.3818,-20.686,0
0.306,-0.772,0.0284,-0.0297,-0.7028,-25.507,0
0.475,-10.184,-0.0003,-0.2567,0.9796,26.059,0
0.3231,-0.7806,-0.1376,0.416,0.0675,17.117,0
0.638,-0.7886,-0.2275,-0.0898,-0.2575,0.7814,0
0.5261,-12.11,-0.0912,-0.0421,-0.5205,-18.038,0
0.2926,-0.7429,0.0321,0.1268,-0.7239,-23.948,0
0.378,-10.026,0.0157,-0.239,0.0524,0.8933,0
0.284,-0.8118,-0.1059,0.7212,-0.708,19.102,0
0.5578,-0.7604,-0.2004,0.3443,0.2052,0.9096,0
0.6333,-13.6,-0.1536,-0.4137,0.1326,-13.459,0
0.3307,-0.8636,0.0035,0.1718,-0.5647,-31.815,0
0.4262,-0.9238,0.0272,-0.395,0.7432,0.5612,0
0.6778,-12.389,-0.1059,0.3041,-0.7998,34.31,0
0.4998,-0.734,-0.0957,0.3865,0.3212,12.957,0
0.629,-11.496,-0.2043,-0.5815,-0.1978,-14.975,0
0.3399,-0.7481,-0.0185,-0.2151,-0.4761,-30.078,0
0.3215,-0.8466,0.0322,-0.3628,0.0408,-0.6074,0
0.447,-10.793,-0.0691,0.7212,-0.3257,31.636,0
0.5174,-0.8549,-0.2681,0.7243,-0.0863,13.982,0
0.7186,-12.654,-0.2323,-0.7292,0.3123,-0.7082,0
0.2688,-0.8077,-0.0604,-0.4393,-0.0961,-29.641,0
0.2547,-10.194,0.1248,-0.4085,0.7982,-11.143,0
0.5223,-10.453,-0.1561,0.7304,-0.7441,27.497,0
0.5398,-0.8313,-0.2716,0.3845,0.0879,19.835,0
0.5446,-11.262,-0.2446,-0.4308,-0.1202,-0.9359,0
0.2865,-0.9115,-0.0219,-0.6912,0.0317,-25.845,0
0.3105,-0.9978,0.0666,-0.0944,0.1833,-16.64,0
0.5193,-10.762,-0.1831,0.3164,0.1502,30.719,0
0.4518,-0.727,-0.1145,0.3501,0.2591,18.159,0
0.6119,-10.515,-0.2047,0.1836,-0.3366,-0.263,0
0.3218,-0.9857,0.0114,-0.9756,-0.3174,-22.28,0
0.337,-0.9111,0.0602,-0.5968,0.5053,-20.847,0
0.443,-10.223,-0.1086,0.8515,-0.034,21.731,0
0.4171,-0.6856,-0.1368,11.747,-0.8109,18.978,0
0.5283,-11.37,-0.2855,-0.1246,-12.859,0.5524,0
0.285,-0.9752,-0.0248,-14.119,-0.8882,-19.32,0
0.3165,-0.902,0.1702,-11.64,0.0385,-20.103,0
0.5085,-0.8028,-0.227,11.254,0.0152,0.9413,0
0.3716,-0.7429,-0.1764,11.721,0.8563,19.53,0
0.6324,-10.884,-0.2029,0.2663,-0.737,15.198,0
0.5211,-11.66,-0.0669,-0.4915,-14.886,-15.622,0
0.3387,-0.8848,0.1047,-0.6261,-0.5139,-22.408,0
0.4614,-11.464,-0.0183,0.2165,0.2491,0.6734,0
0.2257,-0.7397,-0.0208,10.513,-0.4419,14.202,0
0.5931,-0.9641,-0.232,0.5439,0.5475,14.513,0
0.5855,-11.462,-0.1088,-0.4729,-16.018,-0.5724,0
0.2847,-0.7593,-0.0114,-0.7653,0.8282,-27.699,0
0.3549,-10.565,0.0652,-0.2562,0.0045,-0.3285,0
0.4683,-11.195,-0.142,0.743,-0.3873,21.826,0
0.5855,-0.8095,-0.2669,0.2423,0.6602,13.651,0
0.6072,-10.441,-0.2508,-0.2173,-0.8004,-0.3941,0
0.3039,-0.7004,-0.0002,-0.5906,0.6662,-27.873,0
0.3492,-10.846,0.0662,-0.3647,0.1245,-0.399,0
0.4254,-11.138,-0.1141,0.5225,-0.8127,22.781,0
0.4224,-0.7515,-0.1247,0.4525,0.6359,12.39,0
0.5758,-11.695,-0.2878,-0.1438,0.1753,-0.1873,0
0.22,-0.7924,-0.0359,-0.679,-0.0047,-25.467,0
0.3162,-0.9621,0.0752,-0.4047,-0.1915,-14.465,0
0.4528,-0.913,-0.0851,0.3986,-0.5418,28.579,0
0.3537,-0.6741,-0.1034,0.5651,0.383,13.884,0
0.5868,-12.022,-0.2372,-0.1266,0.3999,0.3209,0
0.4449,-12.787,0.0326,-0.7765,-0.4562,-24.304,0
0.3313,-0.8896,0.0679,-0.1911,-0.4565,-25.709,0
0.4688,-10.241,-0.0006,0.2922,0.6663,27.027,0
0.3356,-0.6784,-0.0971,0.3719,0.8811,16.357,0
0.616,-15.303,-0.2141,-0.4052,0.5935,-0.6857,0
0.2769,-10.433,-0.0407,-0.9354,-0.5621,-28.474,0
0.3541,-0.8344,0.0368,-0.0856,-0.5181,-19.328,0
0.6245,-10.092,-0.2337,0.3699,,35.839,0
0.3982,-0.7042,-0.1237,0.5515,0.3504,16.079,0
0.5593,-12.322,-0.2468,-0.0872,0.1905,0.1505,0
0.4733,-12.702,-0.0225,-0.72,-0.3134,-23.748,0
0.3046,-0.8358,0.0197,-0.1155,-0.5295,-24.091,0
0.4889,-10.72,-0.084,0.0824,0.7986,28.542,0
0.3029,-0.6976,-0.0825,0.4251,0.672,17.969,0
0.6187,-12.203,-0.3073,0.0759,-0.2289,0.2673,0
0.3927,-11.884,-0.0297,-0.6816,-13.419,-16.107,0
0.3277,-0.8311,0.0022,-0.348,0.0944,-26.37,0
0.3999,-0.9463,-0.0469,0.0607,0.5298,14.213,0
0.3277,-0.7298,-0.1077,0.528,-0.0991,22.371,0
0.571,-11.304,-0.2989,0.1695,0.1035,10.256,0
0.4882,-12.1,-0.084,-0.6158,-0.7365,-19.146,0
0.3608,-0.8436,0.0154,-0.2776,-0.0614,-27.183,0
0.3989,-10.636,0.0402,0.0106,0.4997,12.213,0
0.3332,-0.9214,-0.0615,0.7367,-0.3097,17.799,0
0.4984,-0.9477,-0.2176,0.3644,0.2709,11.514,0
0.522,-10.431,-0.2399,-0.4743,-0.2237,-11.42,0
0.3132,-0.6933,-0.0312,-0.1617,-0.3221,-23.276,0
0.3576,-11.281,0.0336,-0.3517,0.2105,-0.2272,0
0.4329,-11.355,-0.0869,0.2759,-0.1337,,0
0.4535,-0.7109,-0.1707,0.1671,0.2451,14.284,0
0.5764,-11.615,-0.3584,-0.3541,-0.6246,-0.5184,0
0.2917,-0.6769,-0.066,-0.6155,0.4735,-22.089,0
0.3144,-10.947,-0.0215,-0.1396,0.0389,-0.8548,0
0.4263,-10.388,-0.1677,0.4698,-0.2635,20.813,0
0.4188,-0.827,-0.1165,0.1221,10.776,12.727,0
0.5729,-12.317,-0.2519,-0.1443,0.0278,0.2078,0
0.3404,-0.6807,-0.0863,-0.4991,0.0893,-19.509,0
0.3128,-11.473,0.0253,-0.6018,0.2641,-13.059,0
0.4361,-11.407,-0.1643,0.6118,-0.5618,17.478,0
0.3735,-0.645,-0.1124,0.4287,0.5495,10.201,0
0.5251,-13.182,-0.2356,-0.103,-0.0937,0.7595,0
0.2923,-0.8345,-0.0673,-0.5445,0.3344,-22.024,0
0.3277,-0.8111,0.0291,-0.221,-0.5827,-14.962,0
0.4462,-11.15,-0.1081,0.2084,-0.0442,21.31,0
0.274,-0.5791,-0.0944,0.492,0.2787,0.6557,0
0.5038,-11.655,-0.224,-0.1518,0.0798,0.8897,0
0.3859,-10.099,-0.0275,-0.7253,-0.7326,-11.953,0
0.3564,-0.8893,0.0112,0.0209,-0.4725,-24.308,0
0.4382,-10.498,-0.109,-0.0188,0.5479,20.554,0
0.275,-0.5968,-0.1001,0.5466,0.2816,11.25,0
0.5383,-12.726,-0.2304,0.0465,0.3084,10.019,0
0.4072,-12.403,-0.0022,-0.7548,-16.075,-10.876,0
0.3714,-0.804,0.011,-0.5705,0.3875,-25.838,0
0.4244,-12.109,-0.0137,0.0313,0.4636,12.877,0
0.2253,-0.696,-0.0815,0.7829,-0.5261,13.361,0
0.6225,-11.17,-0.3121,0.4882,0.2342,10.674,0
0.5516,-12.216,-0.1619,-0.4562,-0.1928,-11.151,0
0.2677,-0.7471,0.0136,-0.6087,-0.2823,-19.406,0
0.5943,-12.638,-0.1086,-0.8264,-0.8128,-18.137,0
0.2833,-0.9328,0.0478,-0.7424,0.3869,-29.918,0
0.4411,-0.914,-0.0316,0.2779,0.2431,23.214,0
0.2971,-0.6829,-0.1402,0.8385,-0.6104,19.295,0
0.7097,-11.566,-0.3781,0.2966,-0.0863,0.7873,0
0.5403,-14.307,-0.0359,-0.8374,-0.7762,-16.704,0
0.3846,-0.8189,0.0141,-0.1751,-0.2585,-29.437,0
0.471,-11.856,0.0354,-0.1723,0.7361,16.525,0
0.2518,-0.7672,-0.0697,0.3746,0.0819,20.066,0
0.6716,-10.452,-0.3143,0.2851,0.0254,12.805,0
0.6047,-12.847,-0.1428,-0.4336,-0.4299,-16.794,0
0.3339,-0.8006,-0.0202,0.1292,-0.3733,-32.615,0
0.3429,-0.881,0.0131,-0.1695,0.3839,0.5007,0
0.4845,-12.089,-0.1756,0.4324,-0.3668,29.715,0
0.5121,-0.743,-0.1922,0.2994,13.971,11.349,0
0.5712,-0.9719,-0.2568,-0.4372,0.5613,-10.171,0
0.3163,-0.7931,-0.031,-0.2244,-0.0154,-29.823,0
0.3411,-0.9162,0.0511,-0.2681,-0.0709,-0.8561,0
0.561,-13.257,-0.2037,0.2191,-0.4518,36.658,0
0.4413,-0.762,-0.113,0.5956,0.7867,0.862,0
0.4945,-13.484,-0.1783,-0.1627,0.206,-0.1527,0
0.2891,-0.8581,-0.081,-0.4405,-0.0799,-26.239,0
0.307,-0.9037,0.0289,-0.1864,-0.3989,-15.068,0
0.4362,-0.8953,-0.1105,0.2942,0.5659,28.598,0
0.2813,-0.6785,-0.0825,0.7714,0.2734,10.106,0
0.5857,-12.316,-0.2917,-0.1372,-0.1247,0.5759,0
0.4039,-11.482,-0.0182,-0.8147,-0.3499,-19.736,0
0.3275,-0.8342,0.0535,-0.2446,-0.6054,-21.684,0
0.4749,-10.988,0.0093,0.0996,0.9803,21.399,0
0.2779,-0.7089,-0.0701,0.7221,-0.2663,17.089,0
0.5595,-10.804,-0.2356,0.1543,0.015,0.9904,0
0.5339,-12.329,-0.1176,-0.5149,0.3317,-14.911,0
0.3824,-0.7146,-0.0081,0.1937,-0.846,-27.034,0
0.3921,-10.998,0.0118,-0.1772,0.4675,0.9996,0
0.3231,-0.8291,-0.0338,0.3036,0.6795,17.462,0
0.442,-0.8842,-0.1065,0.1696,0.4693,17.454,0
0.5914,-11.003,-0.1851,-0.1069,-0.5757,-14.59,0
0.2918,-0.7856,,-0.4235,-0.3827,-26.685,0
0.2961,-10.46,0.0645,-0.329,0.6594,-0.918,0
