speaker,utterance,frame,coefficient1,coefficient2,coefficient3,coefficient4,coefficient5,coefficient6,coefficient7,coefficient8,coefficient9,coefficient10,coefficient11,coefficient12
1,4,4,1.457268,-0.318523,0.427336,-0.127365,-0.399821,-0.612514,0.236434,0.039318,-0.129377,-0.053426,-0.064975,0.131102
1,4,5,1.534783,-0.414512,0.273407,-0.008643,-0.452153,-0.532525,0.275157,0.032256,-0.135727,-0.158885,-0.070709,0.073425
1,4,6,1.505516,-0.466125,0.317178,-0.06588,-0.476936,-0.353201,0.165807,0.006522,-0.077765,-0.253737,-0.153013,0.116918
1,4,7,1.552154,-0.535885,0.410055,-0.182647,-0.438259,-0.233271,0.085723,0.030157,-0.077588,-0.336853,-0.190216,0.165516
1,4,8,1.497978,-0.67432,0.473896,-0.228218,-0.376289,-0.168635,-0.002026,0.034234,-0.082042,-0.352695,-0.204131,0.165831
1,4,9,1.543273,-0.853992,0.582981,-0.157712,-0.365579,-0.095108,-0.108669,0.035963,-0.057307,-0.386457,-0.185253,0.16828
1,4,10,1.623602,-0.883008,0.573858,-0.090257,-0.334159,-0.047162,-0.160032,0.009218,-0.043002,-0.406532,-0.161626,0.17891
1,4,11,1.626277,-0.844833,0.55501,-0.044239,-0.308894,-0.003722,-0.225799,-0.06849,-0.008632,-0.340455,-0.155957,0.139002
1,4,12,1.63463,-0.84696,0.575776,0.038173,-0.245206,0.029938,-0.301001,-0.122305,0.014359,-0.281971,-0.146793,0.083612
1,4,13,1.65847,-0.880809,0.595335,0.013667,-0.056339,-0.017231,-0.331172,-0.102574,-0.097225,-0.266548,-0.025202,0.030883
1,4,14,1.653296,-0.987157,0.733377,0.012034,0.003833,0.031168,-0.372246,-0.133379,-0.12298,-0.25823,0.034436,0.008776
1,4,15,1.704241,-1.078002,0.869738,-0.023985,0.000518,0.08961,-0.418634,-0.165928,-0.109833,-0.251303,0.034556,-0.025393
1,4,16,1.556289,-1.043587,0.909457,-0.018181,0.018808,0.033865,-0.410164,-0.134829,-0.178459,-0.244507,0.090128,-0.077927
1,4,17,1.421861,-1.056354,0.874371,0.061409,0.073847,-0.01579,-0.410899,-0.098065,-0.207248,-0.267319,0.119465,-0.098507
1,4,18,1.31135,-1.039592,0.838275,0.083326,0.138074,-0.001436,-0.399484,-0.100748,-0.244054,-0.27706,0.133377,-0.090556
1,4,19,1.175227,-0.937689,0.701567,0.200096,0.201766,-0.031186,-0.363746,-0.090629,-0.279473,-0.281225,0.130948,-0.082822
1,4,20,1.335523,-1.090194,0.832941,0.144356,0.217119,-0.074302,-0.395826,-0.05633,-0.283548,-0.268979,0.09866,-0.098007
1,5,1,1.66567,-0.251224,0.30971,-0.371666,-0.311727,-0.520932,-0.21593,0.255584,0.048732,-0.115333,0.063014,0.156787
1,5,2,1.685376,-0.305126,0.339418,-0.455499,-0.259315,-0.5026,-0.195365,0.185427,0.076114,-0.106838,-0.036998,0.200715
1,5,3,1.541171,-0.238987,0.295073,-0.447638,-0.200163,-0.495071,-0.189373,0.123212,0.130086,-0.125721,-0.100226,0.232676
1,5,4,1.479049,-0.278182,0.351733,-0.476356,-0.134112,-0.463027,-0.258962,0.179394,0.077287,-0.15946,-0.060428,0.203395
1,5,5,1.602405,-0.359135,0.370285,-0.490972,-0.114847,-0.473727,-0.209386,0.131919,0.008094,-0.178367,-0.121264,0.271936
1,5,6,1.616784,-0.373741,0.264209,-0.391096,-0.06592,-0.523488,-0.100301,0.046133,-0.076248,-0.176394,-0.157841,0.329654
1,5,7,1.560852,-0.32432,0.08428,-0.169021,-0.058893,-0.557847,-0.032517,0.049321,-0.134548,-0.193288,-0.088907,0.251756
1,5,8,1.586381,-0.335201,0.094031,-0.119184,0.027851,-0.475723,-0.169229,0.060178,-0.188224,-0.16409,-0.045568,0.149243
1,5,9,1.55236,-0.425376,0.199152,-0.039058,0.07622,-0.416775,-0.228764,0.065394,-0.183333,-0.120764,-0.088878,0.042436
1,5,10,1.756285,-0.615969,0.208466,-0.047114,0.212092,-0.417191,-0.204745,-0.049585,-0.189937,-0.075709,-0.209564,0.074583
1,5,11,1.678263,-0.668299,0.309991,-0.106823,0.256535,-0.295843,-0.245288,-0.148974,-0.158393,-0.059683,-0.293401,0.08855
1,5,12,1.65066,-0.744537,0.377687,-0.010016,0.24253,-0.280315,-0.297346,-0.186301,-0.153023,-0.047579,-0.245426,0.047008
1,5,13,1.627512,-0.753931,0.230844,0.148994,0.216088,-0.27685,-0.23204,-0.227556,-0.168355,-0.094685,-0.181778,0.061112
1,5,14,1.612174,-0.724072,0.121253,0.269891,0.333275,-0.345888,-0.170601,-0.171993,-0.272781,-0.098009,-0.111772,0.05563
1,5,15,1.560036,-0.706304,0.164484,0.308054,0.304618,-0.246276,-0.181531,-0.209579,-0.260218,-0.130769,-0.062059,0.084525
1,5,16,1.513187,-0.782704,0.289054,0.256406,0.237954,-0.123745,-0.210291,-0.278591,-0.193769,-0.139636,-0.08706,0.118787
1,5,17,1.463309,-0.796814,0.35513,0.238131,0.252769,-0.08381,-0.27268,-0.239268,-0.162374,-0.159496,-0.071656,0.087922
1,5,18,1.449662,-0.922675,0.480473,0.224269,0.227253,0.02826,-0.391606,-0.183462,-0.123246,-0.221048,-0.000435,0.035291
1,5,19,1.361718,-0.960896,0.559628,0.226486,0.235033,0.063513,-0.455297,-0.159983,-0.100619,-0.25841,0.037011,0.008935
1,5,20,1.254506,-0.869107,0.554876,0.280537,0.260423,-0.0192,-0.447082,-0.113791,-0.110484,-0.289957,0.039887,0.026577
1,5,21,1.251355,-0.875268,0.593917,0.332128,0.276972,-0.10635,-0.387802,-0.113938,-0.130651,-0.258918,0.002197,0.021173
1,6,1,1.316781,0.208962,0.247252,-0.122314,-0.291894,-0.538407,0.038262,0.028536,-0.165629,-0.145149,0.112608,0.108192
1,6,2,1.546594,0.153905,0.208579,-0.126525,-0.347069,-0.575495,0.129119,0.029862,-0.12089,-0.077795,0.037846,0.080831
1,6,3,1.608876,-0.017998,0.340853,-0.161172,-0.493625,-0.438199,0.073069,0.037607,-0.038292,-0.169238,0.028236,0.109325
1,6,4,1.500528,-0.028411,0.437274,-0.334035,-0.433048,-0.348928,0.077534,0.009284,-0.036945,-0.234477,0.021624,0.162682
1,6,5,1.310997,-0.030111,0.507571,-0.491682,-0.360644,-0.290714,0.133114,-0.011299,-0.103233,-0.171606,-0.033292,0.112799
1,6,6,1.321061,-0.043778,0.324998,-0.320261,-0.36592,-0.236857,0.057422,-0.029263,-0.095248,-0.267429,0.003456,0.12095
1,6,7,1.450239,-0.080798,0.204418,-0.149472,-0.341621,-0.215631,-0.077424,-0.005952,-0.121362,-0.375987,0.066614,0.210394
1,6,8,1.531836,-0.156028,0.190886,-0.163969,-0.231265,-0.193294,-0.237795,0.027416,-0.113438,-0.399447,0.067804,0.235495
1,6,9,1.634158,-0.344119,0.216047,-0.178078,-0.164999,-0.106416,-0.302677,-0.002384,-0.102691,-0.386465,0.036043,0.235927
1,6,10,1.780029,-0.532443,0.21,-0.150181,-0.127082,-0.035412,-0.234951,-0.050771,-0.136983,-0.391376,-0.023714,0.265352
1,6,11,1.862115,-0.707949,0.18435,0.032872,-0.125617,-0.029569,-0.199874,-0.075182,-0.182564,-0.368635,-0.016512,0.284451
1,6,12,1.788249,-0.768673,0.283067,0.081496,0.043878,-0.204872,-0.189915,-0.122166,-0.273674,-0.23823,0.048968,0.223579
1,6,13,1.558448,-0.647224,0.182383,0.1677,0.192839,-0.298809,-0.222101,-0.179669,-0.246067,-0.17018,0.031181,0.196374
1,6,14,1.527604,-0.61904,0.133084,0.185089,0.212895,-0.226078,-0.244898,-0.235385,-0.233182,-0.159263,0.028516,0.152444
1,6,15,1.800617,-0.790902,0.326549,0.112653,0.187628,-0.201391,-0.241863,-0.26156,-0.288767,-0.137291,-0.012089,0.134224
1,6,16,1.547859,-0.708329,0.230714,0.301073,0.139891,-0.207068,-0.239155,-0.257594,-0.238636,-0.17912,-0.011356,0.081306
1,6,17,1.611904,-0.821887,0.364913,0.271679,0.11478,-0.195785,-0.267947,-0.24272,-0.249445,-0.195197,0.005866,0.086699
1,6,18,1.606463,-0.850473,0.510641,0.262553,0.08998,-0.142387,-0.292794,-0.284728,-0.225541,-0.19478,0.013731,0.108453
1,6,19,1.523198,-0.83004,0.368123,0.38173,0.133352,-0.14214,-0.283807,-0.275013,-0.223317,-0.157839,0.017047,0.04699
1,6,20,1.426542,-0.877377,0.474689,0.389244,0.197516,-0.183735,-0.293493,-0.217475,-0.227767,-0.154633,0.019405,0.028457
1,6,21,1.313754,-0.784868,0.562344,0.399884,0.181482,-0.149606,-0.28253,-0.247117,-0.174886,-0.164402,-0.005472,0.056626
1,6,22,1.445636,-0.71548,0.558721,0.452585,0.18009,-0.142327,-0.238381,-0.284529,-0.172752,-0.158843,-0.009701,0.075992
1,6,23,1.622524,-0.763775,0.644036,0.389923,0.230516,-0.121277,-0.304381,-0.241366,-0.180656,-0.159602,0.010511,0.052609
1,7,1,1.298242,-0.145848,0.602439,-0.558909,-0.063299,-0.371642,0.001086,0.285956,-0.238774,-0.188824,-0.040123,0.122868
1,7,2,1.284513,-0.115359,0.509488,-0.524351,-0.097627,-0.352564,0.080347,0.182553,-0.266852,-0.167901,-0.049674,0.124165
1,7,3,1.366785,-0.177232,0.502441,-0.571654,-0.079904,-0.33902,0.067623,0.103885,-0.276118,-0.120408,-0.105818,0.15972
1,7,4,1.372831,-0.191557,0.459848,-0.499487,-0.03967,-0.333126,-0.005106,0.087083,-0.247359,-0.152682,-0.067913,0.176425
1,7,5,1.417637,-0.157945,0.520153,-0.572629,-0.039446,-0.253199,-0.059307,0.048715,-0.282594,-0.206558,-0.00389,0.169362
1,7,6,1.417835,-0.099372,0.471114,-0.595027,0.110219,-0.337169,-0.115554,0.069107,-0.374232,-0.216007,0.012745,0.177393
1,7,7,1.350428,-0.133935,0.443349,-0.452326,0.159401,-0.351955,-0.156536,-0.013074,-0.340212,-0.219998,0.022386,0.208493
1,7,8,1.306239,-0.197304,0.409404,-0.363984,0.229075,-0.342244,-0.19479,-0.06831,-0.251026,-0.218385,-0.05055,0.251723
1,7,9,1.418816,-0.221052,0.33791,-0.282619,0.28575,-0.349318,-0.246278,-0.053703,-0.278733,-0.289131,-0.002221,0.271178
1,7,10,1.561812,-0.341313,0.532809,-0.338048,0.276729,-0.254892,-0.321675,-0.026014,-0.328668,-0.306133,0.023878,0.258802
1,7,11,1.285543,-0.250419,0.485271,-0.279746,0.293163,-0.222749,-0.293701,-0.015083,-0.246913,-0.336171,0.025722,0.220069
1,7,12,1.160802,-0.313657,0.479699,-0.164835,0.269481,-0.174039,-0.302722,-0.052517,-0.205106,-0.375349,0.062873,0.240106
1,7,13,1.34109,-0.434988,0.530374,-0.126942,0.318548,-0.13489,-0.38327,-0.119058,-0.211241,-0.333793,0.09909,0.231482
1,7,14,1.382492,-0.40479,0.471562,-0.063385,0.369611,-0.161873,-0.412308,-0.16332,-0.181777,-0.298663,0.079851,0.185592
1,7,15,1.339451,-0.481133,0.570811,-0.047414,0.414503,-0.202914,-0.44236,-0.142528,-0.182088,-0.266776,0.048488,0.152438
1,7,16,1.121185,-0.487641,0.615707,-0.069434,0.425557,-0.201003,-0.348885,-0.145906,-0.254205,-0.241451,0.066971,0.141763
1,7,17,1.082868,-0.564467,0.685535,-0.056664,0.419323,-0.136114,-0.348527,-0.181743,-0.270824,-0.205987,0.076224,0.113327
1,7,18,0.967712,-0.520098,0.726917,-0.028067,0.37489,-0.020208,-0.362509,-0.260621,-0.221138,-0.186627,0.07712,0.017963
1,7,19,0.939699,-0.500703,0.762015,0.005092,0.360897,-0.048284,-0.378706,-0.22562,-0.226413,-0.218629,0.096138,-0.041842
1,7,20,0.895805,-0.531574,0.818346,0.025463,0.356354,-0.083756,-0.385054,-0.157173,-0.234492,-0.253865,0.078315,-0.058649
1,7,21,0.971273,-0.624686,0.909781,0.027477,0.338503,-0.051478,-0.443278,-0.115329,-0.232085,-0.262236,0.08791,-0.109648
1,7,22,0.893762,-0.589257,0.889266,0.122634,0.302502,-0.012828,-0.420706,-0.11013,-0.215093,-0.271401,0.095645,-0.134627
1,8,1,1.685639,-0.170479,0.57703,-0.756917,-0.033735,-0.338705,-0.430485,0.307383,0.000945,-0.126192,0.000879,-0.047986
1,8,2,1.698825,-0.245514,0.501133,-0.663925,-0.039698,-0.355668,-0.405613,0.299955,0.019627,-0.144827,-0.054213,-0.052114
1,8,3,1.750511,-0.308582,0.53531,-0.715814,0.040141,-0.356215,-0.477349,0.336016,-0.000313,-0.211349,-0.082473,-0.037075
1,8,4,1.67545,-0.310491,0.588458,-0.709855,0.094683,-0.328834,-0.479756,0.345373,-0.04262,-0.277127,-0.086374,-0.001209
1,8,5,1.677717,-0.331005,0.557505,-0.691774,0.167053,-0.277809,-0.484052,0.29072,-0.081371,-0.311812,-0.0978,0.034412
1,8,6,1.686637,-0.387487,0.531985,-0.589601,0.204824,-0.281143,-0.547638,0.219321,-0.089845,-0.316456,-0.062805,0.048987
1,8,7,1.588764,-0.408304,0.438431,-0.431921,0.208249,-0.252435,-0.501121,0.146282,-0.083805,-0.342953,-0.051415,0.086083
1,8,8,1.538907,-0.420475,0.408907,-0.424434,0.237207,-0.198122,-0.463432,0.121427,-0.106065,-0.365806,-0.056661,0.109736
1,8,9,1.535322,-0.443226,0.381586,-0.37968,0.249742,-0.112427,-0.404311,0.047588,-0.152123,-0.366294,-0.043276,0.142535
1,8,10,1.593539,-0.517504,0.347412,-0.343879,0.279953,-0.033607,-0.410133,-0.00174,-0.181685,-0.365399,-0.014849,0.141845
1,8,11,1.665299,-0.607764,0.311501,-0.274218,0.283223,-0.008129,-0.403271,-0.009471,-0.226521,-0.353389,0.026372,0.113182
1,8,12,1.586304,-0.614515,0.267663,-0.239787,0.337778,-0.007428,-0.383705,-0.021307,-0.291419,-0.297178,0.059879,0.067328
1,8,13,1.545194,-0.67266,0.408341,-0.284756,0.361038,0.012793,-0.410656,0.001494,-0.316842,-0.306321,0.097692,0.056051
1,8,14,1.507911,-0.69765,0.408211,-0.163966,0.351258,-0.025547,-0.410941,0.021945,-0.295964,-0.309313,0.087452,0.024961
1,8,15,1.490069,-0.698884,0.398661,-0.06401,0.366971,-0.067635,-0.436847,-0.006558,-0.234806,-0.268016,0.035742,-0.010386
1,8,16,1.413099,-0.583097,0.45115,-0.02251,0.347019,-0.11885,-0.459499,-0.010529,-0.193043,-0.295222,0.045972,0.017651
1,8,17,1.346525,-0.538645,0.510571,0.116505,0.323031,-0.259461,-0.51408,0.023528,-0.147556,-0.29126,0.043178,-0.016265
1,8,18,1.493634,-0.749443,0.704848,0.03515,0.373614,-0.218369,-0.616608,-0.001447,-0.122072,-0.283037,0.043216,-0.010643
1,9,1,1.516243,-0.421519,0.310573,-0.202095,-0.320116,-0.217247,-0.027017,0.267714,0.051747,-0.261525,-0.086583,0.102423
1,9,2,1.522134,-0.242862,0.281658,-0.276902,-0.295546,-0.091977,-0.070047,0.176537,0.009498,-0.388598,-0.030845,0.19656
1,9,3,1.538597,-0.145072,0.238779,-0.268656,-0.358038,0.023831,-0.070798,0.102855,-0.009672,-0.438297,-0.022689,0.235453
1,9,4,1.4958,-0.15284,0.158021,-0.257449,-0.287451,0.015743,-0.100512,0.091736,0.000477,-0.498749,-0.047789,0.25729
1,9,5,1.664994,-0.442855,0.293956,-0.263568,-0.169211,0.051132,-0.189122,0.112994,0.003736,-0.482284,-0.088953,0.250057
1,9,6,1.69838,-0.544536,0.266387,-0.134894,-0.073217,0.12754,-0.288386,-0.00397,0.035204,-0.40045,-0.130278,0.213545
1,9,7,1.729965,-0.591056,0.34575,-0.121536,0.036976,0.156905,-0.287593,-0.141473,-0.041858,-0.323904,-0.09804,0.182918
1,9,8,1.474845,-0.463698,0.231882,0.008104,0.033747,0.151155,-0.288897,-0.138789,-0.099927,-0.347759,-0.080469,0.194919
1,9,9,1.472562,-0.505034,0.295663,0.063633,0.096361,0.056352,-0.292923,-0.116145,-0.137168,-0.361634,-0.049339,0.181009
1,9,10,1.47459,-0.540542,0.433514,0.159165,0.186466,-0.000912,-0.407321,-0.109365,-0.129811,-0.292933,0.023334,0.077343
1,9,11,1.575489,-0.681505,0.433878,0.203983,0.250439,0.051999,-0.386008,-0.150184,-0.185599,-0.242247,0.087925,0.057007
1,9,12,1.634094,-0.740702,0.449017,0.216088,0.259054,0.085238,-0.336907,-0.20773,-0.206868,-0.200138,0.099617,0.062301
1,9,13,1.611993,-0.71044,0.446422,0.177278,0.286573,0.102108,-0.367764,-0.156919,-0.2248,-0.242608,0.1645,0.047032
1,9,14,1.529423,-0.699914,0.384836,0.273916,0.284864,0.111229,-0.422259,-0.079049,-0.198201,-0.29037,0.179198,0.035879
1,9,15,1.358692,-0.672804,0.436376,0.330847,0.298519,0.066996,-0.4317,-0.039963,-0.178507,-0.287354,0.152888,-0.016471
1,9,16,1.37559,-0.734745,0.520157,0.30461,0.337037,0.042646,-0.387385,-0.034087,-0.230783,-0.285107,0.180336,-0.052253
1,9,17,1.481814,-0.904536,0.652986,0.258349,0.372686,0.004058,-0.375534,-0.011888,-0.265604,-0.278797,0.185892,-0.087372
