Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Mazda RX2 Coupe,19.0,3,70.0,97.0,2330.0,13.5,72,Japan
AMC Matador (sw),15.0,8,304.0,150.0,3892.0,12.5,72,US
Chevrolet Chevelle Concours (sw),13.0,8,307.0,130.0,4098.0,14.0,72,US
Ford Gran Torino (sw),13.0,8,302.0,140.0,4294.0,16.0,72,US
Plymouth Satellite Custom (sw),14.0,8,318.0,150.0,4077.0,14.0,72,US
Volvo 145e (sw),18.0,4,121.0,112.0,2933.0,14.5,72,Europe
Volkswagen 411 (sw),22.0,4,121.0,76.0,2511.0,18.0,72,Europe
Peugeot 504 (sw),21.0,4,120.0,87.0,2979.0,19.5,72,Europe
Renault 12 (sw),26.0,4,96.0,69.0,2189.0,18.0,72,Europe
Ford Pinto (sw),22.0,4,122.0,86.0,2395.0,16.0,72,US
Datsun 510 (sw),28.0,4,97.0,92.0,2288.0,17.0,72,Japan
Toyota Corolla Mark II (sw),23.0,4,120.0,97.0,2506.0,14.5,72,Japan
Dodge Colt (sw),28.0,4,98.0,80.0,2164.0,15.0,72,US
Toyota Corolla 1600 (sw),27.0,4,97.0,88.0,2100.0,16.5,72,Japan
Buick Century 350,13.0,8,350.0,175.0,4100.0,13.0,73,US
AMC Matador,14.0,8,304.0,150.0,3672.0,11.5,73,US
Chevrolet Malibu,13.0,8,350.0,145.0,3988.0,13.0,73,US
Ford Gran Torino,14.0,8,302.0,137.0,4042.0,14.5,73,US
Dodge Coronet Custom,15.0,8,318.0,150.0,3777.0,12.5,73,US
Mercury Marquis Brougham,12.0,8,429.0,198.0,4952.0,11.5,73,US
Chevrolet Caprice Classic,13.0,8,400.0,150.0,4464.0,12.0,73,US
Ford LTD,13.0,8,351.0,158.0,4363.0,13.0,73,US
Plymouth Fury Gran Sedan,14.0,8,318.0,150.0,4237.0,14.5,73,US
Chrysler New Yorker Brougham,13.0,8,440.0,215.0,4735.0,11.0,73,US
Buick Electra 225 Custom,12.0,8,455.0,225.0,4951.0,11.0,73,US
AMC Ambassador Brougham,13.0,8,360.0,175.0,3821.0,11.0,73,US
Plymouth Valiant,18.0,6,225.0,105.0,3121.0,16.5,73,US
Chevrolet Nova Custom,16.0,6,250.0,100.0,3278.0,18.0,73,US
AMC Hornet,18.0,6,232.0,100.0,2945.0,16.0,73,US
Ford Maverick,18.0,6,250.0,88.0,3021.0,16.5,73,US
Plymouth Duster,23.0,6,198.0,95.0,2904.0,16.0,73,US
Volkswagen Super Beetle,26.0,4,97.0,46.0,1950.0,21.0,73,Europe
Chevrolet Impala,11.0,8,400.0,150.0,4997.0,14.0,73,US
Ford Country,12.0,8,400.0,167.0,4906.0,12.5,73,US
Plymouth Custom Suburb,13.0,8,360.0,170.0,4654.0,13.0,73,US
Oldsmobile Vista Cruiser,12.0,8,350.0,180.0,4499.0,12.5,73,US
AMC Gremlin,18.0,6,232.0,100.0,2789.0,15.0,73,US
Toyota Camry,20.0,4,97.0,88.0,2279.0,19.0,73,Japan
Chevrolet Vega,21.0,4,140.0,72.0,2401.0,19.5,73,US
Datsun 610,22.0,4,108.0,94.0,2379.0,16.5,73,Japan
Mazda RX3,18.0,3,70.0,90.0,2124.0,13.5,73,Japan
Ford Pinto,19.0,4,122.0,85.0,2310.0,18.5,73,US
Mercury Capri v6,21.0,6,155.0,107.0,2472.0,14.0,73,US
Fiat 124 Sport Coupe,26.0,4,98.0,90.0,2265.0,15.5,73,Europe
Chevrolet Monte Carlo S,15.0,8,350.0,145.0,4082.0,13.0,73,US
Pontiac Grand Prix,16.0,8,400.0,230.0,4278.0,9.5,73,US
Fiat 128,29.0,4,68.0,49.0,1867.0,19.5,73,Europe
Opel Manta,24.0,4,116.0,75.0,2158.0,15.5,73,Europe
Audi 100LS,20.0,4,114.0,91.0,2582.0,14.0,73,Europe
Volvo 144ea,19.0,4,121.0,112.0,2868.0,15.5,73,Europe
Dodge Dart Custom,15.0,8,318.0,150.0,3399.0,11.0,73,US
Saab 99le,24.0,4,121.0,110.0,2660.0,14.0,73,Europe
Toyota Mark II,20.0,6,156.0,122.0,2807.0,13.5,73,Japan
Oldsmobile Omega,11.0,8,350.0,180.0,3664.0,11.0,73,US
Plymouth Duster,20.0,6,198.0,95.0,3102.0,16.5,74,US
Ford Maverick,21.0,6,200.0,0.0,2875.0,17.0,74,US
AMC Hornet,19.0,6,232.0,100.0,2901.0,16.0,74,US
Chevrolet Nova,15.0,6,250.0,100.0,3336.0,17.0,74,US
Datsun B210,31.0,4,79.0,67.0,1950.0,19.0,74,Japan
Ford Pinto,26.0,4,122.0,80.0,2451.0,16.5,74,US
Toyota Corolla 1200,32.0,4,71.0,65.0,1836.0,21.0,74,Japan
Chevrolet Vega,25.0,4,140.0,75.0,2542.0,17.0,74,US
Chevrolet Chevelle Malibu Classic,16.0,6,250.0,100.0,3781.0,17.0,74,US
AMC Matador,16.0,6,258.0,110.0,3632.0,18.0,74,US
Plymouth Satellite Sebring,18.0,6,225.0,105.0,3613.0,16.5,74,US
Ford Gran Torino,16.0,8,302.0,140.0,4141.0,14.0,74,US
Buick Century Luxus (sw),13.0,8,350.0,150.0,4699.0,14.5,74,US
Dodge Coronet Custom (sw),14.0,8,318.0,150.0,4457.0,13.5,74,US
Ford Gran Torino (sw),14.0,8,302.0,140.0,4638.0,16.0,74,US
AMC Matador (sw),14.0,8,304.0,150.0,4257.0,15.5,74,US
Audi Fox,29.0,4,98.0,83.0,2219.0,16.5,74,Europe
Volkswagen Dasher,26.0,4,79.0,67.0,1963.0,15.5,74,Europe
Opel Manta,26.0,4,97.0,78.0,2300.0,14.5,74,Europe
Toyota Corolla,31.0,4,76.0,52.0,1649.0,16.5,74,Japan
Datsun 710,32.0,4,83.0,61.0,2003.0,19.0,74,Japan
Dodge Colt,28.0,4,90.0,75.0,2125.0,14.5,74,US
Fiat 128,24.0,4,90.0,75.0,2108.0,15.5,74,Europe
Fiat 124 TC,26.0,4,116.0,75.0,2246.0,14.0,74,Europe
Honda Civic,24.0,4,120.0,97.0,2489.0,15.0,74,Japan
Subaru,26.0,4,108.0,93.0,2391.0,15.5,74,Japan
Fiat x1.9,31.0,4,79.0,67.0,2000.0,16.0,74,Europe
Plymouth Valiant Custom,19.0,6,225.0,95.0,3264.0,16.0,75,US
Chevrolet Nova,18.0,6,250.0,105.0,3459.0,16.0,75,US
Mercury Monarch,15.0,6,250.0,72.0,3432.0,21.0,75,US
Ford Maverick,15.0,6,250.0,72.0,3158.0,19.5,75,US
Pontiac Catalina,16.0,8,400.0,170.0,4668.0,11.5,75,US
Chevrolet Bel Air,15.0,8,350.0,145.0,4440.0,14.0,75,US
Plymouth Grand Fury,16.0,8,318.0,150.0,4498.0,14.5,75,US
Ford LTD,14.0,8,351.0,148.0,4657.0,13.5,75,US
Buick Century,17.0,6,231.0,110.0,3907.0,21.0,75,US
Chevrolete Chevelle Malibu,16.0,6,250.0,105.0,3897.0,18.5,75,US
AMC Matador,15.0,6,258.0,110.0,3730.0,19.0,75,US
Plymouth Fury,18.0,6,225.0,95.0,3785.0,19.0,75,US
Buick Skyhawk,21.0,6,231.0,110.0,3039.0,15.0,75,US
Chevrolet Monza 2+2,20.0,8,262.0,110.0,3221.0,13.5,75,US
Ford Mustang II,13.0,8,302.0,129.0,3169.0,12.0,75,US
Toyota Corolla,29.0,4,97.0,75.0,2171.0,16.0,75,Japan
Ford Pinto,23.0,4,140.0,83.0,2639.0,17.0,75,US
AMC Gremlin,20.0,6,232.0,100.0,2914.0,16.0,75,US
Pontiac Astro,23.0,4,140.0,78.0,2592.0,18.5,75,US
Toyota Corolla,24.0,4,134.0,96.0,2702.0,13.5,75,Japan
Volkswagen Dasher,25.0,4,90.0,71.0,2223.0,16.5,75,Europe
Datsun 710,24.0,4,119.0,97.0,2545.0,17.0,75,Japan
Ford Pinto,18.0,6,171.0,97.0,2984.0,14.5,75,US
Volkswagen Rabbit,29.0,4,90.0,70.0,1937.0,14.0,75,Europe
AMC Pacer,19.0,6,232.0,90.0,3211.0,17.0,75,US
Audi 100LS,23.0,4,115.0,95.0,2694.0,15.0,75,Europe
Peugeot 504,23.0,4,120.0,88.0,2957.0,17.0,75,Europe
Volvo 244DL,22.0,4,121.0,98.0,2945.0,14.5,75,Europe
Saab 99LE,25.0,4,121.0,115.0,2671.0,13.5,75,Europe
Honda Civic CVCC,33.0,4,91.0,53.0,1795.0,17.5,75,Japan
Fiat 131,28.0,4,107.0,86.0,2464.0,15.5,76,Europe
Opel 1900,25.0,4,116.0,81.0,2220.0,16.9,76,Europe
Capri ii,25.0,4,140.0,92.0,2572.0,14.9,76,US
Dodge Colt,26.0,4,98.0,79.0,2255.0,17.7,76,US
Renault 12tl,27.0,4,101.0,83.0,2202.0,15.3,76,Europe
Chevrolet Chevelle Malibu Classic,17.5,8,305.0,140.0,4215.0,13.0,76,US
Dodge Coronet Brougham,16.0,8,318.0,150.0,4190.0,13.0,76,US
AMC Matador,15.5,8,304.0,120.0,3962.0,13.9,76,US
Ford Gran Torino,14.5,8,351.0,152.0,4215.0,12.8,76,US
Plymouth Valiant,22.0,6,225.0,100.0,3233.0,15.4,76,US
Chevrolet Nova,22.0,6,250.0,105.0,3353.0,14.5,76,US
Ford Maverick,24.0,6,200.0,81.0,3012.0,17.6,76,US
AMC Hornet,22.5,6,232.0,90.0,3085.0,17.6,76,US
Chevrolet Chevette,29.0,4,85.0,52.0,2035.0,22.2,76,US
Chevrolet Woody,24.5,4,98.0,60.0,2164.0,22.1,76,US
Volkswagen Rabbit,29.0,4,90.0,70.0,1937.0,14.2,76,Europe
Honda Civic,33.0,4,91.0,53.0,1795.0,17.4,76,Japan
Dodge Aspen SE,20.0,6,225.0,100.0,3651.0,17.7,76,US
Ford Grenada ghia,18.0,6,250.0,78.0,3574.0,21.0,76,US
Pontiac Ventura SJ,18.5,6,250.0,110.0,3645.0,16.2,76,US
AMC Pacer d/l,17.5,6,258.0,95.0,3193.0,17.8,76,US
Volkswagen Rabbit,29.5,4,97.0,71.0,1825.0,12.2,76,Europe
Datsun B-210,32.0,4,85.0,70.0,1990.0,17.0,76,Japan
Toyota Corolla,28.0,4,97.0,75.0,2155.0,16.4,76,Japan
Ford Pinto,26.5,4,140.0,72.0,2565.0,13.6,76,US
Volvo 245,20.0,4,130.0,102.0,3150.0,15.7,76,Europe
Plymouth Volare Premier v8,13.0,8,318.0,150.0,3940.0,13.2,76,US
Peugeot 504,19.0,4,120.0,88.0,3270.0,21.9,76,Europe
Toyota Mark II,19.0,6,156.0,108.0,2930.0,15.5,76,Japan
Mercedes-Benz 280s,16.5,6,168.0,120.0,3820.0,16.7,76,Europe
Cadillac Seville,16.5,8,350.0,180.0,4380.0,12.1,76,US
Chevrolet C10,13.0,8,350.0,145.0,4055.0,12.0,76,US
Ford F108,13.0,8,302.0,130.0,3870.0,15.0,76,US
Dodge D100,13.0,8,318.0,150.0,3755.0,14.0,76,US
Honda Accord CVCC,31.5,4,98.0,68.0,2045.0,18.5,77,Japan
Buick Opel Isuzu Deluxe,30.0,4,111.0,80.0,2155.0,14.8,77,US
Renault 5 GTL,36.0,4,79.0,58.0,1825.0,18.6,77,Europe
Plymouth Arrow GS,25.5,4,122.0,96.0,2300.0,15.5,77,US
Datsun F-10 Hatchback,33.5,4,85.0,70.0,1945.0,16.8,77,Japan
Chevrolet Caprice Classic,17.5,8,305.0,145.0,3880.0,12.5,77,US
Oldsmobile Cutlass Supreme,17.0,8,260.0,110.0,4060.0,19.0,77,US
Dodge Monaco Brougham,15.5,8,318.0,145.0,4140.0,13.7,77,US
Mercury Cougar Brougham,15.0,8,302.0,130.0,4295.0,14.9,77,US
Chevrolet Concours,17.5,6,250.0,110.0,3520.0,16.4,77,US
Buick Skylark,20.5,6,231.0,105.0,3425.0,16.9,77,US
Plymouth Volare Custom,19.0,6,225.0,100.0,3630.0,17.7,77,US
Ford Grenada,18.5,6,250.0,98.0,3525.0,19.0,77,US
Pontiac Grand Prix LJ,16.0,8,400.0,180.0,4220.0,11.1,77,US
Chevrolet Monte Carlo Landau,15.5,8,350.0,170.0,4165.0,11.4,77,US
Chrysler Cordoba,15.5,8,400.0,190.0,4325.0,12.2,77,US
Ford Thunderbird,16.0,8,351.0,149.0,4335.0,14.5,77,US
Volkswagen Rabbit Custom,29.0,4,97.0,78.0,1940.0,14.5,77,Europe
Pontiac Sunbird Coupe,24.5,4,151.0,88.0,2740.0,16.0,77,US
Toyota Corolla Liftback,26.0,4,97.0,75.0,2265.0,18.2,77,Japan
Ford Mustang II 2+2,25.5,4,140.0,89.0,2755.0,15.8,77,US
Chevrolet Chevette,30.5,4,98.0,63.0,2051.0,17.0,77,US
Dodge Colt m/m,33.5,4,98.0,83.0,2075.0,15.9,77,US
Subaru DL,30.0,4,97.0,67.0,1985.0,16.4,77,Japan
Volkswagen Dasher,30.5,4,97.0,78.0,2190.0,14.1,77,Europe
Datsun 810,22.0,6,146.0,97.0,2815.0,14.5,77,Japan
BMW 320i,21.5,4,121.0,110.0,2600.0,12.8,77,Europe
Mazda RX-4,21.5,3,80.0,110.0,2720.0,13.5,77,Japan
Volkswagen Rabbit Custom Diesel,43.1,4,90.0,48.0,1985.0,21.5,78,Europe
Ford Fiesta,36.1,4,98.0,66.0,1800.0,14.4,78,US
Mazda GLC Deluxe,32.8,4,78.0,52.0,1985.0,19.4,78,Japan
Datsun B210 GX,39.4,4,85.0,70.0,2070.0,18.6,78,Japan
Honda Civic CVCC,36.1,4,91.0,60.0,1800.0,16.4,78,Japan
Oldsmobile Cutlass Salon Brougham,19.9,8,260.0,110.0,3365.0,15.5,78,US
Dodge Diplomat,19.4,8,318.0,140.0,3735.0,13.2,78,US
Mercury Monarch ghia,20.2,8,302.0,139.0,3570.0,12.8,78,US
Pontiac Phoenix LJ,19.2,6,231.0,105.0,3535.0,19.2,78,US
Chevrolet Malibu,20.5,6,200.0,95.0,3155.0,18.2,78,US
Ford Fairmont (auto),20.2,6,200.0,85.0,2965.0,15.8,78,US
Ford Fairmont (man),25.1,4,140.0,88.0,2720.0,15.4,78,US
Plymouth Volare,20.5,6,225.0,100.0,3430.0,17.2,78,US
AMC Concord,19.4,6,232.0,90.0,3210.0,17.2,78,US
Buick Century Special,20.6,6,231.0,105.0,3380.0,15.8,78,US
Mercury Zephyr,20.8,6,200.0,85.0,3070.0,16.7,78,US
Dodge Aspen,18.6,6,225.0,110.0,3620.0,18.7,78,US
AMC Concord d/l,18.1,6,258.0,120.0,3410.0,15.1,78,US
Chevrolet Monte Carlo Landau,19.2,8,305.0,145.0,3425.0,13.2,78,US
Buick Regal Sport Coupe (turbo),17.7,6,231.0,165.0,3445.0,13.4,78,US
Ford Futura,18.1,8,302.0,139.0,3205.0,11.2,78,US
Dodge Magnum XE,17.5,8,318.0,140.0,4080.0,13.7,78,US
Chevrolet Chevette,30.0,4,98.0,68.0,2155.0,16.5,78,US
Toyota Corolla,27.5,4,134.0,95.0,2560.0,14.2,78,Japan
Datsun 510,27.2,4,119.0,97.0,2300.0,14.7,78,Japan
Dodge Omni,30.9,4,105.0,75.0,2230.0,14.5,78,US
Toyota Celica GT Liftback,21.1,4,134.0,95.0,2515.0,14.8,78,Japan
Plymouth Sapporo,23.2,4,156.0,105.0,2745.0,16.7,78,US
Oldsmobile Starfire SX,23.8,4,151.0,85.0,2855.0,17.6,78,US
Datsun 200-SX,23.9,4,119.0,97.0,2405.0,14.9,78,Japan
Audi 5000,20.3,5,131.0,103.0,2830.0,15.9,78,Europe
Volvo 264gl,17.0,6,163.0,125.0,3140.0,13.6,78,Europe
Saab 99gle,21.6,4,121.0,115.0,2795.0,15.7,78,Europe
Peugeot 604sl,16.2,6,163.0,133.0,3410.0,15.8,78,Europe
Volkswagen Scirocco,31.5,4,89.0,71.0,1990.0,14.9,78,Europe
Honda Accord LX,29.5,4,98.0,68.0,2135.0,16.6,78,Japan
Pontiac Lemans V6,21.5,6,231.0,115.0,3245.0,15.4,79,US
Mercury Zephyr 6,19.8,6,200.0,85.0,2990.0,18.2,79,US
Ford Fairmont 4,22.3,4,140.0,88.0,2890.0,17.3,79,US
AMC Concord DL 6,20.2,6,232.0,90.0,3265.0,18.2,79,US
Dodge Aspen 6,20.6,6,225.0,110.0,3360.0,16.6,79,US
Chevrolet Caprice Classic,17.0,8,305.0,130.0,3840.0,15.4,79,US
Ford LTD Landau,17.6,8,302.0,129.0,3725.0,13.4,79,US
Mercury Grand Marquis,16.5,8,351.0,138.0,3955.0,13.2,79,US
Dodge St. Regis,18.2,8,318.0,135.0,3830.0,15.2,79,US
Buick Estate Wagon (sw),16.9,8,350.0,155.0,4360.0,14.9,79,US
Ford Country Squire (sw),15.5,8,351.0,142.0,4054.0,14.3,79,US
Chevrolet Malibu Classic (sw),19.2,8,267.0,125.0,3605.0,15.0,79,US
Chrysler Lebaron Town @ Country (sw),18.5,8,360.0,150.0,3940.0,13.0,79,US
Volkswagen Rabbit Custom,31.9,4,89.0,71.0,1925.0,14.0,79,Europe
Mazda GLC Deluxe,34.1,4,86.0,65.0,1975.0,15.2,79,Japan
Dodge Colt Hatchback Custom,35.7,4,98.0,80.0,1915.0,14.4,79,US
AMC Spirit DL,27.4,4,121.0,80.0,2670.0,15.0,79,US
Mercedes Benz 300d,25.4,5,183.0,77.0,3530.0,20.1,79,Europe
Cadillac Eldorado,23.0,8,350.0,125.0,3900.0,17.4,79,US
Peugeot 504,27.2,4,141.0,71.0,3190.0,24.8,79,Europe
Oldsmobile Cutlass Salon Brougham,23.9,8,260.0,90.0,3420.0,22.2,79,US
Plymouth Horizon,34.2,4,105.0,70.0,2200.0,13.2,79,US
Plymouth Horizon TC3,34.5,4,105.0,70.0,2150.0,14.9,79,US
Datsun 210,31.8,4,85.0,65.0,2020.0,19.2,79,Japan
Fiat Strada Custom,37.3,4,91.0,69.0,2130.0,14.7,79,Europe
Buick Skylark Limited,28.4,4,151.0,90.0,2670.0,16.0,79,US
Chevrolet Citation,28.8,6,173.0,115.0,2595.0,11.3,79,US
Oldsmobile Omega Brougham,26.8,6,173.0,115.0,2700.0,12.9,79,US
Pontiac Phoenix,33.5,4,151.0,90.0,2556.0,13.2,79,US
Volkswagen Rabbit,41.5,4,98.0,76.0,2144.0,14.7,80,Europe
Toyota Corolla Tercel,38.1,4,89.0,60.0,1968.0,18.8,80,Japan
Chevrolet Chevette,32.1,4,98.0,70.0,2120.0,15.5,80,US
Datsun 310,37.2,4,86.0,65.0,2019.0,16.4,80,Japan
Chevrolet Citation,28.0,4,151.0,90.0,2678.0,16.5,80,US
Ford Fairmont,26.4,4,140.0,88.0,2870.0,18.1,80,US
AMC Concord,24.3,4,151.0,90.0,3003.0,20.1,80,US
Dodge Aspen,19.1,6,225.0,90.0,3381.0,18.7,80,US
Audi 4000,34.3,4,97.0,78.0,2188.0,15.8,80,Europe
Toyota Corolla Liftback,29.8,4,134.0,90.0,2711.0,15.5,80,Japan
Mazda 626,31.3,4,120.0,75.0,2542.0,17.5,80,Japan
Datsun 510 Hatchback,37.0,4,119.0,92.0,2434.0,15.0,80,Japan
Toyota Corolla,32.2,4,108.0,75.0,2265.0,15.2,80,Japan
Mazda GLC,46.6,4,86.0,65.0,2110.0,17.9,80,Japan
Dodge Colt,27.9,4,156.0,105.0,2800.0,14.4,80,US
Datsun 210,40.8,4,85.0,65.0,2110.0,19.2,80,Japan
Volkswagen Rabbit C (Diesel),44.3,4,90.0,48.0,2085.0,21.7,80,Europe
Volkswagen Dasher (diesel),43.4,4,90.0,48.0,2335.0,23.7,80,Europe
Audi 5000s (diesel),36.4,5,121.0,67.0,2950.0,19.9,80,Europe
Mercedes-Benz 240d,30.0,4,146.0,67.0,3250.0,21.8,80,Europe
Honda Civic 1500 gl,44.6,4,91.0,67.0,1850.0,13.8,80,Japan
Renault Lecar Deluxe,40.9,4,85.0,0.0,1835.0,17.3,80,Europe
Subaru DL,33.8,4,97.0,67.0,2145.0,18.0,80,Japan
Volkswagen Rabbit,29.8,4,89.0,62.0,1845.0,15.3,80,Europe
Datsun 280-ZX,32.7,6,168.0,132.0,2910.0,11.4,80,Japan
Mazda RX-7 GS,23.7,3,70.0,100.0,2420.0,12.5,80,Japan
Triumph TR7 Coupe,35.0,4,122.0,88.0,2500.0,15.1,80,Europe
Ford Mustang Cobra,23.6,4,140.0,0.0,2905.0,14.3,80,US
Honda Accord,32.4,4,107.0,72.0,2290.0,17.0,80,Japan
Plymouth Reliant,27.2,4,135.0,84.0,2490.0,15.7,81,US
Buick Skylark,26.6,4,151.0,84.0,2635.0,16.4,81,US
Dodge Aries Wagon (sw),25.8,4,156.0,92.0,2620.0,14.4,81,US
Chevrolet Citation,23.5,6,173.0,110.0,2725.0,12.6,81,US
Plymouth Reliant,30.0,4,135.0,84.0,2385.0,12.9,81,US
Toyota Starlet,39.1,4,79.0,58.0,1755.0,16.9,81,Japan
Plymouth Champ,39.0,4,86.0,64.0,1875.0,16.4,81,US
Honda Civic 1300,35.1,4,81.0,60.0,1760.0,16.1,81,Japan
Subaru,32.3,4,97.0,67.0,2065.0,17.8,81,Japan
Datsun 210 MPG,37.0,4,85.0,65.0,1975.0,19.4,81,Japan
Toyota Tercel,37.7,4,89.0,62.0,2050.0,17.3,81,Japan
Mazda GLC 4,34.1,4,91.0,68.0,1985.0,16.0,81,Japan
Plymouth Horizon 4,34.7,4,105.0,63.0,2215.0,14.9,81,US
Ford Escort 4W,34.4,4,98.0,65.0,2045.0,16.2,81,US
Ford Escort 2H,29.9,4,98.0,65.0,2380.0,20.7,81,US
Volkswagen Jetta,33.0,4,105.0,74.0,2190.0,14.2,81,Europe
Renault 18i,34.5,4,100.0,0.0,2320.0,15.8,81,Europe
