name,addr,city,phone,type,class
ritz-carlton restaurant,181 peachtree st.,?,?,french (classic),?
toulouse,b peachtree rd.,?,404/351-9533,?,92
toulouse,293-b peachtree rd.,?,404-351-9533,?,?
veni vidi vici,41 14th st.,atlanta,?,?,93
veni vidi vici,41 14th st.,?,?,italian,?
alain rondelli,126 clement st.,?,?,?,?
alain rondelli,126 clement st.,?,?,?,?
aqua,252 california st.,?,415/956-9662,seafood,95
aqua,252 california st.,san francisco,?,?,95
boulevard,1 mission st.,?,?,?,?
boulevard,1 mission st.,?,415-543-6084,?,?
cafe claude,7 claude la.,?,?,?,97
cafe claude,7 claude ln.,?,415-392-3505,?,97
campton place,340 stockton st.,san francisco,?,american,98
campton place,340 stockton st.,?,?,?,98
chez michel,804 northpoint,san francisco,?,?,?
chez michel,804 north point st.,?,?,californian,?
fleur de lys,777 sutter st.,?,?,french,100
fleur de lys,777 sutter st.,san francisco,?,?,100
fringale,570 4th st.,?,415/543-0573,french,?
fringale,570 fourth st.,?,415-543-0573,french bistro,101
hawthorne lane,22 hawthorne st.,san francisco,?,?,102
hawthorne lane,22 hawthorne st.,san francisco,?,?,?
khan toke thai house,5937 geary blvd.,?,?,asian,?
khan toke thai house,5937 geary blvd.,san francisco,415-668-6654,?,103
la folie,2316 polk st.,san francisco,415/776-5577,?,104
la folie,2316 polk st.,san francisco,415-776-5577,?,104
lulu,816 folsom st.,?,?,?,?
lulu restaurant-bis-cafe,816 folsom st.,san francisco,?,mediterranean,105
masa's,648 bush st.,san francisco,?,?,?
masa's,648 bush st.,san francisco,415-989-7154,french (new),106
mifune japan center  kintetsu building,1737 post st.,san francisco,?,?,?
mifune,1737 post st.,san francisco,?,?,?
plumpjack cafe,3201 fillmore st.,?,415/563-4755,?,?
plumpjack cafe,3127 fillmore st.,?,415-563-4755,?,108
postrio,545 post st.,san francisco,?,american,?
postrio,545 post st.,?,?,?,?
ritz-carlton restaurant and dining room,600 stockton st.,san francisco,?,?,?
ritz-carlton dining room (san francisco),600 stockton st.,san francisco,415-296-7465,?,?
rose pistola,532 columbus ave.,?,?,italian,111
rose pistola,532 columbus ave.,?,?,?,?
adriano's ristorante,2930 beverly glen circle,los angeles,310/475-9807,italian,?
barney greengrass,9570 wilshire blvd.,?,310/777-5877,american,?
beaurivage,26025 pacific coast hwy.,?,310/456-5733,?,114
bistro garden,176 n. canon dr.,?,310/550-3900,?,115
border grill,4th st.,los angeles,310/451-1655,?,116
broadway deli,3rd st. promenade,?,?,american,?
ca'brea,346 s. la brea ave.,?,?,?,?
ca'del sol,4100 cahuenga blvd.,?,?,?,?
cafe pinot,700 w. fifth st.,?,213/239-6500,?,?
california pizza kitchen,207 s. beverly dr.,?,?,?,121
canter's,419 n. fairfax ave.,?,?,american,?
cava,3rd st.,?,?,?,123
cha cha cha,656 n. virgil ave.,los angeles,?,?,?
chan dara,310 n. larchmont blvd.,los angeles,?,?,125
clearwater cafe,168 w. colorado blvd.,?,?,?,126
dining room,9500 wilshire blvd.,los angeles,?,?,?
dive!,10250 santa monica blvd.,los angeles,310/788-,?,?
drago,2628 wilshire blvd.,?,310/828-1585,?,129
drai's,730 n. la cienega blvd.,los angeles,?,?,?
dynasty room,930 hilgard ave.,los angeles,?,continental,131
eclipse,8800 melrose ave.,?,?,?,132
ed debevic's,134 n. la cienega,?,?,?,?
el cholo,1121 s. western ave.,los angeles,213/734-2773,?,134
gilliland's,2424 main st.,?,?,american,135
gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,?,?,?,?
hard rock cafe,8600 beverly blvd.,?,?,?,137
harry's bar & american grill,2020 ave. of the stars,?,?,italian,138
il fornaio cucina italiana,301 n. beverly dr.,?,?,?,?
jack sprat's grill,10668 w. pico blvd.,?,?,health food,140
jackson's farm,439 n. beverly drive,?,?,?,?
jimmy's,201 moreno dr.,los angeles,310/552-2394,?,?
joss,9255 sunset blvd.,los angeles,?,asian,143
le colonial,8783 beverly blvd.,?,310/289-0660,asian,?
le dome,8720 sunset blvd.,?,?,french,?
louise's trattoria,4500 los feliz blvd.,?,?,italian,146
mon kee seafood restaurant,679 n. spring st.,?,213/628-6717,?,147
morton's,8764 melrose ave.,los angeles,310/276-5205,?,?
nate 'n' al's,414 n. beverly dr.,?,?,?,?
nicola,601 s. figueroa st.,?,213/485-0927,?,?
ocean avenue,1401 ocean ave.,?,310/394-5669,?,?
orleans,11705 national blvd.,los angeles,310/479-4187,?,152
pacific dining car,6th st.,?,?,?,153
paty's,10001 riverside dr.,toluca lake,818/761-9126,?,154
pinot hollywood,1448 n. gower st.,los angeles,?,?,?
posto,14928 ventura blvd.,?,?,italian,?
prego,362 n. camden dr.,?,310/277-7346,italian,157
rj's the rib joint,252 n. beverly dr.,los angeles,?,?,158
remi,3rd st. promenade,?,?,?,159
restaurant horikawa,111 s. san pedro st.,los angeles,213/680-9355,asian,160
roscoe's house of chicken 'n' waffles,1514 n. gower st.,los angeles,?,american,?
schatzi on main,3110 main st.,los angeles,?,continental,?
sofi,3rd st.,los angeles,?,mediterranean,163
swingers,8020 beverly blvd.,los angeles,?,?,?
tavola calda,7371 melrose ave.,?,?,?,?
the mandarin,430 n. camden dr.,?,?,?,?
tommy tang's,7313 melrose ave.,?,?,?,?
tra di noi,3835 cross creek rd.,los angeles,?,?,168
trader vic's,9876 wilshire blvd.,los angeles,?,?,?
vida,1930 north hillhurst ave.,?,?,american,?
west beach cafe,60 n. venice blvd.,?,?,?,?
20 mott,20 mott st.  between bowery and pell st.,?,?,asian,172
9 jones street,9 jones st.,?,?,?,?
adrienne,700 5th ave. at 55th st.,?,?,?,?
agrotikon,322 e. 14 st.  between 1st and 2nd aves.,new york,?,?,?
aja,937 broadway at 22nd st.,?,?,?,176
alamo,304 e. 48th st.,new york,?,mexican,177
alley's end,311 w. 17th st.,new york,?,?,178
ambassador grill,1 united nations plaza at 44th st.,?,?,?,?
american place,2 park ave. at 32nd st.,?,?,american,180
anche vivolo,222 e. 58th st.  between 2nd and 3rd aves.,new york,212/308-0112,?,181
arizona,206 206 e. 60th st.,?,?,?,182
arturo's,106 w. houston st.  off thompson st.,?,?,italian,?
au mandarin,200-250 vesey st. world financial center,?,?,?,184
bar anise,1022 3rd ave.  between 60th and 61st sts.,?,?,?,?
barbetta,321 w. 46th st.,new york,212/246-9171,?,186
ben benson's,123 w. 52nd st.,new york,212/581-8888,american,?
big cup,228 8th ave.  between 21st and 22nd sts.,new york,212/206-0059,?,188
billy's,948 1st ave.  between 52nd and 53rd sts.,?,?,american,189
boca chica,13 1st ave.  near 1st st.,?,?,?,190
bolo,23 e. 22nd st.,new york,212/228-2200,?,191
boonthai,1393a 2nd ave.  between 72nd and 73rd sts.,?,?,asian,192
bouterin,420 e. 59th st.  off 1st ave.,new york,212/758-0323,?,?
brothers bar-b-q,225 varick st. at clarkston st.,new york,212/727-2775,?,?
bruno,240 e. 58th st.,new york,212/688-4190,?,?
bryant park grill  roof restaurant and bp cafe,25 w. 40th st.  between 5th and 6th aves.,?,212/840-6500,?,?
c3,103 waverly pl.  near washington sq.,?,?,?,?
ct,111 e. 22nd st.  between park ave. s and lexington ave.,?,?,?,?
cafe bianco,1486 2nd ave.  between 77th and 78th sts.,new york,212/988-2655,coffee bar,199
cafe botanica,160 central park s,?,?,?,?
cafe la fortuna,69 w. 71st st.,?,?,?,201
cafe luxembourg,200 w. 70th st.,?,212/873-7411,?,202
cafe pierre,2 e. 61st st.,?,?,?,203
cafe centro,200 park ave.  between 45th st. and vanderbilt ave.,?,212/818-1222,french,?
cafe fes,246 w. 4th st. at charles st.,new york,?,?,?
caffe dante,81 macdougal st.  between houston and bleeker sts.,?,?,?,206
caffe dell'artista,46 greenwich ave.,?,?,?,?
caffe lure,169 sullivan st.  between houston and bleecker sts.,new york,?,french,208
caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,new york,?,?,?
caffe roma,385 broome st. at mulberry,?,?,coffee bar,?
caffe vivaldi,32 jones st. at bleecker st.,new york,212/691-7538,?,?
caffe bondi ristorante,7 w. 20th st.,?,?,italian,?
capsouto freres,451 washington st.  near watts st.,new york,?,?,213
captain's table,860 2nd ave. at 46th st.,new york,212/697-9538,seafood,214
casa la femme,150 wooster st.  between houston and prince sts.,?,?,middle eastern,215
cendrillon asian grill & marimba bar,45 mercer st.  between broome and grand sts.,?,?,asian,?
chez jacqueline,72 macdougal st.  between w. houston and bleecker sts.,?,212/505-0727,?,?
chiam,160 e. 48th st.,new york,212/371-2323,?,?
china grill,60 w. 53rd st.,?,?,?,?
cite,120 w. 51st st.,?,?,french,220
coco pazzo,23 e. 74th st.,?,212/794-0205,italian,221
columbus bakery,53rd sts.,?,?,coffee bar,222
corrado cafe,1013 3rd ave.  between 60th and 61st sts.,?,212/753-5100,coffee bar,?
cupcake cafe,522 9th ave. at 39th st.,?,212/465-1530,?,?
da nico,164 mulberry st.  between grand and broome sts.,new york,212/343-1212,italian,?
dean & deluca,121 prince st.,new york,?,?,226
diva,341 w. broadway  near grand st.,?,?,?,227
dix et sept,181 w. 10th st.,new york,?,french,228
docks,633 3rd ave. at 40th st.,new york,?,?,229
duane park cafe,157 duane st.  between w. broadway and hudson st.,?,?,american,?
el teddy's,219 w. broadway  between franklin and white sts.,?,?,?,?
emily's,1325 5th ave. at 111th st.,?,?,?,232
empire korea,6 e. 32nd st.,new york,?,?,?
ernie's,2150 broadway  between 75th and 76th sts.,?,?,?,?
evergreen cafe,1288 1st ave. at 69th st.,new york,212/744-3266,asian,?
f. ille ponte ristorante,39 desbrosses st.  near west st.,new york,212/226-4621,italian,236
felix,340 w. broadway at grand st.,new york,?,french,237
ferrier,29 e. 65th st.,?,?,?,?
fifty seven fifty seven,57 e. 57th st.,?,212/758-5757,american,?
film center cafe,635 9th ave.  between 44th and 45th sts.,?,?,american,?
fiorello's roman cafe,1900 broadway  between 63rd and 64th sts.,new york,?,italian,?
firehouse,522 columbus ave.  between 85th and 86th sts.,new york,?,american,?
first,87 1st ave.  between 5th and 6th sts.,?,?,?,243
fishin eddie,73 w. 71st st.,?,?,seafood,?
fleur de jour,348 e. 62nd st.,?,212/355-2020,coffee bar,?
flowers,21 west 17th st.  between 5th and 6th aves.,new york,?,american,246
follonico,6 w. 24th st.,new york,212/691-6359,italian,?
fraunces tavern,54 pearl st. at broad st.,?,?,american,?
french roast,458 6th ave. at 11th st.,?,212/533-2233,french,?
french roast cafe,2340 broadway at 85th st.,?,?,?,250
frico bar,402 w. 43rd st.  off 9th ave.,?,212/564-7272,italian,?
fujiyama mama,467 columbus ave.  between 82nd and 83rd sts.,?,?,?,?
gabriela's,685 amsterdam ave. at 93rd st.,new york,?,mexican,253
gallagher's,228 w. 52nd st.,?,?,?,254
gianni's,15 fulton st.,?,?,?,?
girafe,208 e. 58th st.  between 2nd and 3rd aves.,new york,?,italian,256
global,33 93 2nd ave.  between 5th and 6th sts.,new york,?,?,?
golden unicorn,18 e. broadway at catherine st.,new york,?,?,?
grand ticino,228 thompson st.  between w. 3rd and bleecker sts.,?,?,italian,?
halcyon,151 w. 54th st.  in the rihga royal hotel,new york,?,?,?
hard rock cafe,221 w. 57th st.,new york,212/489-6565,american,261
hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,212/249-3600,?,262
home,20 cornelia st.  between bleecker and w. 4th st.,?,?,american,263
hudson river club,4 world financial center,?,?,american,?
i trulli,122 e. 27th st.  between lexington and park aves.,new york,212/481-7372,italian,265
il cortile,125 mulberry st.  between canal and hester sts.,new york,?,?,?
il nido,251 e. 53rd st.,?,212/753-8450,italian,267
inca grill,492 broome st.  near w. broadway,?,?,latin american,268
indochine,430 lafayette st.  between 4th st. and astor pl.,new york,?,?,?
internet cafe,82 e. 3rd st.  between 1st and 2nd aves.,?,212/ 614-0747,?,?
ipanema,13 w. 46th st.,new york,212/730-5848,?,?
jean lafitte,68 w. 58th st.,?,?,?,?
jewel of india,15 w. 44th st.,?,?,?,?
jimmy sung's,219 e. 44th st.  between 2nd and 3rd aves.,new york,?,?,?
joe allen,326 w. 46th st.,new york,212/581-6464,?,?
judson grill,152 w. 52nd st.,new york,?,?,276
l'absinthe,227 e. 67th st.,?,212/794-4950,french,?
l'auberge,1191 1st ave.  between 64th and 65th sts.,new york,?,?,278
l'auberge du midi,310 w. 4th st.  between w. 12th and bank sts.,new york,?,french,?
l'udo,432 lafayette st.  near astor pl.,?,?,?,?
la reserve,4 w. 49th st.,?,?,?,?
lanza restaurant,168 1st ave.  between 10th and 11th sts.,new york,212/674-7014,?,?
lattanzi ristorante,361 w. 46th st.,new york,212/315-0980,?,?
layla,211 w. broadway at franklin st.,new york,212/431-0700,?,?
le chantilly,106 e. 57th st.,new york,?,french,285
le colonial,149 e. 57th st.,new york,?,?,?
le gamin,50 macdougal st.  between houston and prince sts.,?,212/254-4678,coffee bar,287
le jardin,25 cleveland pl.  near spring st.,new york,212/343-9599,?,288
le madri,168 w. 18th st.,new york,212/727-8022,?,289
le marais,150 w. 46th st.,new york,?,?,290
le perigord,405 e. 52nd st.,?,212/755-6244,french,291
le select,507 columbus ave.  between 84th and 85th sts.,new york,212/875-1993,american,292
les halles,411 park ave. s  between 28th and 29th sts.,new york,?,french,?
lincoln tavern,51 w. 64th st.,new york,?,american,?
lola,30 west 22nd st.  between 5th and 6th ave.,new york,212/675-6700,american,?
lucky strike,59 grand st.  between wooster st. and w. broadway,?,?,?,?
mad fish,2182 broadway  between 77th and 78th sts.,?,212/787-0202,seafood,297
main street,446 columbus ave.  between 81st and 82nd sts.,?,?,?,?
mangia e bevi,800 9th ave. at 53rd st.,?,?,italian,299
manhattan cafe,1161 1st ave.  between 63rd and 64th sts.,?,?,american,?
manila garden,325 e. 14th st.  between 1st and 2nd aves.,new york,212/777-6314,asian,301
marichu,342 e. 46th st.  between 1st and 2nd aves.,new york,212/370-1866,?,?
marquet patisserie,15 e. 12th st.  between 5th ave. and university pl.,?,?,?,?
match,160 mercer st.  between houston and prince sts.,?,?,american,304
matthew's,1030 3rd ave. at 61st st.,?,212/838-4343,?,305
mavalli palace,46 e. 29th st.,?,212/679-5535,?,?
milan cafe and coffee bar,120 w. 23rd st.,?,?,?,307
monkey bar,60 e. 54th st.,?,?,?,?
montien,1134 1st ave.   between 62nd and 63rd sts.,?,?,asian,?
morton's,551 5th ave. at 45th st.,?,?,?,?
motown cafe,104 w. 57th st.  near 6th ave.,?,?,?,?
new york kom tang soot bul house,32 w. 32nd st.,new york,?,?,?
new york noodletown,28 1/2 bowery at bayard st.,?,?,?,313
newsbar,2 w. 19th st.,new york,?,coffee bar,?
odeon,145 w. broadway at thomas st.,?,?,?,315
orso,322 w. 46th st.,new york,?,?,316
osteria al droge,142 w. 44th st.,?,?,italian,?
otabe,68 e. 56th st.,?,212/223-7575,?,318
pacifica,138 lafayette st.  between canal and howard sts.,new york,?,asian,?
palio,151 w. 51st. st.,new york,?,?,320
pamir,1065 1st ave.  at 58th st.,?,212/644-9258,?,321
parioli romanissimo,24 e. 81st st.,new york,212/288-2391,?,322
patria,250 park ave. s at 20th st.,new york,212/777-6211,latin american,323
peacock alley,301 park ave.  between 49th and 50th sts.,new york,?,?,?
pen & pencil,205 e. 45th st.,?,212/682-8660,?,325
penang soho,109 spring st.  between greene and mercer sts.,?,212/274-8883,?,?
persepolis,1423 2nd ave.  between 74th and 75th sts.,new york,?,middle eastern,?
planet hollywood,140 w. 57th st.,?,212/333-7827,?,?
pomaire,371 w. 46th st.  off 9th ave.,?,?,latin american,?
popover cafe,551 amsterdam ave.  between 86th and 87th sts.,?,212/595-8555,?,?
post house,28 e. 63rd st.,?,?,?,331
rain,100 w. 82nd st.,new york,?,asian,?
red tulip,439 e. 75th st.,new york,?,eastern european,333
remi,145 w. 53rd st.,new york,?,?,?
republic,37a union sq. w  between 16th and 17th sts.,?,?,?,?
roettelle a. g,126 e. 7th st.  between 1st ave. and ave. a,?,212/674-4140,?,?
rosa mexicano,1063 1st ave. at 58th st.,?,212/753-7407,?,337
ruth's chris,148 w. 51st st.,?,?,?,338
s.p.q.r,133 mulberry st.  between hester and grand sts.,?,?,?,339
sal anthony's,55 irving pl.,?,?,?,340
sammy's roumanian steak house,157 chrystie st. at delancey st.,?,212/673-0330,?,?
san pietro,18 e. 54th st.,new york,?,italian,?
sant ambroeus,1000 madison ave.  between 77th and 78th sts.,?,?,coffee bar,?
sarabeth's kitchen,423 amsterdam ave.  between 80th and 81st sts.,new york,?,?,?
sea grill,19 w. 49th st.,?,?,?,345
serendipity,3 225 e. 60th st.,new york,?,?,?
seventh regiment mess and bar,643 park ave. at 66th st.,new york,212/744-4107,?,?
sfuzzi,58 w. 65th st.,?,212/873-3700,american,?
shaan,57 w. 48th st.,?,?,asian,?
sofia fabulous pizza,1022 madison ave.  near 79th st.,new york,?,?,?
spring street natural restaurant & bar,62 spring st. at lafayette st.,?,212/966-0290,american,351
stage deli,834 7th ave.  between 53rd and 54th sts.,new york,?,delicatessen,352
stingray,428 amsterdam ave.  between 80th and 81st sts.,new york,?,seafood,?
