name,addr,city,phone,type,class
gotham bar & grill,12 e. 12th st.,new york city,212-620-4020,american (new),?
gramercy tavern,42 e. 20th st.  between park ave. s and broadway,?,212/477-0777,american,?
gramercy tavern,42 e. 20th st.,?,212-477-0777,?,36
island spice,402 w. 44th st.,?,212/765-1737,tel caribbean,?
island spice,402 w. 44th st.,new york city,?,caribbean,?
jo jo,160 e. 64th st.,new york,212/223-5656,american,?
jo jo,160 e. 64th st.,?,212-223-5656,?,38
la caravelle,33 w. 55th st.,new york,212/586-4252,french,39
la caravelle,33 w. 55th st.,new york city,212-586-4252,?,39
la cote basque,60 w. 55th st.  between 5th and 6th ave.,new york,212/688-6525,french,40
la cote basque,60 w. 55th st.,new york city,?,french (classic),40
le bernardin,155 w. 51st st.,new york,212/489-1515,french,41
le bernardin,155 w. 51st st.,new york city,212-489-1515,?,41
les celebrites,160 central park s,new york,?,french,42
les celebrites,155 w. 58th st.,new york city,212-484-5113,french (classic),?
lespinasse,2 e. 55th st.,?,?,?,?
lespinasse (new york city),2 e. 55th st.,?,212-339-6719,asian,43
lutece,249 e. 50th st.,new york,212/752-2225,?,44
lutece,249 e. 50th st.,?,?,french (classic),44
manhattan ocean club,57 w. 58th st.,?,?,?,?
manhattan ocean club,57 w. 58th st.,new york city,212-371-7777,?,45
march,405 e. 58th st.,?,212/754-6272,american,?
march,405 e. 58th st.,?,212-754-6272,?,?
mesa grill,102 5th ave.  between 15th and 16th sts.,?,?,american,47
mesa grill,102 fifth ave.,?,212-807-7400,?,?
mi cocina,57 jane st.  off hudson st.,?,212/627-8273,?,?
mi cocina,57 jane st.,new york city,212-627-8273,mexican,?
montrachet,239 w. broadway  between walker and white sts.,new york,212/ 219-2777,french,49
montrachet,239 w. broadway,?,212-219-2777,french bistro,49
oceana,55 e. 54th st.,?,212/759-5941,seafood,?
oceana,55 e. 54th st.,?,?,seafood,?
park avenue cafe,100 e. 63rd st.,new york,212/644-1900,?,51
park avenue cafe (new york city),100 e. 63rd st.,?,212-644-1900,?,51
petrossian,182 w. 58th st.,new york,212/245-2214,?,52
petrossian,182 w. 58th st.,?,212-245-2214,russian,52
picholine,35 w. 64th st.,?,212/724-8585,mediterranean,?
picholine,35 w. 64th st.,?,?,mediterranean,53
pisces,95 ave. a at 6th st.,?,?,seafood,54
pisces,95 ave. a,new york city,?,seafood,54
rainbow room,30 rockefeller plaza,new york,212/632-5000,or 212/632-5100 american,55
rainbow room,30 rockefeller plaza,?,?,american (new),55
river cafe,1 water st. at the east river,brooklyn,?,american,?
river cafe,1 water st.,brooklyn,718-522-5200,?,56
san domenico,240 central park s,?,212/265-5959,?,57
san domenico,240 central park s.,?,?,?,?
second avenue deli,156 2nd ave. at 10th st.,new york,212/677-0606,?,58
second avenue deli,156 second ave.,new york city,?,?,?
seryna,11 e. 53rd st.,new york,212/980-9393,?,59
seryna,11 e. 53rd st.,new york city,212-980-9393,?,?
shun lee west,43 w. 65th st.,?,?,asian,60
shun lee palace,155 e. 55th st.,?,?,?,?
sign of the dove,1110 3rd ave. at 65th st.,?,?,american,61
sign of the dove,1110 third ave.,new york city,?,american (new),61
smith & wollensky,201 e. 49th st.,new york,?,american,62
smith & wollensky,797 third ave.,new york city,212-753-1530,?,?
tavern on the green,in central park at 67th st.,?,?,american,?
tavern on the green,central park west,?,212-873-3200,?,63
uncle nick's,747 9th ave.  between 50th and 51st sts.,?,212/315-1726,mediterranean,64
uncle nick's,747 ninth ave.,?,?,?,64
union square cafe,21 e. 16th st.,new york,212/243-4020,?,?
union square cafe,21 e. 16th st.,new york city,?,american (new),65
virgil's,152 w. 44th st.,new york,?,?,66
virgil's real bbq,152 w. 44th st.,?,212-921-9494,bbq,66
chin's,3200 las vegas blvd. s,?,?,?,67
chin's,3200 las vegas blvd. s.,?,702-733-8899,?,?
coyote cafe,3799 las vegas blvd. s,?,?,southwestern,68
coyote cafe (las vegas),3799 las vegas blvd. s.,las vegas,?,southwestern,68
le montrachet,3000 w. paradise rd.,?,?,?,?
le montrachet bistro,3000 paradise rd.,las vegas,?,?,69
palace court,3570 las vegas blvd. s,las vegas,702/731-7547,?,70
palace court,3570 las vegas blvd. s.,las vegas,?,?,70
second street grille,200 e. fremont st.,?,702/385-3232,seafood,?
second street grill,200 e. fremont st.,las vegas,702-385-6277,?,71
steak house,2880 las vegas blvd. s,?,702/734-0410,?,72
steak house  the,2880 las vegas blvd. s.,?,?,steakhouses,?
tillerman,2245 e. flamingo rd.,?,702/731-4036,seafood,?
tillerman  the,2245 e. flamingo rd.,las vegas,702-731-4036,?,73
abruzzi,2355 peachtree rd.  peachtree battle shopping center,atlanta,404/261-8186,?,?
abruzzi,2355 peachtree rd. ne,atlanta,404-261-8186,italian,74
bacchanalia,3125 piedmont rd.  near peachtree rd.,atlanta,404/365-0410,international,75
bacchanalia,3125 piedmont rd.,?,404-365-0410,?,75
bone's,3130 piedmont road,?,?,?,?
bone's restaurant,3130 piedmont rd. ne,atlanta,404-237-2663,?,76
brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,atlanta,404/266-1440,french,?
brasserie le coze,3393 peachtree rd.,atlanta,404-266-1440,?,?
buckhead diner,3073 piedmont road,?,?,american,?
buckhead diner,3073 piedmont rd.,atlanta,404-262-3336,?,?
ciboulette,1529 piedmont ave.,?,404/874-7600,?,?
ciboulette restaurant,1529 piedmont ave.,?,404-874-7600,french (new),79
delectables,1 margaret mitchell sq.,atlanta,?,american,80
delectables,1 margaret mitchell sq.,atlanta,?,cafeterias,80
georgia grille,2290 peachtree rd.  peachtree square shopping center,?,?,american,81
georgia grille,2290 peachtree rd.,?,?,southwestern,?
hedgerose heights inn,490 e. paces ferry rd.,atlanta,404/233-7673,?,?
hedgerose heights inn  the,490 e. paces ferry rd. ne,?,404-233-7673,?,82
heera of india,595 piedmont ave.  rio shopping mall,atlanta,?,asian,83
heera of india,595 piedmont ave.,?,?,?,83
indigo coastal grill,1397 n. highland ave.,atlanta,404/876-0676,?,?
indigo coastal grill,1397 n. highland ave.,?,?,eclectic,?
la grotta,2637 peachtree rd.  peachtree house condominium,atlanta,?,?,85
la grotta,2637 peachtree rd. ne,?,404-231-1368,italian,85
mary mac's tea room,224 ponce de leon ave.,atlanta,?,?,86
mary mac's tea room,224 ponce de leon ave.,?,?,?,?
nikolai's roof,255 courtland st.  at harris st.,?,?,?,?
nikolai's roof,255 courtland st.,?,?,continental,87
pano's and paul's,1232 w. paces ferry rd.,?,404/261-3662,international,88
pano's & paul's,1232 w. paces ferry rd.,atlanta,?,?,?
cafe  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,?,ext 6108 international,89
ritz-carlton cafe (buckhead),3434 peachtree rd. ne,?,?,american (new),?
dining room  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,?,90
ritz-carlton dining room (buckhead),3434 peachtree rd. ne,?,?,?,90
restaurant  ritz-carlton  atlanta,181 peachtree st.,?,?,continental,91
ritz-carlton restaurant,181 peachtree st.,atlanta,?,french (classic),?
toulouse,b peachtree rd.,atlanta,?,french,?
toulouse,293-b peachtree rd.,?,?,french (new),?
veni vidi vici,41 14th st.,?,404/875-8424,?,93
veni vidi vici,41 14th st.,?,?,italian,93
alain rondelli,126 clement st.,?,?,french,?
alain rondelli,126 clement st.,?,?,french (new),94
aqua,252 california st.,san francisco,415/956-9662,?,?
aqua,252 california st.,san francisco,415-956-9662,american (new),95
boulevard,1 mission st.,?,415/543-6084,american,96
boulevard,1 mission st.,san francisco,?,?,96
cafe claude,7 claude la.,?,?,?,97
cafe claude,7 claude ln.,?,415-392-3505,?,97
campton place,340 stockton st.,san francisco,415/955-5555,american,98
campton place,340 stockton st.,?,?,american (new),98
chez michel,804 northpoint,san francisco,?,french,99
chez michel,804 north point st.,?,?,californian,?
fleur de lys,777 sutter st.,san francisco,415/673-7779,french,?
fleur de lys,777 sutter st.,?,?,french (new),?
fringale,570 4th st.,?,415/543-0573,?,?
fringale,570 fourth st.,san francisco,?,french bistro,101
hawthorne lane,22 hawthorne st.,?,415/777-9779,american,102
hawthorne lane,22 hawthorne st.,san francisco,?,?,102
khan toke thai house,5937 geary blvd.,?,415/668-6654,?,103
khan toke thai house,5937 geary blvd.,?,?,thai,103
la folie,2316 polk st.,?,415/776-5577,?,104
la folie,2316 polk st.,?,?,french (new),104
lulu,816 folsom st.,?,?,mediterranean,?
lulu restaurant-bis-cafe,816 folsom st.,san francisco,415-495-5775,?,?
masa's,648 bush st.,san francisco,415/989-7154,french,?
masa's,648 bush st.,san francisco,?,?,106
mifune japan center  kintetsu building,1737 post st.,san francisco,?,?,?
mifune,1737 post st.,san francisco,?,japanese,?
plumpjack cafe,3201 fillmore st.,san francisco,415/563-4755,mediterranean,108
plumpjack cafe,3127 fillmore st.,san francisco,415-563-4755,american (new),?
postrio,545 post st.,?,?,american,?
postrio,545 post st.,?,415-776-7825,?,109
ritz-carlton restaurant and dining room,600 stockton st.,?,415/296-7465,american,110
ritz-carlton dining room (san francisco),600 stockton st.,san francisco,?,?,?
rose pistola,532 columbus ave.,san francisco,415/399-0499,italian,111
rose pistola,532 columbus ave.,san francisco,415-399-0499,italian,?
adriano's ristorante,2930 beverly glen circle,los angeles,310/475-9807,?,?
barney greengrass,9570 wilshire blvd.,beverly hills,310/777-5877,american,113
beaurivage,26025 pacific coast hwy.,malibu,?,?,114
bistro garden,176 n. canon dr.,?,310/550-3900,?,?
border grill,4th st.,los angeles,?,?,116
broadway deli,3rd st. promenade,santa monica,?,?,?
ca'brea,346 s. la brea ave.,?,213/938-2863,?,?
ca'del sol,4100 cahuenga blvd.,los angeles,818/985-4669,italian,?
cafe pinot,700 w. fifth st.,los angeles,213/239-6500,?,120
california pizza kitchen,207 s. beverly dr.,los angeles,?,californian,121
canter's,419 n. fairfax ave.,los angeles,213/651-2030.,american,122
cava,3rd st.,los angeles,213/658-8898,mediterranean,123
cha cha cha,656 n. virgil ave.,?,213/664-7723,caribbean,?
chan dara,310 n. larchmont blvd.,los angeles,213/467-1052,?,?
clearwater cafe,168 w. colorado blvd.,?,?,?,?
dining room,9500 wilshire blvd.,los angeles,?,?,127
dive!,10250 santa monica blvd.,los angeles,?,?,128
drago,2628 wilshire blvd.,?,310/828-1585,italian,129
drai's,730 n. la cienega blvd.,?,310/358-8585,french,130
dynasty room,930 hilgard ave.,los angeles,310/208-8765,continental,?
eclipse,8800 melrose ave.,los angeles,?,californian,?
ed debevic's,134 n. la cienega,los angeles,?,?,133
el cholo,1121 s. western ave.,?,213/734-2773,mexican,?
gilliland's,2424 main st.,santa monica,?,american,135
gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,pacific palisades,310/454-3474,?,136
hard rock cafe,8600 beverly blvd.,?,310/276-7605,?,137
harry's bar & american grill,2020 ave. of the stars,?,?,?,138
il fornaio cucina italiana,301 n. beverly dr.,los angeles,?,?,?
jack sprat's grill,10668 w. pico blvd.,los angeles,?,?,140
jackson's farm,439 n. beverly drive,?,310/273-5578,californian,141
jimmy's,201 moreno dr.,?,310/552-2394,?,?
joss,9255 sunset blvd.,los angeles,310/276-1886,asian,?
le colonial,8783 beverly blvd.,los angeles,?,?,?
le dome,8720 sunset blvd.,?,310/659-6919,french,?
louise's trattoria,4500 los feliz blvd.,los angeles,213/667-0777,italian,146
mon kee seafood restaurant,679 n. spring st.,los angeles,213/628-6717,?,?
morton's,8764 melrose ave.,?,310/276-5205,american,?
nate 'n' al's,414 n. beverly dr.,?,?,american,149
nicola,601 s. figueroa st.,los angeles,213/485-0927,american,?
ocean avenue,1401 ocean ave.,?,?,?,?
orleans,11705 national blvd.,los angeles,?,?,152
pacific dining car,6th st.,?,213/483-6000,?,?
paty's,10001 riverside dr.,toluca lake,818/761-9126,?,154
pinot hollywood,1448 n. gower st.,los angeles,213/461-8800,californian,155
posto,14928 ventura blvd.,?,818/784-4400,italian,156
prego,362 n. camden dr.,los angeles,?,italian,157
rj's the rib joint,252 n. beverly dr.,los angeles,310/274-7427,?,?
remi,3rd st. promenade,santa monica,?,?,?
restaurant horikawa,111 s. san pedro st.,?,213/680-9355,?,160
roscoe's house of chicken 'n' waffles,1514 n. gower st.,los angeles,213/466-9329,?,?
schatzi on main,3110 main st.,?,?,continental,?
sofi,3rd st.,?,?,mediterranean,?
swingers,8020 beverly blvd.,los angeles,?,american,?
tavola calda,7371 melrose ave.,?,?,italian,?
the mandarin,430 n. camden dr.,los angeles,310/859-0926,asian,166
tommy tang's,7313 melrose ave.,?,213/937-5733,asian,167
tra di noi,3835 cross creek rd.,los angeles,310/456-0169,?,?
trader vic's,9876 wilshire blvd.,?,310/276-6345,asian,169
vida,1930 north hillhurst ave.,?,213/660-4446,american,170
west beach cafe,60 n. venice blvd.,los angeles,310/823-5396,american,?
20 mott,20 mott st.  between bowery and pell st.,?,?,?,?
9 jones street,9 jones st.,new york,?,american,173
adrienne,700 5th ave. at 55th st.,new york,?,french,174
agrotikon,322 e. 14 st.  between 1st and 2nd aves.,new york,?,mediterranean,?
aja,937 broadway at 22nd st.,new york,212/473-8388,american,176
alamo,304 e. 48th st.,?,?,?,177
alley's end,311 w. 17th st.,new york,212/627-8899,american,178
ambassador grill,1 united nations plaza at 44th st.,new york,212/702-5014,?,?
american place,2 park ave. at 32nd st.,?,212/684-2122,american,180
anche vivolo,222 e. 58th st.  between 2nd and 3rd aves.,new york,212/308-0112,italian,?
arizona,206 206 e. 60th st.,?,?,?,182
arturo's,106 w. houston st.  off thompson st.,new york,?,?,?
au mandarin,200-250 vesey st. world financial center,?,?,?,184
bar anise,1022 3rd ave.  between 60th and 61st sts.,?,?,mediterranean,185
barbetta,321 w. 46th st.,new york,?,italian,186
ben benson's,123 w. 52nd st.,?,212/581-8888,american,?
big cup,228 8th ave.  between 21st and 22nd sts.,new york,?,coffee bar,188
billy's,948 1st ave.  between 52nd and 53rd sts.,new york,?,?,?
boca chica,13 1st ave.  near 1st st.,new york,?,latin american,?
bolo,23 e. 22nd st.,new york,212/228-2200,mediterranean,?
boonthai,1393a 2nd ave.  between 72nd and 73rd sts.,new york,212/249-8484,?,?
bouterin,420 e. 59th st.  off 1st ave.,new york,?,french,?
brothers bar-b-q,225 varick st. at clarkston st.,?,212/727-2775,american,?
bruno,240 e. 58th st.,?,212/688-4190,?,?
bryant park grill  roof restaurant and bp cafe,25 w. 40th st.  between 5th and 6th aves.,?,212/840-6500,?,?
c3,103 waverly pl.  near washington sq.,?,?,american,197
ct,111 e. 22nd st.  between park ave. s and lexington ave.,?,?,french,198
cafe bianco,1486 2nd ave.  between 77th and 78th sts.,new york,?,?,199
cafe botanica,160 central park s,new york,?,french,200
cafe la fortuna,69 w. 71st st.,new york,212/724-5846,?,?
cafe luxembourg,200 w. 70th st.,?,?,french,?
cafe pierre,2 e. 61st st.,new york,212/940-8185,?,203
cafe centro,200 park ave.  between 45th st. and vanderbilt ave.,new york,212/818-1222,french,?
cafe fes,246 w. 4th st. at charles st.,?,?,mediterranean,205
caffe dante,81 macdougal st.  between houston and bleeker sts.,new york,?,?,206
caffe dell'artista,46 greenwich ave.,?,212/645-4431,coffee bar,207
caffe lure,169 sullivan st.  between houston and bleecker sts.,?,?,?,?
caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,?,?,coffee bar,209
caffe roma,385 broome st. at mulberry,?,?,coffee bar,210
caffe vivaldi,32 jones st. at bleecker st.,new york,?,?,?
caffe bondi ristorante,7 w. 20th st.,?,212/691-8136,?,?
capsouto freres,451 washington st.  near watts st.,?,212/966-4900,?,213
captain's table,860 2nd ave. at 46th st.,?,212/697-9538,?,?
casa la femme,150 wooster st.  between houston and prince sts.,?,?,middle eastern,?
cendrillon asian grill & marimba bar,45 mercer st.  between broome and grand sts.,?,212/343-9012,asian,?
chez jacqueline,72 macdougal st.  between w. houston and bleecker sts.,?,?,french,217
chiam,160 e. 48th st.,?,212/371-2323,asian,218
china grill,60 w. 53rd st.,new york,?,?,?
cite,120 w. 51st st.,new york,?,french,220
coco pazzo,23 e. 74th st.,new york,212/794-0205,italian,?
columbus bakery,53rd sts.,new york,?,coffee bar,?
corrado cafe,1013 3rd ave.  between 60th and 61st sts.,?,?,?,223
cupcake cafe,522 9th ave. at 39th st.,new york,?,?,224
da nico,164 mulberry st.  between grand and broome sts.,new york,212/343-1212,italian,225
dean & deluca,121 prince st.,?,212/254-8776,?,226
diva,341 w. broadway  near grand st.,new york,212/941-9024,?,?
dix et sept,181 w. 10th st.,new york,?,?,228
docks,633 3rd ave. at 40th st.,new york,212/ 986-8080,seafood,?
duane park cafe,157 duane st.  between w. broadway and hudson st.,?,212/732-5555,american,230
el teddy's,219 w. broadway  between franklin and white sts.,new york,212/941-7070,?,231
emily's,1325 5th ave. at 111th st.,?,?,american,?
empire korea,6 e. 32nd st.,new york,?,?,?
ernie's,2150 broadway  between 75th and 76th sts.,?,?,american,234
evergreen cafe,1288 1st ave. at 69th st.,new york,212/744-3266,?,235
f. ille ponte ristorante,39 desbrosses st.  near west st.,?,212/226-4621,italian,?
felix,340 w. broadway at grand st.,new york,212/431-0021,?,?
ferrier,29 e. 65th st.,?,?,french,238
fifty seven fifty seven,57 e. 57th st.,new york,?,american,?
film center cafe,635 9th ave.  between 44th and 45th sts.,?,?,american,240
fiorello's roman cafe,1900 broadway  between 63rd and 64th sts.,?,?,?,?
firehouse,522 columbus ave.  between 85th and 86th sts.,?,212/595-3139,?,?
first,87 1st ave.  between 5th and 6th sts.,new york,?,?,?
fishin eddie,73 w. 71st st.,new york,212/874-3474,seafood,?
fleur de jour,348 e. 62nd st.,new york,212/355-2020,coffee bar,?
flowers,21 west 17th st.  between 5th and 6th aves.,new york,?,?,?
follonico,6 w. 24th st.,?,?,italian,247
fraunces tavern,54 pearl st. at broad st.,?,?,?,?
french roast,458 6th ave. at 11th st.,?,212/533-2233,?,249
french roast cafe,2340 broadway at 85th st.,?,?,coffee bar,250
frico bar,402 w. 43rd st.  off 9th ave.,new york,?,?,?
fujiyama mama,467 columbus ave.  between 82nd and 83rd sts.,?,212/769-1144,?,?
gabriela's,685 amsterdam ave. at 93rd st.,?,212/961-0574,?,?
gallagher's,228 w. 52nd st.,?,212/245-5336,american,?
gianni's,15 fulton st.,new york,212/608-7300,seafood,?
girafe,208 e. 58th st.  between 2nd and 3rd aves.,?,?,italian,256
global,33 93 2nd ave.  between 5th and 6th sts.,?,212/477-8427,?,257
golden unicorn,18 e. broadway at catherine st.,new york,212/ 941-0911,asian,?
grand ticino,228 thompson st.  between w. 3rd and bleecker sts.,?,212/777-5922,italian,?
halcyon,151 w. 54th st.  in the rihga royal hotel,?,?,?,?
hard rock cafe,221 w. 57th st.,?,?,american,261
hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,212/249-3600,?,?
home,20 cornelia st.  between bleecker and w. 4th st.,?,212/243-9579,american,?
hudson river club,4 world financial center,?,212/786-1500,?,264
i trulli,122 e. 27th st.  between lexington and park aves.,new york,?,italian,?
il cortile,125 mulberry st.  between canal and hester sts.,?,212/226-6060,italian,266
il nido,251 e. 53rd st.,?,?,?,267
inca grill,492 broome st.  near w. broadway,new york,?,latin american,?
indochine,430 lafayette st.  between 4th st. and astor pl.,new york,212/505-5111,asian,269
internet cafe,82 e. 3rd st.  between 1st and 2nd aves.,new york,?,coffee bar,270
ipanema,13 w. 46th st.,?,212/730-5848,?,?
jean lafitte,68 w. 58th st.,?,?,french,?
jewel of india,15 w. 44th st.,new york,212/869-5544,asian,?
jimmy sung's,219 e. 44th st.  between 2nd and 3rd aves.,?,?,asian,274
joe allen,326 w. 46th st.,?,?,american,275
judson grill,152 w. 52nd st.,new york,?,american,276
l'absinthe,227 e. 67th st.,?,?,?,277
l'auberge,1191 1st ave.  between 64th and 65th sts.,new york,212/288-8791,middle eastern,?
l'auberge du midi,310 w. 4th st.  between w. 12th and bank sts.,new york,212/242-4705,french,?
l'udo,432 lafayette st.  near astor pl.,?,?,french,?
la reserve,4 w. 49th st.,?,212/247-2993,french,281
lanza restaurant,168 1st ave.  between 10th and 11th sts.,?,212/674-7014,italian,282
lattanzi ristorante,361 w. 46th st.,?,?,?,283
layla,211 w. broadway at franklin st.,?,?,middle eastern,?
le chantilly,106 e. 57th st.,new york,?,french,285
le colonial,149 e. 57th st.,?,?,?,?
le gamin,50 macdougal st.  between houston and prince sts.,new york,?,?,?
le jardin,25 cleveland pl.  near spring st.,new york,212/343-9599,?,?
le madri,168 w. 18th st.,new york,212/727-8022,italian,289
le marais,150 w. 46th st.,new york,?,?,?
le perigord,405 e. 52nd st.,new york,212/755-6244,?,?
le select,507 columbus ave.  between 84th and 85th sts.,new york,212/875-1993,?,?
les halles,411 park ave. s  between 28th and 29th sts.,?,212/679-4111,?,293
lincoln tavern,51 w. 64th st.,?,?,american,294
lola,30 west 22nd st.  between 5th and 6th ave.,new york,212/675-6700,?,?
lucky strike,59 grand st.  between wooster st. and w. broadway,new york,212/941-0479,or 212/941-0772 american,?
mad fish,2182 broadway  between 77th and 78th sts.,?,212/787-0202,seafood,297
main street,446 columbus ave.  between 81st and 82nd sts.,?,212/873-5025,?,?
mangia e bevi,800 9th ave. at 53rd st.,new york,?,italian,299
manhattan cafe,1161 1st ave.  between 63rd and 64th sts.,new york,212/888-6556,american,300
manila garden,325 e. 14th st.  between 1st and 2nd aves.,?,?,?,301
marichu,342 e. 46th st.  between 1st and 2nd aves.,?,212/370-1866,?,302
marquet patisserie,15 e. 12th st.  between 5th ave. and university pl.,new york,?,coffee bar,303
match,160 mercer st.  between houston and prince sts.,new york,212/906-9173,?,?
matthew's,1030 3rd ave. at 61st st.,?,212/838-4343,american,?
mavalli palace,46 e. 29th st.,new york,?,asian,?
milan cafe and coffee bar,120 w. 23rd st.,?,212/807-1801,coffee bar,?
monkey bar,60 e. 54th st.,new york,212/838-2600,american,308
montien,1134 1st ave.   between 62nd and 63rd sts.,?,212/421-4433,?,309
morton's,551 5th ave. at 45th st.,new york,?,?,310
motown cafe,104 w. 57th st.  near 6th ave.,new york,?,?,311
new york kom tang soot bul house,32 w. 32nd st.,?,212/ 947-8482,asian,312
new york noodletown,28 1/2 bowery at bayard st.,?,?,asian,?
newsbar,2 w. 19th st.,new york,212/255-3996,?,314
odeon,145 w. broadway at thomas st.,?,?,american,315
orso,322 w. 46th st.,new york,?,italian,?
osteria al droge,142 w. 44th st.,new york,?,?,317
otabe,68 e. 56th st.,new york,?,asian,?
pacifica,138 lafayette st.  between canal and howard sts.,new york,212/941-4168,asian,?
palio,151 w. 51st. st.,?,212/245-4850,italian,?
pamir,1065 1st ave.  at 58th st.,new york,212/644-9258,middle eastern,?
parioli romanissimo,24 e. 81st st.,new york,212/288-2391,italian,322
patria,250 park ave. s at 20th st.,new york,?,latin american,323
peacock alley,301 park ave.  between 49th and 50th sts.,?,212/872-4895,?,324
pen & pencil,205 e. 45th st.,?,212/682-8660,american,325
penang soho,109 spring st.  between greene and mercer sts.,?,?,?,326
persepolis,1423 2nd ave.  between 74th and 75th sts.,new york,212/535-1100,middle eastern,327
planet hollywood,140 w. 57th st.,new york,?,american,?
pomaire,371 w. 46th st.  off 9th ave.,?,212/ 956-3055,?,329
popover cafe,551 amsterdam ave.  between 86th and 87th sts.,new york,?,?,?
post house,28 e. 63rd st.,?,212/935-2888,american,331
rain,100 w. 82nd st.,?,212/501-0776,?,?
red tulip,439 e. 75th st.,new york,?,?,333
remi,145 w. 53rd st.,?,?,?,?
republic,37a union sq. w  between 16th and 17th sts.,new york,212/627-7172,asian,335
