name,addr,city,phone,type,class
les celebrites,155 w. 58th st.,new york city,212-484-5113,?,?
lespinasse,2 e. 55th st.,new york,?,american,43
lespinasse (new york city),2 e. 55th st.,new york city,?,asian,43
lutece,249 e. 50th st.,?,?,french,44
lutece,249 e. 50th st.,new york city,212-752-2225,french (classic),?
manhattan ocean club,57 w. 58th st.,new york,212/ 371-7777,?,?
manhattan ocean club,57 w. 58th st.,?,212-371-7777,seafood,?
march,405 e. 58th st.,?,?,american,?
march,405 e. 58th st.,new york city,?,?,46
mesa grill,102 5th ave.  between 15th and 16th sts.,new york,212/807-7400,american,47
mesa grill,102 fifth ave.,new york city,?,?,47
mi cocina,57 jane st.  off hudson st.,new york,212/627-8273,mexican,48
mi cocina,57 jane st.,new york city,212-627-8273,mexican,48
montrachet,239 w. broadway  between walker and white sts.,?,212/ 219-2777,?,49
montrachet,239 w. broadway,new york city,212-219-2777,french bistro,?
oceana,55 e. 54th st.,new york,212/759-5941,seafood,50
oceana,55 e. 54th st.,?,212-759-5941,seafood,?
park avenue cafe,100 e. 63rd st.,new york,212/644-1900,?,?
park avenue cafe (new york city),100 e. 63rd st.,?,212-644-1900,american (new),51
petrossian,182 w. 58th st.,?,?,?,?
petrossian,182 w. 58th st.,?,?,russian,?
picholine,35 w. 64th st.,new york,212/724-8585,?,?
picholine,35 w. 64th st.,new york city,?,mediterranean,?
pisces,95 ave. a at 6th st.,new york,?,seafood,?
pisces,95 ave. a,new york city,?,seafood,?
rainbow room,30 rockefeller plaza,?,?,?,?
rainbow room,30 rockefeller plaza,new york city,?,?,55
river cafe,1 water st. at the east river,?,718/522-5200,?,56
river cafe,1 water st.,?,?,american (new),?
san domenico,240 central park s,new york,212/265-5959,?,?
san domenico,240 central park s.,new york city,?,?,57
second avenue deli,156 2nd ave. at 10th st.,?,212/677-0606,delicatessen,58
second avenue deli,156 second ave.,new york city,?,delis,58
seryna,11 e. 53rd st.,?,?,?,?
seryna,11 e. 53rd st.,new york city,?,?,?
shun lee west,43 w. 65th st.,?,?,?,60
shun lee palace,155 e. 55th st.,?,?,chinese,60
sign of the dove,1110 3rd ave. at 65th st.,new york,212/861-8080,american,61
sign of the dove,1110 third ave.,new york city,212-861-8080,?,61
smith & wollensky,201 e. 49th st.,?,212/753-1530,american,62
smith & wollensky,797 third ave.,new york city,?,steakhouses,62
tavern on the green,in central park at 67th st.,new york,?,american,63
tavern on the green,central park west,?,212-873-3200,american (new),?
uncle nick's,747 9th ave.  between 50th and 51st sts.,?,?,?,64
uncle nick's,747 ninth ave.,new york city,?,greek,64
union square cafe,21 e. 16th st.,?,?,american,65
union square cafe,21 e. 16th st.,?,?,american (new),65
virgil's,152 w. 44th st.,?,?,american,66
virgil's real bbq,152 w. 44th st.,?,212-921-9494,?,?
chin's,3200 las vegas blvd. s,?,?,asian,67
chin's,3200 las vegas blvd. s.,las vegas,702-733-8899,chinese,?
coyote cafe,3799 las vegas blvd. s,las vegas,702/891-7349,southwestern,68
coyote cafe (las vegas),3799 las vegas blvd. s.,las vegas,?,southwestern,?
le montrachet,3000 w. paradise rd.,las vegas,702/732-5111,continental,?
le montrachet bistro,3000 paradise rd.,las vegas,702-732-5651,?,?
palace court,3570 las vegas blvd. s,las vegas,?,?,?
palace court,3570 las vegas blvd. s.,las vegas,?,?,70
second street grille,200 e. fremont st.,?,?,?,71
second street grill,200 e. fremont st.,las vegas,?,pacific rim,?
steak house,2880 las vegas blvd. s,las vegas,702/734-0410,steak houses,72
steak house  the,2880 las vegas blvd. s.,las vegas,?,?,72
tillerman,2245 e. flamingo rd.,las vegas,?,?,73
tillerman  the,2245 e. flamingo rd.,?,?,?,73
abruzzi,2355 peachtree rd.  peachtree battle shopping center,?,404/261-8186,?,74
abruzzi,2355 peachtree rd. ne,?,?,italian,?
bacchanalia,3125 piedmont rd.  near peachtree rd.,atlanta,?,?,?
bacchanalia,3125 piedmont rd.,?,404-365-0410,californian,75
bone's,3130 piedmont road,atlanta,?,?,76
bone's restaurant,3130 piedmont rd. ne,?,404-237-2663,?,76
brasserie le coze,3393 peachtree rd.  lenox square mall  near neiman marcus,?,404/266-1440,french,77
brasserie le coze,3393 peachtree rd.,atlanta,?,?,77
buckhead diner,3073 piedmont road,atlanta,404/262-3336,?,78
buckhead diner,3073 piedmont rd.,atlanta,404-262-3336,?,?
ciboulette,1529 piedmont ave.,atlanta,404/874-7600,french,79
ciboulette restaurant,1529 piedmont ave.,?,?,?,79
delectables,1 margaret mitchell sq.,atlanta,404/681-2909,american,?
delectables,1 margaret mitchell sq.,atlanta,?,?,80
georgia grille,2290 peachtree rd.  peachtree square shopping center,atlanta,?,?,?
georgia grille,2290 peachtree rd.,atlanta,?,southwestern,81
hedgerose heights inn,490 e. paces ferry rd.,atlanta,?,?,82
hedgerose heights inn  the,490 e. paces ferry rd. ne,?,?,?,82
heera of india,595 piedmont ave.  rio shopping mall,atlanta,?,asian,?
heera of india,595 piedmont ave.,atlanta,?,?,?
indigo coastal grill,1397 n. highland ave.,?,?,caribbean,?
indigo coastal grill,1397 n. highland ave.,atlanta,404-876-0676,eclectic,84
la grotta,2637 peachtree rd.  peachtree house condominium,?,404/231-1368,?,85
la grotta,2637 peachtree rd. ne,?,?,italian,?
mary mac's tea room,224 ponce de leon ave.,atlanta,?,?,?
mary mac's tea room,224 ponce de leon ave.,?,?,?,?
nikolai's roof,255 courtland st.  at harris st.,?,404/221-6362,?,87
nikolai's roof,255 courtland st.,?,?,continental,87
pano's and paul's,1232 w. paces ferry rd.,atlanta,404/261-3662,international,88
pano's & paul's,1232 w. paces ferry rd.,atlanta,404-261-3662,?,88
cafe  ritz-carlton  buckhead,3434 peachtree rd.,atlanta,404/237-2700,?,?
ritz-carlton cafe (buckhead),3434 peachtree rd. ne,?,?,?,?
dining room  ritz-carlton  buckhead,3434 peachtree rd.,?,404/237-2700,?,?
ritz-carlton dining room (buckhead),3434 peachtree rd. ne,?,404-237-2700,?,90
restaurant  ritz-carlton  atlanta,181 peachtree st.,?,?,continental,91
ritz-carlton restaurant,181 peachtree st.,?,404-659-0400,french (classic),?
toulouse,b peachtree rd.,?,404/351-9533,french,?
toulouse,293-b peachtree rd.,atlanta,404-351-9533,french (new),?
veni vidi vici,41 14th st.,?,?,italian,?
veni vidi vici,41 14th st.,?,?,?,93
alain rondelli,126 clement st.,?,415/387-0408,french,?
alain rondelli,126 clement st.,?,415-387-0408,french (new),94
aqua,252 california st.,san francisco,?,seafood,95
aqua,252 california st.,?,415-956-9662,american (new),95
boulevard,1 mission st.,san francisco,415/543-6084,american,?
boulevard,1 mission st.,san francisco,415-543-6084,?,96
cafe claude,7 claude la.,?,?,french,?
cafe claude,7 claude ln.,san francisco,?,french bistro,?
campton place,340 stockton st.,?,?,?,98
campton place,340 stockton st.,?,415-955-5555,american (new),?
chez michel,804 northpoint,san francisco,?,?,?
chez michel,804 north point st.,?,415-775-7036,?,99
fleur de lys,777 sutter st.,san francisco,?,french,100
fleur de lys,777 sutter st.,san francisco,415-673-7779,french (new),100
fringale,570 4th st.,?,415/543-0573,french,101
fringale,570 fourth st.,san francisco,415-543-0573,french bistro,101
hawthorne lane,22 hawthorne st.,san francisco,415/777-9779,?,?
hawthorne lane,22 hawthorne st.,san francisco,?,?,?
khan toke thai house,5937 geary blvd.,san francisco,415/668-6654,?,?
khan toke thai house,5937 geary blvd.,san francisco,415-668-6654,?,103
la folie,2316 polk st.,?,415/776-5577,french,104
la folie,2316 polk st.,?,?,french (new),?
lulu,816 folsom st.,?,415/495-5775,mediterranean,105
lulu restaurant-bis-cafe,816 folsom st.,san francisco,415-495-5775,?,?
masa's,648 bush st.,?,?,french,106
masa's,648 bush st.,san francisco,415-989-7154,french (new),106
mifune japan center  kintetsu building,1737 post st.,san francisco,415/922-0337,?,107
mifune,1737 post st.,san francisco,415-922-0337,japanese,?
plumpjack cafe,3201 fillmore st.,?,?,?,?
plumpjack cafe,3127 fillmore st.,san francisco,?,american (new),108
postrio,545 post st.,?,415/776-7825,?,109
postrio,545 post st.,san francisco,415-776-7825,californian,109
ritz-carlton restaurant and dining room,600 stockton st.,san francisco,415/296-7465,american,110
ritz-carlton dining room (san francisco),600 stockton st.,san francisco,415-296-7465,french (new),?
rose pistola,532 columbus ave.,san francisco,?,?,111
rose pistola,532 columbus ave.,?,415-399-0499,italian,111
adriano's ristorante,2930 beverly glen circle,?,310/475-9807,italian,112
barney greengrass,9570 wilshire blvd.,beverly hills,?,?,?
beaurivage,26025 pacific coast hwy.,malibu,?,french,114
bistro garden,176 n. canon dr.,?,?,?,?
border grill,4th st.,los angeles,310/451-1655,mexican,116
broadway deli,3rd st. promenade,?,?,?,117
ca'brea,346 s. la brea ave.,los angeles,213/938-2863,italian,118
ca'del sol,4100 cahuenga blvd.,?,818/985-4669,italian,119
cafe pinot,700 w. fifth st.,?,?,?,120
california pizza kitchen,207 s. beverly dr.,?,310/275-1101,?,?
canter's,419 n. fairfax ave.,los angeles,213/651-2030.,?,?
cava,3rd st.,?,213/658-8898,mediterranean,123
cha cha cha,656 n. virgil ave.,los angeles,213/664-7723,?,124
chan dara,310 n. larchmont blvd.,?,?,asian,125
clearwater cafe,168 w. colorado blvd.,?,818/356-0959,health food,126
dining room,9500 wilshire blvd.,los angeles,310/275-5200,californian,127
dive!,10250 santa monica blvd.,?,?,dive american,?
drago,2628 wilshire blvd.,?,?,italian,?
drai's,730 n. la cienega blvd.,?,310/358-8585,french,130
dynasty room,930 hilgard ave.,los angeles,310/208-8765,?,?
eclipse,8800 melrose ave.,?,?,?,?
ed debevic's,134 n. la cienega,los angeles,?,american,133
el cholo,1121 s. western ave.,?,?,mexican,134
gilliland's,2424 main st.,santa monica,310/392-3901,?,?
gladstone's,4 fish 17300 pacific coast hwy. at sunset blvd.,pacific palisades,310/454-3474,american,?
hard rock cafe,8600 beverly blvd.,los angeles,310/276-7605,american,?
harry's bar & american grill,2020 ave. of the stars,los angeles,310/277-2333,italian,138
il fornaio cucina italiana,301 n. beverly dr.,?,310/550-8330,italian,139
jack sprat's grill,10668 w. pico blvd.,?,?,?,?
jackson's farm,439 n. beverly drive,los angeles,310/273-5578,?,?
jimmy's,201 moreno dr.,?,310/552-2394,?,142
joss,9255 sunset blvd.,los angeles,310/276-1886,asian,143
le colonial,8783 beverly blvd.,los angeles,310/289-0660,asian,?
le dome,8720 sunset blvd.,los angeles,310/659-6919,french,?
louise's trattoria,4500 los feliz blvd.,los angeles,213/667-0777,italian,146
mon kee seafood restaurant,679 n. spring st.,?,?,?,147
morton's,8764 melrose ave.,?,310/276-5205,?,?
nate 'n' al's,414 n. beverly dr.,los angeles,310/274-0101,?,?
nicola,601 s. figueroa st.,los angeles,?,?,150
ocean avenue,1401 ocean ave.,santa monica,?,american,?
orleans,11705 national blvd.,los angeles,?,cajun,?
pacific dining car,6th st.,los angeles,?,?,153
paty's,10001 riverside dr.,toluca lake,?,?,154
pinot hollywood,1448 n. gower st.,los angeles,?,californian,155
posto,14928 ventura blvd.,sherman oaks,818/784-4400,italian,?
prego,362 n. camden dr.,los angeles,?,?,157
rj's the rib joint,252 n. beverly dr.,?,?,american,?
remi,3rd st. promenade,santa monica,?,?,159
restaurant horikawa,111 s. san pedro st.,los angeles,213/680-9355,?,160
roscoe's house of chicken 'n' waffles,1514 n. gower st.,?,?,american,161
schatzi on main,3110 main st.,?,310/399-4800,?,?
sofi,3rd st.,?,213/651-0346,?,?
swingers,8020 beverly blvd.,?,?,?,?
tavola calda,7371 melrose ave.,los angeles,213/658-6340,italian,165
the mandarin,430 n. camden dr.,?,?,?,166
tommy tang's,7313 melrose ave.,los angeles,?,?,167
tra di noi,3835 cross creek rd.,?,310/456-0169,?,?
trader vic's,9876 wilshire blvd.,?,?,asian,?
vida,1930 north hillhurst ave.,los feliz,213/660-4446,?,170
west beach cafe,60 n. venice blvd.,los angeles,310/823-5396,?,?
20 mott,20 mott st.  between bowery and pell st.,new york,?,asian,172
9 jones street,9 jones st.,new york,?,?,?
adrienne,700 5th ave. at 55th st.,?,212/903-3918,?,174
agrotikon,322 e. 14 st.  between 1st and 2nd aves.,?,212/473-2602,?,?
aja,937 broadway at 22nd st.,?,212/473-8388,american,?
alamo,304 e. 48th st.,?,?,mexican,177
alley's end,311 w. 17th st.,new york,?,american,178
ambassador grill,1 united nations plaza at 44th st.,new york,212/702-5014,american,179
american place,2 park ave. at 32nd st.,?,?,?,180
anche vivolo,222 e. 58th st.  between 2nd and 3rd aves.,new york,212/308-0112,?,181
arizona,206 206 e. 60th st.,new york,212/838-0440,american,182
arturo's,106 w. houston st.  off thompson st.,?,?,italian,183
au mandarin,200-250 vesey st. world financial center,?,?,?,?
bar anise,1022 3rd ave.  between 60th and 61st sts.,?,?,?,185
barbetta,321 w. 46th st.,?,?,italian,186
ben benson's,123 w. 52nd st.,new york,212/581-8888,american,?
big cup,228 8th ave.  between 21st and 22nd sts.,new york,212/206-0059,coffee bar,?
billy's,948 1st ave.  between 52nd and 53rd sts.,?,212/753-1870,american,?
boca chica,13 1st ave.  near 1st st.,new york,?,latin american,?
bolo,23 e. 22nd st.,new york,212/228-2200,mediterranean,?
boonthai,1393a 2nd ave.  between 72nd and 73rd sts.,new york,212/249-8484,asian,?
bouterin,420 e. 59th st.  off 1st ave.,?,?,?,?
brothers bar-b-q,225 varick st. at clarkston st.,new york,212/727-2775,?,?
bruno,240 e. 58th st.,?,?,italian,?
bryant park grill  roof restaurant and bp cafe,25 w. 40th st.  between 5th and 6th aves.,?,?,?,196
c3,103 waverly pl.  near washington sq.,?,?,?,197
ct,111 e. 22nd st.  between park ave. s and lexington ave.,?,?,french,?
cafe bianco,1486 2nd ave.  between 77th and 78th sts.,new york,212/988-2655,?,199
cafe botanica,160 central park s,?,212/484-5120,french,200
cafe la fortuna,69 w. 71st st.,new york,212/724-5846,coffee bar,201
cafe luxembourg,200 w. 70th st.,new york,212/873-7411,?,202
cafe pierre,2 e. 61st st.,?,212/940-8185,french,203
cafe centro,200 park ave.  between 45th st. and vanderbilt ave.,?,?,?,?
cafe fes,246 w. 4th st. at charles st.,new york,?,?,205
caffe dante,81 macdougal st.  between houston and bleeker sts.,new york,212/982-5275,?,206
caffe dell'artista,46 greenwich ave.,?,212/645-4431,coffee bar,?
caffe lure,169 sullivan st.  between houston and bleecker sts.,new york,?,french,208
caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,?,?,?,?
caffe roma,385 broome st. at mulberry,?,?,coffee bar,?
caffe vivaldi,32 jones st. at bleecker st.,new york,?,coffee bar,211
caffe bondi ristorante,7 w. 20th st.,new york,?,italian,212
capsouto freres,451 washington st.  near watts st.,new york,212/966-4900,?,213
captain's table,860 2nd ave. at 46th st.,new york,212/697-9538,seafood,214
casa la femme,150 wooster st.  between houston and prince sts.,?,212/505-0005,?,215
cendrillon asian grill & marimba bar,45 mercer st.  between broome and grand sts.,?,212/343-9012,?,?
chez jacqueline,72 macdougal st.  between w. houston and bleecker sts.,?,?,?,217
chiam,160 e. 48th st.,?,212/371-2323,?,?
china grill,60 w. 53rd st.,?,212/333-7788,?,219
cite,120 w. 51st st.,?,?,french,220
coco pazzo,23 e. 74th st.,new york,?,italian,221
columbus bakery,53rd sts.,new york,212/421-0334,coffee bar,?
corrado cafe,1013 3rd ave.  between 60th and 61st sts.,new york,212/753-5100,?,223
cupcake cafe,522 9th ave. at 39th st.,new york,?,?,224
da nico,164 mulberry st.  between grand and broome sts.,?,212/343-1212,italian,?
dean & deluca,121 prince st.,new york,212/254-8776,?,226
diva,341 w. broadway  near grand st.,new york,212/941-9024,italian,227
dix et sept,181 w. 10th st.,?,?,?,?
docks,633 3rd ave. at 40th st.,?,212/ 986-8080,seafood,229
duane park cafe,157 duane st.  between w. broadway and hudson st.,new york,212/732-5555,american,230
el teddy's,219 w. broadway  between franklin and white sts.,?,212/941-7070,mexican,?
emily's,1325 5th ave. at 111th st.,?,212/996-1212,american,232
empire korea,6 e. 32nd st.,?,212/725-1333,?,233
ernie's,2150 broadway  between 75th and 76th sts.,?,?,american,234
evergreen cafe,1288 1st ave. at 69th st.,new york,?,asian,?
f. ille ponte ristorante,39 desbrosses st.  near west st.,new york,212/226-4621,?,?
felix,340 w. broadway at grand st.,new york,?,french,?
ferrier,29 e. 65th st.,new york,?,french,238
fifty seven fifty seven,57 e. 57th st.,new york,212/758-5757,american,239
film center cafe,635 9th ave.  between 44th and 45th sts.,?,212/ 262-2525,?,240
fiorello's roman cafe,1900 broadway  between 63rd and 64th sts.,new york,?,italian,?
firehouse,522 columbus ave.  between 85th and 86th sts.,new york,212/595-3139,american,?
first,87 1st ave.  between 5th and 6th sts.,new york,212/674-3823,american,243
fishin eddie,73 w. 71st st.,new york,212/874-3474,seafood,244
fleur de jour,348 e. 62nd st.,new york,?,coffee bar,245
flowers,21 west 17th st.  between 5th and 6th aves.,?,212/691-8888,?,?
follonico,6 w. 24th st.,?,?,?,?
fraunces tavern,54 pearl st. at broad st.,?,212/269-0144,american,?
french roast,458 6th ave. at 11th st.,?,?,french,?
french roast cafe,2340 broadway at 85th st.,new york,212/799-1533,coffee bar,250
frico bar,402 w. 43rd st.  off 9th ave.,new york,212/564-7272,italian,?
fujiyama mama,467 columbus ave.  between 82nd and 83rd sts.,new york,?,asian,252
gabriela's,685 amsterdam ave. at 93rd st.,?,212/961-0574,?,253
gallagher's,228 w. 52nd st.,new york,212/245-5336,american,254
gianni's,15 fulton st.,?,?,?,255
girafe,208 e. 58th st.  between 2nd and 3rd aves.,?,?,italian,256
global,33 93 2nd ave.  between 5th and 6th sts.,new york,?,?,257
golden unicorn,18 e. broadway at catherine st.,?,212/ 941-0911,?,?
grand ticino,228 thompson st.  between w. 3rd and bleecker sts.,new york,212/777-5922,italian,?
halcyon,151 w. 54th st.  in the rihga royal hotel,new york,212/468-8888,american,?
hard rock cafe,221 w. 57th st.,new york,?,american,261
hi-life restaurant and lounge,1340 1st ave. at 72nd st.,new york,?,american,?
home,20 cornelia st.  between bleecker and w. 4th st.,new york,?,american,?
hudson river club,4 world financial center,?,212/786-1500,american,264
i trulli,122 e. 27th st.  between lexington and park aves.,?,?,italian,?
il cortile,125 mulberry st.  between canal and hester sts.,new york,212/226-6060,?,266
il nido,251 e. 53rd st.,new york,?,italian,267
inca grill,492 broome st.  near w. broadway,?,212/966-3371,latin american,268
indochine,430 lafayette st.  between 4th st. and astor pl.,?,212/505-5111,?,269
internet cafe,82 e. 3rd st.  between 1st and 2nd aves.,?,?,?,?
ipanema,13 w. 46th st.,new york,?,?,271
jean lafitte,68 w. 58th st.,new york,212/751-2323,french,?
jewel of india,15 w. 44th st.,?,?,?,273
jimmy sung's,219 e. 44th st.  between 2nd and 3rd aves.,?,212/682-5678,?,274
joe allen,326 w. 46th st.,new york,?,american,275
judson grill,152 w. 52nd st.,?,?,american,276
l'absinthe,227 e. 67th st.,new york,?,?,277
l'auberge,1191 1st ave.  between 64th and 65th sts.,new york,212/288-8791,middle eastern,278
l'auberge du midi,310 w. 4th st.  between w. 12th and bank sts.,?,?,french,?
l'udo,432 lafayette st.  near astor pl.,new york,212/388-0978,french,280
la reserve,4 w. 49th st.,new york,212/247-2993,french,?
lanza restaurant,168 1st ave.  between 10th and 11th sts.,new york,?,italian,282
lattanzi ristorante,361 w. 46th st.,new york,212/315-0980,?,283
layla,211 w. broadway at franklin st.,new york,212/431-0700,?,?
le chantilly,106 e. 57th st.,new york,212/751-2931,french,?
le colonial,149 e. 57th st.,?,212/ 752-0808,asian,?
le gamin,50 macdougal st.  between houston and prince sts.,?,212/254-4678,coffee bar,287
le jardin,25 cleveland pl.  near spring st.,new york,212/343-9599,?,288
le madri,168 w. 18th st.,new york,?,italian,?
le marais,150 w. 46th st.,?,212/869-0900,?,?
le perigord,405 e. 52nd st.,?,?,french,291
le select,507 columbus ave.  between 84th and 85th sts.,?,?,american,292
les halles,411 park ave. s  between 28th and 29th sts.,?,212/679-4111,french,?
lincoln tavern,51 w. 64th st.,?,212/721-8271,american,?
lola,30 west 22nd st.  between 5th and 6th ave.,new york,?,?,295
lucky strike,59 grand st.  between wooster st. and w. broadway,new york,?,or 212/941-0772 american,296
mad fish,2182 broadway  between 77th and 78th sts.,?,212/787-0202,seafood,?
main street,446 columbus ave.  between 81st and 82nd sts.,new york,212/873-5025,?,298
mangia e bevi,800 9th ave. at 53rd st.,?,212/956-3976,?,299
manhattan cafe,1161 1st ave.  between 63rd and 64th sts.,?,212/888-6556,american,?
manila garden,325 e. 14th st.  between 1st and 2nd aves.,?,212/777-6314,?,301
marichu,342 e. 46th st.  between 1st and 2nd aves.,?,?,french,302
marquet patisserie,15 e. 12th st.  between 5th ave. and university pl.,new york,?,?,?
match,160 mercer st.  between houston and prince sts.,?,?,?,304
matthew's,1030 3rd ave. at 61st st.,?,212/838-4343,?,305
mavalli palace,46 e. 29th st.,new york,212/679-5535,?,306
milan cafe and coffee bar,120 w. 23rd st.,new york,212/807-1801,coffee bar,307
monkey bar,60 e. 54th st.,new york,212/838-2600,american,?
montien,1134 1st ave.   between 62nd and 63rd sts.,new york,212/421-4433,asian,?
morton's,551 5th ave. at 45th st.,new york,212/972-3315,american,310
motown cafe,104 w. 57th st.  near 6th ave.,?,?,american,?
new york kom tang soot bul house,32 w. 32nd st.,?,212/ 947-8482,asian,312
new york noodletown,28 1/2 bowery at bayard st.,new york,?,asian,?
newsbar,2 w. 19th st.,?,212/255-3996,?,?
odeon,145 w. broadway at thomas st.,new york,?,?,?
orso,322 w. 46th st.,new york,212/489-7212,?,?
osteria al droge,142 w. 44th st.,?,212/944-3643,italian,317
otabe,68 e. 56th st.,new york,?,asian,318
pacifica,138 lafayette st.  between canal and howard sts.,new york,212/941-4168,asian,319
palio,151 w. 51st. st.,?,212/245-4850,italian,320
pamir,1065 1st ave.  at 58th st.,?,212/644-9258,?,?
parioli romanissimo,24 e. 81st st.,?,?,italian,322
patria,250 park ave. s at 20th st.,?,212/777-6211,latin american,323
peacock alley,301 park ave.  between 49th and 50th sts.,?,?,?,?
pen & pencil,205 e. 45th st.,?,?,?,?
penang soho,109 spring st.  between greene and mercer sts.,new york,?,asian,326
persepolis,1423 2nd ave.  between 74th and 75th sts.,?,?,?,327
planet hollywood,140 w. 57th st.,?,212/333-7827,?,328
pomaire,371 w. 46th st.  off 9th ave.,new york,?,latin american,329
popover cafe,551 amsterdam ave.  between 86th and 87th sts.,new york,?,?,330
post house,28 e. 63rd st.,new york,212/935-2888,?,331
rain,100 w. 82nd st.,new york,212/501-0776,?,?
red tulip,439 e. 75th st.,?,?,eastern european,?
remi,145 w. 53rd st.,?,212/581-4242,?,334
