input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,class
100,96,71,100,42,79,49,56,91,51,82,16,42,0,0,1,5
47,100,19,67,0,30,20,0,68,5,100,33,91,72,50,88,
100,100,64,98,26,85,36,63,76,58,75,24,42,1,0,0,5
29,47,59,71,100,100,90,81,74,50,66,18,0,0,99,7,1
89,87,38,100,17,78,80,77,100,76,92,34,61,0,0,4,9
67,100,36,82,0,60,5,37,66,38,100,50,73,25,56,0,4
53,100,23,77,0,57,74,66,100,79,70,85,44,42,16,0,4
27,100,0,74,40,54,100,59,84,91,57,64,43,32,33,0,4
2,80,36,50,54,12,9,0,0,41,5,78,49,95,100,100,5
48,95,94,100,100,73,75,47,41,25,0,5,41,1,94,0,2
100,100,68,96,38,70,14,44,0,14,36,0,51,23,3,28,6
58,100,0,89,44,53,100,21,63,0,62,36,87,80,25,91,
0,61,22,89,59,100,72,73,53,42,31,12,58,0,100,4,
0,75,29,79,71,91,100,100,82,74,68,48,57,21,58,0,1
0,48,28,64,61,82,92,100,100,84,86,56,73,28,64,0,
36,90,86,100,87,73,47,49,92,44,100,16,53,0,0,1,3
78,85,65,66,100,25,49,0,15,29,58,67,66,100,0,84,8
69,100,31,73,39,55,89,62,100,84,63,57,31,28,0,0,
0,87,55,100,100,81,74,41,49,0,20,10,32,32,99,35,7
100,100,92,85,75,71,58,57,58,42,33,28,8,14,0,0,1
47,91,37,63,65,27,21,0,9,40,0,91,49,100,100,91,
0,96,45,100,100,99,79,83,60,63,45,42,36,21,33,0,
12,73,29,62,66,32,29,0,5,29,0,71,38,96,100,100,5
84,93,20,100,22,50,44,0,0,22,54,59,100,95,27,97,8
39,80,21,60,35,19,12,0,0,31,16,72,51,98,100,100,5
52,100,29,73,0,47,19,42,69,37,100,54,90,30,88,0,4
78,100,40,94,16,58,5,21,53,0,100,27,36,30,0,0,6
0,89,47,100,89,87,74,61,45,37,15,14,43,0,100,1,
44,80,80,100,100,85,72,59,92,38,93,14,49,3,0,0,3
80,100,60,76,26,52,0,28,46,11,97,29,100,24,100,0,4
51,100,0,90,5,57,92,61,100,70,85,82,68,40,86,0,4
95,68,77,100,21,76,60,38,68,0,0,15,29,53,100,81,8
91,100,66,88,31,58,15,26,50,0,100,17,67,45,0,47,6
34,64,52,100,58,57,37,16,0,0,24,20,61,1,100,5,2
38,92,15,72,42,44,25,0,0,8,8,61,40,93,100,100,5
27,92,22,53,58,28,18,0,0,32,13,85,50,98,100,100,5
100,100,52,80,20,52,6,20,45,0,99,12,59,30,0,25,
0,96,40,100,60,66,58,27,41,0,20,35,54,42,100,46,7
0,82,25,100,52,73,44,34,32,0,0,29,50,34,100,39,
0,48,30,67,65,85,100,100,84,75,65,51,47,25,34,0,1
0,100,50,97,100,91,74,63,55,29,42,0,20,31,68,36,7
14,55,40,61,59,100,58,62,59,21,100,14,48,5,0,0,1
46,96,80,100,81,76,77,60,100,36,75,12,36,0,0,6,3
0,67,38,66,62,30,38,0,8,30,45,63,100,90,58,100,8
92,73,32,63,0,86,51,100,100,82,96,51,64,23,21,0,9
34,76,0,41,7,0,62,0,100,33,95,74,49,100,0,83,
52,80,84,100,100,75,58,53,91,48,89,10,44,0,0,16,3
33,93,8,58,0,20,35,0,78,21,100,55,94,93,48,100,
0,93,45,100,74,75,57,37,35,0,25,24,53,41,100,37,7
100,75,95,100,24,81,38,44,69,8,0,0,45,33,96,64,8
9,61,25,100,59,72,42,27,0,5,5,24,53,16,100,0,2
65,96,81,66,100,100,40,92,71,64,93,45,65,5,0,0,
77,100,53,90,0,43,13,0,86,34,100,84,73,51,10,9,
0,0,38,13,71,34,94,61,100,90,63,100,44,76,73,53,9
49,54,100,78,65,100,0,82,12,60,90,64,95,33,86,0,
0,45,0,61,48,82,100,100,97,78,72,51,45,24,33,0,1
73,100,43,70,0,42,25,41,100,45,90,64,63,32,54,0,4
100,100,71,95,30,64,1,27,32,0,82,19,54,51,0,48,
0,82,40,100,80,80,43,53,54,45,100,25,63,0,3,4,3
0,74,28,100,69,99,79,63,59,28,28,0,57,0,100,2,2
100,100,68,78,37,55,13,29,11,0,51,2,41,20,0,20,
22,98,0,75,4,18,55,0,100,36,84,89,34,100,21,46,0
100,100,14,90,74,55,79,97,37,62,0,39,36,0,39,44,
67,97,19,74,0,30,34,0,79,32,100,76,58,100,10,73,0
86,100,0,95,32,56,100,22,30,0,5,36,80,68,52,99,8
76,82,34,77,0,84,55,100,100,85,77,52,38,25,3,0,9
34,79,66,100,83,72,52,51,100,49,91,13,43,0,0,14,3
0,68,73,45,100,8,20,0,37,38,92,72,85,100,7,81,8
100,92,64,100,37,77,20,50,11,21,22,0,35,26,0,40,6
85,100,56,72,42,39,55,7,100,0,95,30,46,37,0,23,
28,75,57,100,93,82,71,51,33,26,0,0,49,5,100,16,
31,88,5,50,4,8,57,0,100,30,100,71,56,100,0,92,0
62,45,95,75,69,100,4,86,0,59,74,57,100,32,94,0,9
0,89,41,94,87,100,100,98,80,75,68,50,59,25,60,0,7
38,73,5,64,0,15,53,0,98,34,100,83,47,100,20,60,
56,83,28,61,90,23,24,0,22,40,100,72,72,100,0,72,
76,85,0,100,16,63,81,31,69,0,6,25,34,64,100,95,
3,100,4,83,0,56,15,31,60,28,100,42,91,26,88,0,
70,100,46,70,12,38,0,25,52,29,100,41,96,38,90,0,4
65,100,25,93,0,56,11,16,60,0,100,20,50,28,9,1,6
100,100,50,98,16,67,0,30,26,0,80,8,81,34,29,24,
13,100,8,93,0,66,8,41,57,40,100,50,82,25,69,0,4
10,97,2,47,24,1,74,0,100,43,82,90,33,100,0,65,0
28,55,63,78,100,100,75,71,56,42,35,13,0,0,25,0,1
41,79,47,100,84,94,71,52,42,16,0,3,49,7,100,0,2
0,80,30,100,74,81,82,43,75,4,39,0,44,16,100,20,7
33,80,23,100,87,96,97,68,79,44,100,16,44,0,0,22,3
45,100,1,67,0,24,69,24,100,48,73,98,80,53,90,0,4
100,96,66,100,63,85,85,88,78,53,66,20,35,0,0,12,9
100,100,62,83,36,57,23,26,42,0,81,10,43,23,0,18,6
100,97,56,100,22,83,18,50,53,47,68,22,37,0,0,6,5
36,69,33,100,64,85,43,48,0,21,6,19,57,0,100,20,2
100,100,59,78,25,52,0,24,16,0,79,8,70,29,7,27,6
0,95,52,100,100,79,83,44,67,8,45,0,3,30,84,38,7
92,100,61,85,31,57,10,29,21,0,100,7,69,27,0,13,6
93,91,40,100,15,79,23,36,72,53,100,21,57,0,0,6,5
23,76,52,100,100,98,79,71,63,50,82,19,49,0,0,7,3
28,71,43,100,76,79,49,47,11,21,0,0,50,1,100,4,2
100,100,63,94,20,73,13,44,70,47,89,19,46,0,0,7,
100,100,54,90,17,66,0,35,16,5,66,0,66,29,22,47,6
74,100,30,76,0,50,55,49,100,72,77,56,52,28,35,0,4
39,81,72,100,100,77,71,51,95,43,95,16,50,0,0,1,3
41,53,60,100,100,89,70,42,33,0,72,16,54,62,0,72,8
0,84,34,100,67,85,60,44,31,19,26,20,64,13,100,0,
29,88,23,57,73,40,51,0,0,13,12,58,42,94,100,100,5
11,84,52,100,100,96,83,66,72,50,87,16,45,0,0,11,3
54,85,100,100,99,98,49,86,23,60,63,34,50,1,0,0,
0,94,46,100,100,97,82,62,48,30,17,0,18,34,74,38,7
47,100,19,81,0,58,19,39,61,38,100,42,82,23,62,0,
13,78,45,100,97,87,69,58,76,47,100,15,49,0,0,19,3
100,100,55,98,26,81,40,67,78,55,74,25,43,1,0,0,5
0,32,29,55,63,78,100,100,90,75,88,50,84,25,80,0,1
0,73,28,92,73,100,100,81,85,55,58,32,36,8,79,0,2
100,97,66,100,30,88,24,55,54,59,61,27,38,0,0,1,5
92,65,50,100,0,82,47,46,87,6,42,0,54,45,100,79,
9,32,60,62,80,100,6,93,36,56,100,27,57,0,0,25,8
42,100,34,73,0,42,2,42,62,36,100,59,92,35,87,0,4
0,78,40,100,97,78,69,39,44,0,100,7,35,37,22,73,
43,100,98,96,77,97,37,70,60,53,100,20,47,0,0,14,5
100,74,46,65,0,78,36,100,78,88,80,58,78,28,88,0,9
33,78,66,100,91,86,64,60,100,42,82,10,41,0,0,7,3
10,86,0,44,33,0,80,9,100,65,64,100,22,74,32,20,0
0,85,32,100,76,91,70,65,38,43,11,20,50,6,100,0,2
0,84,40,100,76,71,65,33,32,0,5,28,42,44,100,46,7
21,82,13,55,54,100,27,87,38,37,40,0,0,7,100,5,1
0,65,46,91,50,100,50,62,52,23,4,2,12,5,100,0,
36,63,0,67,53,84,100,100,83,74,66,47,53,21,51,0,
10,100,24,93,0,61,0,37,69,35,100,57,80,34,70,0,4
0,88,41,100,73,80,64,40,49,0,40,13,49,42,100,46,
0,89,41,100,89,93,100,62,84,31,64,0,27,17,54,34,7
55,76,22,68,66,29,39,0,52,32,100,68,69,100,0,86,8
0,52,37,73,76,94,100,100,75,75,53,49,35,22,28,0,
45,92,19,94,42,68,58,100,89,69,100,24,55,0,0,3,
27,100,2,56,12,8,62,0,100,33,94,79,46,94,0,72,0
100,100,66,100,25,69,0,35,14,0,77,0,72,34,10,51,
38,76,58,100,21,65,0,27,44,0,100,22,45,36,22,8,6
24,66,100,89,30,66,88,32,34,0,0,34,61,72,77,100,8
37,100,57,91,47,50,22,20,0,17,33,17,66,4,100,0,2
5,85,50,100,79,77,54,50,85,44,100,22,56,2,0,0,3
93,100,5,96,42,65,85,32,58,0,0,14,36,47,100,74,8
0,89,28,100,64,85,43,61,9,44,23,21,62,11,100,0,2
43,99,8,68,73,74,62,25,0,0,7,49,20,96,100,100,5
22,83,62,100,92,78,51,53,55,37,100,17,55,0,0,7,3
100,100,44,91,7,60,0,24,46,0,99,24,41,30,19,0,
0,83,37,100,81,90,65,61,100,45,97,15,54,0,14,7,
0,76,24,100,65,97,61,63,40,31,6,5,51,2,100,0,
0,95,35,100,59,78,61,52,46,27,22,5,56,0,100,1,
100,100,57,78,25,53,12,26,30,0,88,7,65,28,0,21,6
5,79,19,100,25,66,14,32,0,3,34,0,66,5,100,7,2
50,86,17,60,0,27,21,0,70,9,100,37,91,70,63,100,
86,79,47,100,18,62,65,27,66,0,0,3,46,39,100,71,8
38,96,49,68,74,100,24,87,91,80,100,30,54,0,0,32,9
0,100,65,99,70,66,51,33,32,0,15,12,29,39,100,44,
0,69,10,54,67,37,47,0,14,13,17,54,34,92,100,100,5
73,100,49,62,0,38,56,43,100,57,88,78,65,39,49,0,4
40,84,61,100,87,83,53,60,96,47,100,23,55,5,0,0,3
0,75,45,85,100,100,84,80,71,59,58,37,55,15,63,0,
44,60,0,77,47,99,100,100,84,75,75,50,75,24,100,0,1
100,100,75,83,43,57,20,28,31,0,77,6,48,24,0,24,6
100,99,56,100,31,65,87,73,98,90,94,48,61,13,0,0,9
0,56,5,14,47,0,86,25,100,66,76,100,34,80,6,45,0
19,88,62,100,100,81,83,48,47,23,0,6,18,0,72,1,2
11,50,0,16,38,0,79,8,100,46,76,84,37,100,0,84,0
32,76,70,100,100,72,66,38,7,19,0,33,59,18,91,0,
86,78,48,100,14,72,19,35,2,0,0,29,49,59,100,88,8
24,87,0,62,7,0,61,0,100,44,80,100,29,93,7,36,
13,71,40,100,65,69,41,34,0,12,2,8,51,6,100,0,2
100,100,51,85,18,58,0,28,17,0,78,1,68,20,8,12,6
80,100,32,81,7,52,0,21,40,0,100,9,88,30,28,22,6
0,58,4,67,42,83,79,100,100,98,81,66,65,34,66,0,1
0,82,47,100,75,72,52,35,22,0,16,22,41,48,100,52,7
97,66,77,100,8,96,0,67,69,72,100,73,92,36,86,0,9
40,76,62,100,62,69,34,40,0,16,12,11,57,10,100,0,2
25,76,45,100,77,66,57,25,9,3,0,7,53,6,100,0,2
15,100,8,70,0,39,19,20,78,21,100,43,76,30,72,0,4
21,100,12,66,64,49,52,0,10,16,0,72,43,94,100,94,5
17,82,56,100,100,90,64,66,85,40,94,12,48,3,0,0,3
39,100,0,82,22,55,100,63,62,99,62,81,59,40,60,0,
0,82,26,100,51,80,43,50,24,22,12,2,57,1,100,0,2
30,81,70,100,69,65,39,31,0,5,7,18,52,0,100,4,2
100,100,26,97,1,66,45,33,29,0,0,26,38,61,87,93,
21,85,8,46,61,47,39,0,0,13,11,66,35,98,100,100,5
17,96,0,45,26,0,73,1,100,48,88,100,44,99,23,52,0
73,98,0,95,16,60,84,29,70,0,45,35,100,69,88,100,8
18,78,53,100,90,81,43,57,90,55,100,22,52,0,0,16,3
9,86,1,51,27,11,76,0,100,39,84,83,37,100,0,69,
0,100,67,94,83,65,57,33,41,0,0,20,29,31,100,32,7
35,98,76,100,80,72,67,54,100,34,77,9,35,0,0,7,3
33,100,10,76,0,48,4,20,43,0,100,10,81,31,21,25,6
10,78,40,100,100,99,70,53,29,12,0,0,7,45,70,55,7
54,78,77,100,64,60,36,27,0,2,12,4,56,2,100,0,
0,36,35,56,68,78,100,100,94,76,80,51,70,25,70,0,1
89,100,56,85,0,62,44,50,100,54,82,77,52,38,20,0,
7,86,0,62,15,20,62,0,100,31,96,73,53,100,8,78,
0,98,4,100,59,100,100,87,96,64,75,43,51,22,40,0,7
0,99,50,100,100,91,54,57,32,0,69,13,70,28,31,23,7
51,100,21,77,2,49,0,20,45,0,100,17,51,27,4,7,6
63,77,30,100,0,59,12,13,67,0,100,37,88,83,34,88,
0,83,11,100,56,93,53,67,66,42,100,20,73,1,16,0,
100,66,56,100,23,73,77,34,65,0,0,24,55,58,73,77,8
100,100,54,85,21,57,0,27,23,0,75,7,57,29,3,23,6
100,100,62,86,30,66,7,41,0,12,36,0,59,18,17,25,6
23,83,0,48,10,9,53,0,91,23,100,63,75,97,31,100,0
39,76,74,40,83,2,11,0,50,35,100,67,73,100,0,81,8
37,79,78,100,94,68,60,37,10,19,0,31,55,24,100,0,2
22,75,47,100,74,82,47,53,84,44,100,17,54,0,0,9,
12,86,62,100,92,86,54,64,81,46,100,22,62,0,0,5,
79,97,0,100,9,73,89,87,100,95,79,63,60,30,57,0,9
0,89,10,55,51,30,48,0,18,23,20,66,49,94,100,100,5
0,71,39,81,74,99,100,100,78,75,53,50,28,26,11,0,1
89,100,38,83,0,44,2,0,61,2,100,40,100,88,45,98,0
64,60,76,100,13,99,39,75,100,87,98,44,65,6,0,0,
76,100,34,77,7,48,0,17,47,0,100,13,78,37,21,29,6
35,61,54,100,58,76,54,31,78,0,100,6,36,5,0,8,1
84,100,37,82,7,55,0,25,35,0,100,7,85,30,23,19,
44,83,70,100,93,77,59,50,93,44,100,16,53,0,0,3,3
0,99,48,100,100,96,90,55,58,15,33,0,40,40,92,37,
72,83,49,100,61,58,82,17,0,0,25,33,100,61,75,92,8
