V1,V2,V3,V4,V5,V6,V7,Class
2,0,10,24,14,24.33,45.79,1
3,0,10,0,26,16.0,45.79,1
4,24,14,23,39,25.02,45.79,1
5,0,26,23,39,26.42,45.79,1
0,0,0,0,24,24.0,52.39,1
1,18,0,20,16,16.12,52.39,1
2,0,24,20,16,21.54,52.39,1
3,0,24,1,48,24.02,52.39,1
4,20,16,21,40,24.02,52.39,1
5,1,48,21,40,21.54,52.39,1
0,0,0,0,20,20.0,40.85,1
1,13,0,15,12,12.17,40.85,1
2,0,20,15,12,17.0,40.85,1
3,0,20,8,38,19.7,40.85,1
4,15,12,8,38,26.93,40.85,1
0,0,0,0,7,7.0,38.6,1
1,22,0,23,10,10.05,38.6,1
2,0,7,23,10,23.19,38.6,1
3,0,7,3,31,24.19,38.6,1
4,23,10,3,31,29.0,38.6,1
0,0,0,0,12,12.0,26.83,1
1,10,0,12,6,6.32,26.83,1
2,0,12,12,6,13.42,26.83,1
3,0,12,2,19,7.28,26.83,1
4,12,6,12,17,11.0,26.83,1
5,2,19,3,24,5.1,26.83,1
6,3,24,12,17,11.4,26.83,1
0,0,0,0,11,11.0,35.38,1
1,20,0,22,14,14.14,35.38,1
2,0,11,22,14,22.2,35.38,1
3,0,11,0,26,15.0,35.38,1
4,22,14,24,21,7.28,35.38,1
5,0,26,24,21,24.52,35.38,1
0,0,0,0,13,13.0,37.16,1
1,12,0,13,11,11.05,37.16,1
2,0,13,13,11,13.15,37.16,1
3,0,13,2,34,21.1,37.16,1
4,13,11,15,30,19.1,37.16,1
5,2,34,15,30,13.6,37.16,1
0,0,0,0,10,10.0,30.87,1
1,12,0,13,7,7.07,30.87,1
2,0,10,13,7,13.34,30.87,1
3,0,10,1,22,12.04,30.87,1
4,13,7,11,28,21.1,30.87,1
5,1,22,11,28,11.66,30.87,1
0,0,0,0,21,21.0,35.34,1
1,15,0,15,24,24.0,35.34,1
2,0,21,15,24,15.3,35.34,1
3,0,21,14,32,17.8,35.34,1
4,15,24,14,32,8.06,35.34,1
0,0,0,0,18,18.0,43.01,1
1,11,0,13,12,12.17,43.01,1
2,0,18,13,12,14.32,43.01,1
3,0,18,4,41,23.35,43.01,1
4,13,12,4,41,30.36,43.01,1
0,0,0,0,17,17.0,53.34,1
1,23,0,25,10,10.2,53.34,1
2,0,17,25,10,25.96,53.34,1
3,0,17,2,37,20.1,53.34,1
4,25,10,27,18,8.25,53.34,1
5,2,37,21,46,21.02,53.34,1
6,21,46,27,18,28.64,53.34,1
0,0,0,0,14,14.0,41.34,1
1,20,0,22,8,8.25,41.34,1
2,0,14,22,8,22.8,41.34,1
3,0,14,7,35,22.14,41.34,1
4,22,8,7,35,30.89,41.34,1
0,0,0,0,7,7.0,43.01,1
1,24,0,25,12,12.04,43.01,1
2,0,7,25,12,25.5,43.01,1
3,0,7,2,31,24.08,43.01,1
4,25,12,25,29,17.0,43.01,1
5,2,31,20,35,18.44,43.01,1
6,20,35,25,29,7.81,43.01,1
0,0,0,0,12,12.0,33.11,1
1,14,0,14,11,11.0,33.11,1
2,0,12,14,11,14.04,33.11,1
3,0,12,2,29,17.12,33.11,1
4,14,11,12,30,19.1,33.11,1
5,2,29,12,30,10.05,33.11,1
0,0,0,0,22,22.0,51.79,1
1,8,0,9,9,9.06,51.79,1
2,0,22,9,9,15.81,51.79,1
3,0,22,0,46,24.0,51.79,1
4,9,9,8,30,21.02,51.79,1
5,0,46,4,51,6.4,51.79,1
6,4,51,8,30,21.38,51.79,1
0,0,0,0,13,13.0,41.76,1
1,10,0,12,7,7.28,41.76,1
2,0,13,12,7,13.42,41.76,1
3,0,13,1,34,21.02,41.76,1
4,12,7,12,21,14.0,41.76,1
5,1,34,6,40,7.81,41.76,1
6,6,40,12,21,19.92,41.76,1
0,0,0,0,20,20.0,46.1,1
1,19,0,19,8,8.0,46.1,1
2,0,20,19,8,22.47,46.1,1
3,0,20,8,42,23.41,46.1,1
4,19,8,8,42,35.74,46.1,1
0,0,0,0,12,12.0,37.66,1
1,7,0,7,7,7.0,37.66,1
2,0,12,7,7,8.6,37.66,1
3,0,12,1,35,23.02,37.66,1
4,7,7,5,30,23.09,37.66,1
5,1,35,2,37,2.24,37.66,1
6,2,37,5,30,7.62,37.66,1
0,0,0,0,20,20.0,43.05,1
1,19,0,20,11,11.05,43.05,1
2,0,20,20,11,21.93,43.05,1
3,0,20,0,37,17.0,43.05,1
4,20,11,22,22,11.18,43.05,1
5,0,37,22,22,26.63,43.05,1
0,0,0,0,7,7.0,25.0,1
1,6,0,6,7,7.0,25.0,1
2,0,7,6,7,6.0,25.0,1
3,0,7,1,24,17.03,25.0,1
4,6,7,7,24,17.03,25.0,1
5,1,24,2,24,1.0,25.0,1
6,2,24,7,24,5.0,25.0,1
0,0,0,0,7,7.0,40.0,1
1,21,0,22,11,11.05,40.0,1
2,0,7,22,11,22.36,40.0,1
3,0,7,2,15,,40.0,1
4,22,11,24,32,21.1,40.0,1
5,2,15,24,32,27.8,40.0,1
0,0,0,0,6,6.0,26.0,1
1,10,0,10,7,7.0,26.0,1
2,0,6,10,7,10.05,26.0,1
3,0,6,1,13,7.07,26.0,1
4,10,7,9,24,17.03,26.0,1
5,1,13,5,22,9.85,26.0,1
6,5,22,9,24,4.47,26.0,1
0,0,0,0,22,22.0,41.59,1
1,18,0,19,11,11.05,41.59,1
2,0,22,19,11,21.95,41.59,1
3,0,22,1,37,15.03,41.59,1
4,19,11,17,30,19.1,41.59,1
5,1,37,17,30,17.46,41.59,1
0,0,0,0,24,24.0,49.74,1
1,24,0,25,17,17.03,49.74,1
2,0,24,25,17,25.96,49.74,1
3,0,24,2,34,10.2,49.74,1
4,25,17,24,40,23.02,49.74,1
5,2,34,9,43,11.4,49.74,1
6,9,43,24,40,15.3,49.74,1
0,0,0,0,10,10.0,32.53,1
1,23,0,23,14,14.0,32.53,1
2,0,10,23,14,23.35,32.53,1
3,0,10,13,23,18.38,32.53,1
4,23,14,13,23,13.45,32.53,1
0,0,0,0,15,15.0,37.48,1
1,25,0,27,9,9.22,37.48,1
2,0,15,27,9,27.66,37.48,1
3,0,15,23,26,25.5,37.48,1
4,27,9,23,26,17.46,37.48,1
0,0,0,0,18,18.0,29.55,1
1,10,0,12,18,18.11,29.55,1
2,0,18,12,18,12.0,29.55,1
3,0,18,4,27,9.85,29.55,1
4,12,18,4,27,12.04,29.55,1
0,0,0,0,11,11.0,28.46,1
1,8,-9999999,9,9,9.06,28.46,1
2,0,11,9,9,9.22,28.46,1
3,0,11,2,27,16.12,28.46,1
4,9,9,9,22,13.0,28.46,1
5,2,27,9,22,8.6,28.46,1
0,0,-9999999,0,19,19.0,49.74,1
1,23,-9999999,25,20,20.1,49.74,1
2,0,19,25,20,25.02,49.74,1
3,0,19,0,40,21.0,49.74,1
4,25,20,23,43,23.09,49.74,1
5,0,40,6,42,6.32,49.74,1
6,6,42,23,43,17.03,49.74,1
0,0,0,0,19,19.0,38.83,1
1,8,0,8,7,7.0,38.83,1
2,0,19,8,7,14.42,38.83,1
3,0,19,2,37,18.11,38.83,1
4,8,7,6,30,23.09,38.83,1
5,2,37,2,38,1.0,38.83,1
6,2,38,6,30,8.94,38.83,1
0,0,0,0,12,12.0,40.5,1
1,11,0,12,17,17.03,40.5,1
2,0,12,12,17,13.0,40.5,1
3,0,12,1,34,22.02,40.5,1
4,12,17,14,38,21.1,40.5,1
5,1,34,14,38,13.6,40.5,1
0,0,0,0,20,20.0,49.66,1
1,19,0,21,14,14.14,49.66,1
2,0,20,21,14,21.84,49.66,1
3,0,20,20,45,32.02,49.66,1
4,21,14,20,45,31.02,49.66,1
